Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240418_Operator 1_gentle_G1_R1_1.TIF,55,2.724,0.05,2.584,255,3.02,0.137,0.361
20240418_Operator 1_gentle_G1_R1_2.TIF,47,1.774,0.038,1.683,255,2.329,0.131,0.357
20240418_Operator 1_gentle_G1_R1_3.TIF,41,1.899,0.046,1.802,255,2.763,0.136,0.361
20240418_Operator 1_gentle_G1_R1_4.TIF,27,1.087,0.04,1.031,255,2.407,0.148,0.37
20240418_Operator 1_gentle_G1_R1_5.TIF,24,0.514,0.021,0.488,255,1.456,0.184,0.433
20240418_Operator 1_gentle_G1_R1_6.TIF,11,0.306,0.028,0.29,255,1.641,0.161,0.405
20240418_Operator 1_gentle_G1_R2_1.TIF,44,2.2,0.05,2.087,255,2.797,0.133,0.344
20240418_Operator 1_gentle_G1_R2_2.TIF,38,1.299,0.034,1.232,255,2.017,0.145,0.393
20240418_Operator 1_gentle_G1_R2_3.TIF,63,2.152,0.034,2.041,255,2.109,0.161,0.398
20240418_Operator 1_gentle_G1_R2_4.TIF,51,1.909,0.037,1.811,255,2.319,0.159,0.385
20240418_Operator 1_gentle_G1_R2_5.TIF,24,0.919,0.038,0.872,255,2.248,0.147,0.391
20240418_Operator 1_gentle_G1_R2_6.TIF,33,0.833,0.025,0.79,255,1.585,0.167,0.423
20240418_Operator 1_gentle_G1_R3_1.TIF,38,1.338,0.035,1.27,255,2.025,0.183,0.443
20240418_Operator 1_gentle_G1_R3_2.TIF,28,1.052,0.038,0.998,255,2.024,0.145,0.364
20240418_Operator 1_gentle_G1_R3_3.TIF,28,0.764,0.027,0.725,255,1.721,0.186,0.419
20240418_Operator 1_gentle_G1_R3_4.TIF,25,1.005,0.04,0.953,255,2.13,0.13,0.337
20240418_Operator 1_gentle_G1_R3_5.TIF,20,1.055,0.053,1,255,2.941,0.143,0.354
20240418_Operator 1_gentle_G1_R3_6.TIF,36,1.652,0.046,1.568,255,2.656,0.137,0.362
20240418_Operator 2_firm_G1_R1_1.TIF,28,1.054,0.038,1,255,2.091,0.172,0.414
20240418_Operator 2_firm_G1_R1_2.TIF,23,0.876,0.038,0.831,255,2.142,0.165,0.434
20240418_Operator 2_firm_G1_R1_3.TIF,27,1.149,0.043,1.09,255,2.405,0.152,0.373
20240418_Operator 2_firm_G1_R1_4.TIF,18,0.862,0.048,0.818,255,2.592,0.11,0.331
20240418_Operator 2_firm_G1_R1_5.TIF,27,1.148,0.043,1.089,255,2.401,0.141,0.382
20240418_Operator 2_firm_G1_R1_6.TIF,17,0.602,0.035,0.571,255,2.2,0.135,0.353
20240418_Operator 2_firm_G1_R2_1.TIF,37,1.472,0.04,1.396,255,2.22,0.161,0.403
20240418_Operator 2_firm_G1_R2_2.TIF,19,0.885,0.047,0.839,255,2.266,0.167,0.4
20240418_Operator 2_firm_G1_R2_3.TIF,28,0.835,0.03,0.792,255,1.824,0.165,0.409
