Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
MP_RC_G5_CA1_R1.TIF,157,9.453,0.060,8.499,255,3.223,0.147,0.399
MP_RC_G5_CA1_R2.TIF,135,7.211,0.053,6.483,255,2.825,0.145,0.378
MP_RC_G5_CA1_R3.TIF,123,7.713,0.063,6.934,255,3.330,0.134,0.362
MP_RC_G5_CA1_R4.TIF,101,5.209,0.052,4.683,255,2.964,0.142,0.378
MP_RC_G5_CA1_R5.TIF,79,4.042,0.051,3.634,255,3.026,0.128,0.339
MP_RC_G5_CA1_R6.TIF,97,4.854,0.050,4.364,255,2.827,0.144,0.391
MP_RC_G5_CA2_R1.TIF,136,10.382,0.076,9.334,255,3.550,0.153,0.403
MP_RC_G5_CA2_R2.TIF,120,6.169,0.051,5.546,255,2.735,0.153,0.392
MP_RC_G5_CA2_R3.TIF,110,6.400,0.058,5.753,255,3.084,0.147,0.387
MP_RC_G5_CA2_R4.TIF,112,4.900,0.044,4.405,255,2.443,0.144,0.383
MP_RC_G5_CA2_R5.TIF,127,4.989,0.039,4.486,255,2.107,0.178,0.463
MP_RC_G5_CA2_R6.TIF,100,4.391,0.044,3.947,255,2.416,0.144,0.389
MP_RC_G5_CA3_R1.TIF,149,8.643,0.058,7.770,255,3.098,0.144,0.377
MP_RC_G5_CA3_R2.TIF,109,5.558,0.051,4.996,255,2.838,0.130,0.351
MP_RC_G5_CA3_R3.TIF,108,6.425,0.059,5.776,255,3.259,0.134,0.357
MP_RC_G5_CA3_R4.TIF,93,3.972,0.043,3.571,255,2.460,0.154,0.402
MP_RC_G5_CA3_R5.TIF,98,5.387,0.055,4.843,255,2.888,0.134,0.388
MP_RC_G5_CA3_R6.TIF,117,4.468,0.038,4.017,255,2.171,0.165,0.436
MP_RC_G5_CA4_R1.TIF,174,10.413,0.060,9.361,255,3.101,0.146,0.386
MP_RC_G5_CA4_R2.TIF,111,4.601,0.041,4.137,255,2.330,0.152,0.386
MP_RC_G5_CA4_R3.TIF,107,7.435,0.069,6.684,255,3.530,0.122,0.342
MP_RC_G5_CA4_R4.TIF,99,4.376,0.044,3.934,255,2.440,0.144,0.384
MP_RC_G5_CA4_R5.TIF,77,4.078,0.053,3.666,255,3.120,0.109,0.314
MP_RC_G5_CA4_R6.TIF,73,2.786,0.038,2.504,255,2.265,0.140,0.375
MP_RC_G5_CA5_R1.TIF,164,10.330,0.063,9.287,255,3.106,0.170,0.421
MP_RC_G5_CA5_R2.TIF,101,4.476,0.044,4.024,255,2.481,0.141,0.376
MP_RC_G5_CA5_R3.TIF,113,7.207,0.064,6.479,255,3.101,0.141,0.377
MP_RC_G5_CA5_R4.TIF,85,3.588,0.042,3.225,255,2.448,0.143,0.363
MP_RC_G5_CA5_R5.TIF,87,4.898,0.056,4.404,255,3.007,0.142,0.383
MP_RC_G5_CA5_R6.TIF,75,3.485,0.046,3.133,255,2.482,0.139,0.377
