Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
SH_W000_12Vcotton_1000g_R1.TIF,127,8.943,0.07,8.484,255,3.206,0.164,0.397
SH_W000_12Vcotton_1000g_R2.TIF,132,8.727,0.066,8.28,255,3.103,0.166,0.403
SH_W000_12Vcotton_1000g_R3.TIF,140,11.942,0.085,11.33,255,3.678,0.153,0.395
SH_W000_12Vcotton_1000g_R4.TIF,103,13.766,0.134,13.06,255,5.248,0.152,0.384
SH_W000_12Vcotton_1000g_R5.TIF,133,8.834,0.066,8.381,255,3.011,0.149,0.39
SH_W000_12Vcotton_100g_R1.TIF,58,2.726,0.047,2.586,255,2.393,0.169,0.397
SH_W000_12Vcotton_100g_R2.TIF,68,3.372,0.05,3.199,255,2.753,0.128,0.332
SH_W000_12Vcotton_100g_R3.TIF,64,2.571,0.04,2.439,255,2.271,0.161,0.38
SH_W000_12Vcotton_100g_R4.TIF,46,2.753,0.06,2.612,255,3.064,0.132,0.351
SH_W000_12Vcotton_100g_R5.TIF,65,3.504,0.054,3.324,255,2.95,0.132,0.339
SH_W000_12Vcotton_2000g_R1.TIF,117,10.649,0.091,10.103,255,3.834,0.165,0.402
SH_W000_12Vcotton_2000g_R2.TIF,124,10.683,0.086,10.136,255,3.482,0.162,0.409
SH_W000_12Vcotton_2000g_R3.TIF,127,13.678,0.108,12.976,255,3.873,0.164,0.413
SH_W000_12Vcotton_2000g_R4.TIF,140,9.46,0.068,8.975,255,3.037,0.175,0.415
SH_W000_12Vcotton_2000g_R5.TIF,152,10.509,0.069,9.97,255,3.098,0.183,0.432
SH_W000_12Vcotton_200g_R1.TIF,78,5.084,0.065,4.823,255,3.301,0.143,0.365
SH_W000_12Vcotton_200g_R2.TIF,69,2.845,0.041,2.699,255,2.358,0.152,0.367
SH_W000_12Vcotton_200g_R3.TIF,85,3.694,0.043,3.505,255,2.354,0.153,0.373
SH_W000_12Vcotton_200g_R4.TIF,72,2.682,0.037,2.545,255,2.066,0.163,0.395
SH_W000_12Vcotton_200g_R5.TIF,70,2.763,0.039,2.621,255,2.083,0.179,0.421
SH_W000_12Vcotton_400g_R1.TIF,75,4.695,0.063,4.454,255,3.199,0.133,0.359
SH_W000_12Vcotton_400g_R2.TIF,108,7.385,0.068,7.006,255,3.292,0.172,0.407
SH_W000_12Vcotton_400g_R3.TIF,102,8.96,0.088,8.5,255,3.853,0.141,0.368
SH_W000_12Vcotton_400g_R4.TIF,107,8.132,0.076,7.715,255,3.163,0.147,0.372
SH_W000_12Vcotton_400g_R5.TIF,108,5.646,0.052,5.356,255,2.519,0.152,0.382
SH_W000_12Vcotton_800g_R1.TIF,114,8.137,0.071,7.72,255,3.121,0.173,0.409
SH_W000_12Vcotton_800g_R2.TIF,135,7.713,0.057,7.318,255,2.764,0.181,0.419
SH_W000_12Vcotton_800g_R3.TIF,118,6.737,0.057,6.391,255,2.808,0.172,0.409
SH_W000_12Vcotton_800g_R4.TIF,102,10.506,0.103,9.967,255,4.264,0.151,0.382
SH_W000_12Vcotton_800g_R5.TIF,95,12.005,0.126,11.389,255,4.82,0.165,0.39
SH_W041_12Vcotton_1000g_R1.TIF,163,7.031,0.043,6.671,255,2.098,0.2,0.464
