Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
SH_W000_5Vcotton_1000g_R1.TIF,115,9.892,0.086,9.384,255,3.766,0.162,0.421
SH_W000_5Vcotton_1000g_R2.TIF,143,8.923,0.062,8.466,255,2.980,0.170,0.434
SH_W000_5Vcotton_1000g_R3.TIF,124,17.795,0.144,16.883,255,5.014,0.190,0.469
SH_W000_5Vcotton_1000g_R4.TIF,124,5.616,0.045,5.328,255,2.292,0.169,0.433
SH_W000_5Vcotton_1000g_R5.TIF,116,6.868,0.059,6.516,255,2.922,0.158,0.403
SH_W000_5Vcotton_100g_R1.TIF,67,2.944,0.044,2.793,255,2.600,0.158,0.397
SH_W000_5Vcotton_100g_R2.TIF,61,3.566,0.058,3.383,255,3.100,0.141,0.364
SH_W000_5Vcotton_100g_R3.TIF,91,5.810,0.064,5.512,255,3.233,0.159,0.396
SH_W000_5Vcotton_100g_R4.TIF,38,1.428,0.038,1.354,255,2.048,0.160,0.396
SH_W000_5Vcotton_100g_R5.TIF,55,1.928,0.035,1.829,255,1.930,0.157,0.391
SH_W000_5Vcotton_2000g_R1.TIF,134,8.926,0.067,8.469,255,3.066,0.160,0.420
SH_W000_5Vcotton_2000g_R2.TIF,135,10.068,0.075,9.552,255,3.399,0.175,0.428
SH_W000_5Vcotton_2000g_R3.TIF,131,13.069,0.100,12.399,255,3.857,0.183,0.450
SH_W000_5Vcotton_2000g_R4.TIF,126,12.585,0.100,11.939,255,3.684,0.188,0.457
SH_W000_5Vcotton_2000g_R5.TIF,139,11.662,0.084,11.064,255,3.606,0.192,0.462
SH_W000_5Vcotton_200g_R1.TIF,95,6.481,0.068,6.149,255,3.123,0.156,0.401
SH_W000_5Vcotton_200g_R2.TIF,110,5.801,0.053,5.503,255,2.836,0.153,0.392
SH_W000_5Vcotton_200g_R3.TIF,114,9.945,0.087,9.436,255,4.058,0.155,0.400
SH_W000_5Vcotton_200g_R4.TIF,72,2.449,0.034,2.324,255,1.923,0.156,0.388
SH_W000_5Vcotton_200g_R5.TIF,71,2.888,0.041,2.740,255,2.263,0.166,0.408
SH_W000_5Vcotton_400g_R1.TIF,131,6.521,0.050,6.186,255,2.660,0.170,0.411
SH_W000_5Vcotton_400g_R2.TIF,112,6.400,0.057,6.072,255,2.850,0.155,0.410
