Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity,
SH_W000_G6_1000g_R1.TIF,97,33.161,0.342,31.461,255,4.518,0.243,0.574
SH_W000_G6_1000g_R2.TIF,103,31.003,0.301,29.414,255,5.187,0.214,0.525
SH_W000_G6_1000g_R3.TIF,122,29.047,0.238,27.558,255,5.459,0.215,0.522
SH_W000_G6_1000g_R4.TIF,169,27.539,0.163,26.127,255,3.445,0.223,0.547
SH_W000_G6_1000g_R5.TIF,103,38.367,0.372,36.4,255,5.221,0.266,0.6
SH_W000_G6_100g_R1.TIF,184,12.584,0.068,11.939,255,2.885,0.182,0.453
SH_W000_G6_100g_R2.TIF,165,16.042,0.097,15.219,255,3.743,0.195,0.495
SH_W000_G6_100g_R3.TIF,132,19.362,0.147,18.369,255,4.547,0.196,0.492
SH_W000_G6_100g_R4.TIF,195,9.536,0.049,9.047,255,2.171,0.194,0.492
SH_W000_G6_100g_R5.TIF,185,6.603,0.036,6.264,255,1.88,0.194,0.479
SH_W000_G6_2000g_R1.TIF,93,39.488,0.425,37.463,255,4.599,0.232,0.553
SH_W000_G6_2000g_R2.TIF,134,29.033,0.217,27.545,255,4.519,0.221,0.531
SH_W000_G6_2000g_R3.TIF,171,25.256,0.148,23.961,255,4.041,0.23,0.538
SH_W000_G6_2000g_R4.TIF,113,31.398,0.278,29.788,255,4.075,0.227,0.543
SH_W000_G6_2000g_R5.TIF,128,34.654,0.271,32.878,255,3.924,0.232,0.545
SH_W000_G6_200g_R1.TIF,166,18.073,0.109,17.147,255,3.879,0.196,0.493
SH_W000_G6_200g_R2.TIF,153,18.716,0.122,17.756,255,3.968,0.197,0.494
SH_W000_G6_200g_R3.TIF,186,14.583,0.078,13.835,255,3.483,0.176,0.456
SH_W000_G6_200g_R4.TIF,192,5.123,0.027,4.861,255,1.446,0.221,0.529
SH_W000_G6_200g_R5.TIF,189,4.441,0.023,4.213,255,1.382,0.224,0.526
SH_W000_G6_400g_R1.TIF,128,23.32,0.182,22.124,255,3.808,0.214,0.505
SH_W000_G6_400g_R2.TIF,162,22.635,0.14,21.475,255,4.542,0.2,0.507
SH_W000_G6_400g_R3.TIF,175,15.585,0.089,14.786,255,3.517,0.196,0.484
SH_W000_G6_400g_R4.TIF,193,10.725,0.056,10.175,255,2.664,0.185,0.468
SH_W000_G6_400g_R5.TIF,208,7.017,0.034,6.657,255,1.872,0.2,0.487
SH_W000_G6_800g_R1.TIF,112,33.24,0.297,31.536,255,4.719,0.255,0.574
SH_W000_G6_800g_R2.TIF,103,30.956,0.301,29.369,255,6.088,0.222,0.537
SH_W000_G6_800g_R3.TIF,144,20.982,0.146,19.906,255,4.626,0.203,0.496
SH_W000_G6_800g_R4.TIF,211,7.83,0.037,7.429,255,1.946,0.201,0.501
SH_W000_G6_800g_R5.TIF,200,9.599,0.048,9.107,255,2.258,0.203,0.505
SH_W025_G6_1000g_R1.TIF,49,0.953,0.019,0.904,255,1.154,0.245,0.546
SH_W025_G6_1000g_R2.TIF,62,1.654,0.027,1.569,255,1.352,0.238,0.548
SH_W025_G6_1000g_R3.TIF,84,4.62,0.055,4.383,255,1.839,0.24,0.569
SH_W025_G6_1000g_R4.TIF,37,1.211,0.033,1.149,255,1.315,0.242,0.578
SH_W025_G6_1000g_R5.TIF,23,1.167,0.051,1.107,255,1.745,0.223,0.55
SH_W025_G6_100g_R1.TIF,29,0.599,0.021,0.568,255,1.238,0.189,0.521
SH_W025_G6_100g_R2.TIF,74,2.487,0.034,2.36,255,1.744,0.224,0.572
SH_W025_G6_100g_R3.TIF,32,1.003,0.031,0.951,255,1.335,0.218,0.569
SH_W025_G6_100g_R4.TIF,4,0.127,0.032,0.12,255,0.926,0.351,0.68
SH_W025_G6_100g_R5.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
SH_W025_G6_2000g_R1.TIF,40,2.219,0.055,2.105,255,1.827,0.239,0.576
SH_W025_G6_2000g_R2.TIF,82,2.31,0.028,2.192,255,1.321,0.243,0.581
SH_W025_G6_2000g_R3.TIF,20,0.616,0.031,0.585,255,1.07,0.271,0.611
SH_W025_G6_2000g_R4.TIF,14,0.235,0.017,0.223,255,0.898,0.244,0.612
SH_W025_G6_2000g_R5.TIF,33,0.87,0.026,0.826,255,1.279,0.254,0.583
SH_W025_G6_200g_R1.TIF,17,0.186,0.011,0.176,255,0.735,0.31,0.625
SH_W025_G6_200g_R2.TIF,28,1.388,0.05,1.317,255,1.686,0.204,0.533
SH_W025_G6_200g_R3.TIF,16,0.228,0.014,0.216,255,0.966,0.247,0.579
SH_W025_G6_200g_R4.TIF,10,0.8,0.08,0.759,255,2.302,0.228,0.544
SH_W025_G6_200g_R5.TIF,7,0.066,0.009,0.063,255,0.689,0.326,0.642
SH_W025_G6_400g_R1.TIF,40,1.223,0.031,1.16,255,1.559,0.209,0.527
SH_W025_G6_400g_R2.TIF,49,2.025,0.041,1.921,255,1.466,0.222,0.558
SH_W025_G6_400g_R3.TIF,24,0.768,0.032,0.729,255,1.308,0.236,0.564
SH_W025_G6_400g_R4.TIF,5,0.11,0.022,0.104,255,0.947,0.299,0.569
SH_W025_G6_400g_R5.TIF,7,0.222,0.032,0.21,255,0.854,0.387,0.743
SH_W025_G6_800g_R1.TIF,61,1.866,0.031,1.77,255,1.505,0.22,0.54
SH_W025_G6_800g_R2.TIF,64,2.252,0.035,2.137,255,1.519,0.231,0.557
SH_W025_G6_800g_R3.TIF,35,1.129,0.032,1.071,255,1.361,0.244,0.567
SH_W025_G6_800g_R4.TIF,21,0.989,0.047,0.939,255,1.696,0.229,0.553
SH_W025_G6_800g_R5.TIF,8,0.497,0.062,0.472,255,1.854,0.284,0.646
