Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
SH_W000_G1_1000g_R1.TIF,143,8.753,0.061,8.304,255,3.219,0.156,0.403
SH_W000_G1_1000g_R2.TIF,121,11.799,0.098,11.194,255,4.477,0.149,0.399
SH_W000_G1_1000g_R3.TIF,126,9.785,0.078,9.283,255,3.704,0.137,0.373
SH_W000_G1_1000g_R4.TIF,137,11.614,0.085,11.019,255,3.877,0.164,0.418
SH_W000_G1_1000g_R5.TIF,128,10.801,0.084,10.247,255,3.606,0.174,0.432
SH_W000_G1_100g_R1.TIF,106,6.374,0.06,6.047,255,2.857,0.156,0.401
SH_W000_G1_100g_R2.TIF,96,4.328,0.045,4.106,255,2.441,0.151,0.384
SH_W000_G1_100g_R3.TIF,76,4.225,0.056,4.008,255,3.217,0.118,0.35
SH_W000_G1_100g_R4.TIF,94,3.99,0.042,3.786,255,2.459,0.151,0.385
SH_W000_G1_100g_R5.TIF,68,2.419,0.036,2.295,255,2.079,0.155,0.385
SH_W000_G1_2000g_R1.TIF,160,12.266,0.077,11.637,255,3.463,0.156,0.408
SH_W000_G1_2000g_R2.TIF,115,16.321,0.142,15.484,255,5.31,0.172,0.435
SH_W000_G1_2000g_R3.TIF,117,15.717,0.134,14.911,255,5.127,0.159,0.414
SH_W000_G1_2000g_R4.TIF,117,11.693,0.1,11.093,255,4.27,0.164,0.422
SH_W000_G1_2000g_R5.TIF,105,13.435,0.128,12.746,255,5.351,0.155,0.401
SH_W000_G1_200g_R1.TIF,83,3.153,0.038,2.991,255,2.295,0.139,0.367
SH_W000_G1_200g_R2.TIF,105,8.947,0.085,8.488,255,4.038,0.123,0.342
SH_W000_G1_200g_R3.TIF,111,7.51,0.068,7.124,255,3.591,0.143,0.378
SH_W000_G1_200g_R4.TIF,110,8.143,0.074,7.726,255,3.701,0.147,0.377
SH_W000_G1_200g_R5.TIF,107,6.142,0.057,5.827,255,3.021,0.135,0.358
SH_W000_G1_400g_R1.TIF,123,5.784,0.047,5.487,255,2.755,0.145,0.372
SH_W000_G1_400g_R2.TIF,126,5.809,0.046,5.512,255,2.573,0.134,0.368
SH_W000_G1_400g_R3.TIF,131,10.668,0.081,10.121,255,3.864,0.141,0.381
SH_W000_G1_400g_R4.TIF,136,9.41,0.069,8.927,255,3.528,0.135,0.368
SH_W000_G1_400g_R5.TIF,137,10.535,0.077,9.995,255,3.526,0.147,0.394
SH_W000_G1_800g_R1.TIF,148,8.991,0.061,8.53,255,3.033,0.157,0.41
SH_W000_G1_800g_R2.TIF,114,9.757,0.086,9.257,255,4.243,0.147,0.373
SH_W000_G1_800g_R3.TIF,131,8.666,0.066,8.221,255,3.437,0.135,0.375
SH_W000_G1_800g_R4.TIF,158,9.486,0.06,9,255,3.056,0.155,0.4
SH_W000_G1_800g_R5.TIF,136,11.269,0.083,10.691,255,3.817,0.162,0.412
SH_W001_G1_1000g_R1.TIF,43,37.514,0.872,35.59,255,5.82,0.26,0.583
SH_W001_G1_1000g_R2.TIF,56,41.321,0.738,39.202,255,7.155,0.278,0.596
SH_W001_G1_1000g_R3.TIF,41,44.95,1.096,42.645,255,6.67,0.237,0.55
SH_W001_G1_1000g_R4.TIF,42,42.409,1.01,40.235,255,8.559,0.21,0.516
SH_W001_G1_1000g_R5.TIF,106,26.678,0.252,25.31,255,5.809,0.186,0.468
SH_W001_G1_100g_R1.TIF,110,6.614,0.06,6.275,255,3.157,0.159,0.407
SH_W001_G1_100g_R2.TIF,117,9.445,0.081,8.96,255,3.636,0.144,0.378
SH_W001_G1_100g_R3.TIF,128,9.289,0.073,8.813,255,3.54,0.153,0.395
SH_W001_G1_100g_R4.TIF,129,12.013,0.093,11.397,255,4.159,0.146,0.395
