Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
SH_W000_Rcotton_1000g_R1.TIF,179,19.276,0.108,18.288,255,3.318,0.195,0.491
SH_W000_Rcotton_1000g_R2.TIF,149,33.559,0.225,31.838,255,3.680,0.221,0.543
SH_W000_Rcotton_1000g_R3.TIF,177,5.582,0.032,5.296,255,1.939,0.161,0.423
SH_W000_Rcotton_1000g_R4.TIF,78,36.073,0.462,34.224,255,5.950,0.199,0.511
SH_W000_Rcotton_1000g_R5.TIF,60,43.984,0.733,41.729,255,4.768,0.221,0.560
SH_W000_Rcotton_100g_R1.TIF,143,9.546,0.067,9.056,255,2.924,0.182,0.485
SH_W000_Rcotton_100g_R2.TIF,162,11.249,0.069,10.672,255,3.031,0.170,0.460
SH_W000_Rcotton_100g_R3.TIF,93,2.961,0.032,2.809,255,2.063,0.146,0.417
SH_W000_Rcotton_100g_R4.TIF,175,12.157,0.069,11.534,255,3.032,0.157,0.436
SH_W000_Rcotton_100g_R5.TIF,182,9.302,0.051,8.825,255,2.591,0.162,0.443
SH_W000_Rcotton_2000g_R1.TIF,58,45.328,0.782,43.004,255,5.731,0.196,0.487
SH_W000_Rcotton_2000g_R2.TIF,103,31.791,0.309,30.161,255,5.478,0.183,0.473
SH_W000_Rcotton_2000g_R3.TIF,91,30.369,0.334,28.812,255,6.120,0.194,0.493
SH_W000_Rcotton_2000g_R4.TIF,71,38.099,0.537,36.146,255,5.630,0.211,0.520
SH_W000_Rcotton_2000g_R5.TIF,96,41.096,0.428,38.989,255,4.882,0.194,0.503
SH_W000_Rcotton_200g_R1.TIF,143,4.239,0.030,4.021,255,1.761,0.162,0.441
SH_W000_Rcotton_200g_R2.TIF,177,13.212,0.075,12.535,255,3.503,0.159,0.443
SH_W000_Rcotton_200g_R3.TIF,160,17.511,0.109,16.613,255,3.807,0.175,0.462
SH_W000_Rcotton_200g_R4.TIF,175,6.734,0.038,6.389,255,2.281,0.161,0.447
SH_W000_Rcotton_200g_R5.TIF,204,8.397,0.041,7.966,255,2.320,0.170,0.458
SH_W000_Rcotton_400g_R1.TIF,174,12.579,0.072,11.934,255,3.160,0.172,0.448
SH_W000_Rcotton_400g_R2.TIF,191,19.549,0.102,18.547,255,3.768,0.185,0.482
SH_W000_Rcotton_400g_R3.TIF,156,4.449,0.029,4.221,255,1.833,0.164,0.441
SH_W000_Rcotton_400g_R4.TIF,173,12.956,0.075,12.292,255,3.643,0.144,0.412
