Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
SH_W000_Rcotton_100g_R1.TIF,160,4.936,0.031,4.512,255,1.76,0.195,0.477
SH_W000_Rcotton_1000g_R1.TIF,169,20.547,0.122,19.494,255,3.75,0.235,0.548
SH_W000_Rcotton_1000g_R2.TIF,142,19.257,0.136,18.27,255,3.661,0.225,0.529
SH_W000_Rcotton_1000g_R3.TIF,161,16.198,0.101,15.367,255,3.773,0.214,0.526
SH_W000_Rcotton_1000g_R4.TIF,84,39.503,0.47,37.478,255,5.172,0.225,0.548
SH_W000_Rcotton_1000g_R5.TIF,34,53.052,1.56,50.332,255,7.144,0.288,0.658
SH_W000_Rcotton_100g_R1.TIF,171,13,0.076,12.333,255,2.848,0.201,0.503
SH_W000_Rcotton_100g_R2.TIF,178,31.638,0.178,30.016,255,3.295,0.24,0.585
SH_W000_Rcotton_100g_R3.TIF,165,27.974,0.17,26.54,255,3.666,0.242,0.595
SH_W000_Rcotton_100g_R4.TIF,160,15.891,0.099,15.076,255,2.896,0.204,0.515
SH_W000_Rcotton_100g_R5.TIF,183,6.919,0.038,6.564,255,1.916,0.204,0.499
SH_W000_Rcotton_2000g_R1.TIF,32,58.21,1.819,55.225,255,6.105,0.281,0.623
SH_W000_Rcotton_2000g_R2.TIF,99,34.948,0.353,33.156,255,5.091,0.229,0.541
SH_W000_Rcotton_2000g_R3.TIF,80,35.872,0.448,34.033,255,4.856,0.246,0.576
SH_W000_Rcotton_2000g_R4.TIF,65,47.773,0.735,45.324,255,4.646,0.246,0.591
SH_W000_Rcotton_2000g_R5.TIF,78,47.827,0.613,45.374,255,5.357,0.242,0.566
SH_W000_Rcotton_200g_R1.TIF,135,4.641,0.034,4.403,255,1.915,0.198,0.488
SH_W000_Rcotton_200g_R2.TIF,157,13.322,0.085,12.639,255,3.222,0.214,0.519
SH_W000_Rcotton_200g_R3.TIF,192,8.115,0.042,7.699,255,2.014,0.212,0.508
SH_W000_Rcotton_200g_R4.TIF,185,12.672,0.068,12.022,255,2.961,0.197,0.499
SH_W000_Rcotton_200g_R5.TIF,142,21.484,0.151,20.382,255,4.038,0.217,0.542
SH_W000_Rcotton_400g_R1.TIF,164,9.707,0.059,9.209,255,2.699,0.174,0.464
SH_W000_Rcotton_400g_R2.TIF,196,9.756,0.05,9.255,255,2.356,0.205,0.515
SH_W000_Rcotton_400g_R3.TIF,171,13.243,0.077,12.564,255,3.034,0.216,0.517
SH_W000_Rcotton_400g_R4.TIF,161,17.439,0.108,16.545,255,3.989,0.214,0.513
SH_W000_Rcotton_400g_R5.TIF,209,12.755,0.061,12.101,255,2.722,0.201,0.496
SH_W000_Rcotton_800g_R1.TIF,178,16.49,0.093,15.645,255,3.281,0.213,0.516
SH_W000_Rcotton_800g_R2.TIF,179,16.263,0.091,15.429,255,3.323,0.191,0.487
SH_W000_Rcotton_800g_R3.TIF,154,17.785,0.115,16.873,255,3.787,0.205,0.508
SH_W000_Rcotton_800g_R4.TIF,97,33.403,0.344,31.69,255,5.44,0.238,0.555
SH_W000_Rcotton_800g_R5.TIF,68,48.149,0.708,45.68,255,4.85,0.272,0.611
