Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20230525_MP_W000_G2_10_Atr.TIF,8,0.161,0.020,0.155,255,1.243,0.189,0.550
20230525_MP_W000_G2_1_Atr.TIF,5,0.089,0.018,0.086,255,1.007,0.314,0.584
20230525_MP_W000_G2_2_Atr.TIF,6,0.124,0.021,0.119,255,1.353,0.155,0.454
20230525_MP_W000_G2_3_Atr.TIF,4,0.207,0.052,0.198,255,3.034,0.117,0.373
20230525_MP_W000_G2_4_Atr.TIF,6,0.139,0.023,0.133,255,1.629,0.149,0.389
20230525_MP_W000_G2_5_Atr.TIF,3,0.042,0.014,0.040,255,1.006,0.187,0.421
20230525_MP_W000_G2_6_Atr.TIF,2,0.086,0.043,0.082,255,2.153,0.193,0.399
20230525_MP_W000_G2_7_Atr.TIF,3,0.068,0.023,0.065,255,1.287,0.219,0.525
20230525_MP_W000_G2_8_Atr.TIF,5,0.122,0.024,0.117,255,1.527,0.176,0.394
20230525_MP_W000_G2_9_Atr.TIF,6,0.159,0.026,0.152,255,1.678,0.168,0.468
20230525_MP_W000_G2_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230525_MP_W000_G2_positive_Atr.TIF,10,0.234,0.023,0.225,255,1.311,0.197,0.474
20230510_MP_W000_G2_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_4_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_5_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_6_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_8_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W000_G2_positive_B.TIF,11,0.243,0.022,0.233,255,1.268,0.197,0.466
20230526_MP_W001_G2_10_Atr.TIF,18,0.333,0.018,0.319,255,1.097,0.263,0.619
20230526_MP_W001_G2_1_Atr.TIF,8,0.149,0.019,0.143,255,1.092,0.215,0.536
20230526_MP_W001_G2_2_Atr.TIF,9,0.141,0.016,0.135,255,0.965,0.270,0.565
20230526_MP_W001_G2_3_Atr.TIF,16,0.411,0.026,0.394,255,1.523,0.225,0.519
20230526_MP_W001_G2_4_Atr.TIF,11,0.205,0.019,0.196,255,1.097,0.242,0.526
20230526_MP_W001_G2_5_Atr.TIF,10,0.173,0.017,0.166,255,1.062,0.241,0.551
20230526_MP_W001_G2_6_Atr.TIF,12,0.334,0.028,0.321,255,1.652,0.164,0.457
20230526_MP_W001_G2_7_Atr.TIF,11,0.368,0.033,0.353,255,2.009,0.177,0.468
20230526_MP_W001_G2_8_Atr.TIF,23,0.459,0.020,0.441,255,1.192,0.228,0.557
20230526_MP_W001_G2_9_Atr.TIF,18,0.399,0.022,0.383,255,1.304,0.218,0.529
20230526_MP_W001_G2_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230526_MP_W001_G2_positive_Atr.TIF,11,0.232,0.021,0.222,255,1.227,0.226,0.489
20230510_MP_W001_G2_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_4_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_5_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_6_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_8_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN
20230510_MP_W001_G2_positive_B.TIF,11,0.243,0.022,0.233,255,1.268,0.197,0.466
20230529_MP_W002_G2_10_Atr.TIF,9,0.317,0.035,0.304,255,1.865,0.222,0.499
20230529_MP_W002_G2_1_Atr.TIF,5,0.076,0.015,0.073,255,0.995,0.211,0.564
20230529_MP_W002_G2_2_Atr.TIF,5,0.140,0.028,0.134,255,1.550,0.186,0.498
20230529_MP_W002_G2_3_Atr.TIF,9,0.260,0.029,0.250,255,1.643,0.141,0.436
20230529_MP_W002_G2_4_Atr.TIF,5,0.081,0.016,0.078,255,0.929,0.266,0.608
20230529_MP_W002_G2_5_Atr.TIF,10,0.252,0.025,0.242,255,1.451,0.255,0.598
20230529_MP_W002_G2_6_Atr.TIF,11,0.256,0.023,0.246,255,1.168,0.332,0.606
20230529_MP_W002_G2_7_Atr.TIF,14,0.299,0.021,0.287,255,1.154,0.290,0.588
