Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20230612_MP_W000_G3_10_Atr.TIF,16,0.402,0.025,0.385,255,1.55,0.207,0.519
20230612_MP_W000_G3_1_Atr.TIF,5,0.1,0.02,0.096,255,1.24,0.23,0.511
20230612_MP_W000_G3_2_Atr.TIF,5,0.102,0.02,0.098,255,1.133,0.282,0.55
20230612_MP_W000_G3_3_Atr.TIF,6,0.127,0.021,0.122,255,1.27,0.192,0.475
20230612_MP_W000_G3_4_Atr.TIF,7,0.166,0.024,0.16,255,1.503,0.154,0.409
20230612_MP_W000_G3_5_Atr.TIF,3,0.036,0.012,0.034,255,0.697,0.382,0.738
20230612_MP_W000_G3_6_Atr.TIF,2,0.036,0.018,0.035,255,1.159,0.236,0.49
20230612_MP_W000_G3_7_Atr.TIF,5,0.118,0.024,0.113,255,1.287,0.243,0.52
20230612_MP_W000_G3_8_Atr.TIF,5,0.137,0.027,0.132,255,1.676,0.183,0.556
20230612_MP_W000_G3_9_Atr.TIF,2,0.092,0.046,0.088,255,2.702,0.132,0.447
20230612_MP_W000_G3_negative_Atr.TIF,1,0.007,0.007,0.007,255,0.467,0.409,0.649
20230612_MP_W000_G3_positive_Atr.TIF,12,0.257,0.021,0.246,255,1.192,0.227,0.509
20230612_MP_W000_G3_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_2_B.TIF,1,0.008,0.008,0.007,255,0.728,0.179,0.535
20230612_MP_W000_G3_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230612_MP_W000_G3_positive_B.TIF,12,0.28,0.023,0.269,255,1.262,0.225,0.512
20230613_MP_W001_G3_10_Atr.TIF,13,0.193,0.015,0.185,255,0.945,0.28,0.563
20230613_MP_W001_G3_1_Atr.TIF,10,0.269,0.027,0.258,255,1.539,0.202,0.46
20230613_MP_W001_G3_2_Atr.TIF,13,0.195,0.015,0.187,255,0.926,0.253,0.598
20230613_MP_W001_G3_3_Atr.TIF,13,0.351,0.027,0.337,255,1.595,0.203,0.534
20230613_MP_W001_G3_4_Atr.TIF,9,0.196,0.022,0.188,255,1.236,0.258,0.517
20230613_MP_W001_G3_5_Atr.TIF,6,0.106,0.018,0.102,255,0.994,0.259,0.607
20230613_MP_W001_G3_6_Atr.TIF,14,0.306,0.022,0.293,255,1.292,0.245,0.581
20230613_MP_W001_G3_7_Atr.TIF,13,0.287,0.022,0.275,255,1.252,0.217,0.56
20230613_MP_W001_G3_8_Atr.TIF,9,0.191,0.021,0.183,255,1.318,0.247,0.63
20230613_MP_W001_G3_9_Atr.TIF,12,0.213,0.018,0.205,255,1.039,0.252,0.575
20230613_MP_W001_G3_negative_Atr.TIF,1,0.008,0.008,0.007,255,0.475,0.426,0.693
20230613_MP_W001_G3_positive_Atr.TIF,12,0.253,0.021,0.243,255,1.168,0.233,0.532
20230613_MP_W001_G3_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230613_MP_W001_G3_negative_B.TIF,1,0.008,0.008,0.007,255,0.471,0.425,0.661
20230613_MP_W001_G3_positive_B.TIF,14,0.297,0.021,0.285,255,1.125,0.259,0.546
20230614_MP_W002_G3_10_Atr.TIF,11,0.222,0.02,0.213,255,1.143,0.253,0.524
20230614_MP_W002_G3_1_Atr.TIF,6,0.134,0.022,0.128,255,1.201,0.205,0.536
20230614_MP_W002_G3_2_Atr.TIF,7,0.131,0.019,0.125,255,1.128,0.245,0.537
20230614_MP_W002_G3_3_Atr.TIF,3,0.063,0.021,0.061,255,1.261,0.174,0.543
20230614_MP_W002_G3_4_Atr.TIF,8,0.231,0.029,0.221,255,1.501,0.241,0.517
20230614_MP_W002_G3_5_Atr.TIF,10,0.233,0.023,0.223,255,1.295,0.243,0.538
20230614_MP_W002_G3_6_Atr.TIF,10,0.257,0.026,0.247,255,1.382,0.214,0.493
20230614_MP_W002_G3_7_Atr.TIF,4,0.079,0.02,0.076,255,1.165,0.188,0.551
20230614_MP_W002_G3_8_Atr.TIF,4,0.171,0.043,0.164,255,2.45,0.114,0.31
20230614_MP_W002_G3_9_Atr.TIF,13,0.208,0.016,0.199,255,0.918,0.283,0.619
20230614_MP_W002_G3_negative_Atr.TIF,1,0.008,0.008,0.007,255,0.475,0.426,0.693
20230614_MP_W002_G3_positive_Atr.TIF,12,0.253,0.021,0.243,255,1.168,0.233,0.532
20230614_MP_W002_G3_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_negative_B.TIF,1,0.008,0.008,0.007,255,0.471,0.425,0.661
20230614_MP_W002_G3_positive_B.TIF,14,0.297,0.021,0.285,255,1.125,0.259,0.546
20230615_MP_W003_G3_10_Atr.TIF,7,0.222,0.032,0.213,255,1.716,0.181,0.472
20230615_MP_W003_G3_1_Atr.TIF,2,0.157,0.079,0.151,255,4.033,0.117,0.369
20230615_MP_W003_G3_2_Atr.TIF,6,0.163,0.027,0.156,255,1.407,0.239,0.539
20230615_MP_W003_G3_3_Atr.TIF,3,0.078,0.026,0.074,255,1.263,0.209,0.548
20230615_MP_W003_G3_4_Atr.TIF,1,0.012,0.012,0.012,255,0.743,0.276,0.588
20230615_MP_W003_G3_5_Atr.TIF,1,0.028,0.028,0.027,255,1.789,0.111,0.532
20230615_MP_W003_G3_6_Atr.TIF,2,0.051,0.025,0.049,255,1.543,0.15,0.479
20230615_MP_W003_G3_7_Atr.TIF,4,0.082,0.02,0.079,255,1.262,0.216,0.484
20230615_MP_W003_G3_8_Atr.TIF,2,0.065,0.033,0.063,255,2.055,0.097,0.316
20230615_MP_W003_G3_9_Atr.TIF,1,0.011,0.011,0.011,255,0.709,0.28,0.6
20230615_MP_W003_G3_negative_Atr.TIF,1,0.009,0.009,0.009,255,0.503,0.448,0.679
20230615_MP_W003_G3_positive_Atr.TIF,13,0.304,0.023,0.292,255,1.255,0.219,0.528
20230615_MP_W003_G3_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_1_B.TIF,4,0.098,0.025,0.094,255,1.438,0.204,0.443
20230615_MP_W003_G3_2_B.TIF,1,0.065,0.065,0.063,255,2.969,0.093,0.283
20230615_MP_W003_G3_3_B.TIF,3,0.123,0.041,0.118,255,2.31,0.123,0.338
20230615_MP_W003_G3_4_B.TIF,1,0.008,0.008,0.008,255,0.485,0.434,0.665
20230615_MP_W003_G3_5_B.TIF,3,0.076,0.025,0.073,255,1.435,0.169,0.421
20230615_MP_W003_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_8_B.TIF,3,0.051,0.017,0.049,255,0.999,0.249,0.517
20230615_MP_W003_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
