Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
W000_G1_1_para_Atr.TIF,7,0.289,0.041,0.23,255,1.954,0.167,0.466
W000_G1_2_para_Atr.TIF,4,0.112,0.028,0.09,255,1.743,0.134,0.489
W000_G1_3_perp_Atr.TIF,5,0.289,0.058,0.23,255,3.025,0.128,0.382
W000_G1_4_perp_Atr.TIF,12,0.585,0.049,0.467,255,2.457,0.14,0.411
W000_G2_1_para_Atr.TIF,9,0.384,0.043,0.306,255,2.544,0.121,0.428
W000_G2_2_para_Atr.TIF,6,0.232,0.039,0.185,255,2.056,0.161,0.514
W000_G2_3_perp_Atr.TIF,14,0.561,0.04,0.447,255,2.218,0.149,0.425
W000_G2_4_perp_Atr.TIF,1,113.63,113.63,90.585,255,42.657,0.785,0.999
W000_G3_1_para_Atr.TIF,1,0.012,0.012,0.009,255,0.565,0.455,0.756
W000_G3_2_para_Atr.TIF,14,0.365,0.026,0.291,255,1.662,0.147,0.472
W000_G3_3_perp_Atr.TIF,14,0.421,0.03,0.336,255,1.679,0.192,0.523
W000_G3_4_perp_Atr.TIF,5,0.232,0.046,0.185,255,2.871,0.192,0.51
W000_G4_1_para_Atr.TIF,2,0.147,0.074,0.117,255,4.629,0.045,0.129
W000_G4_2_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
W000_G4_3_perp_Atr.TIF,6,0.196,0.033,0.157,255,2.11,0.132,0.412
W000_G4_4_perp_Atr.TIF,7,0.123,0.018,0.098,255,1.094,0.258,0.58
W000_G5_1_para_Atr.TIF,4,0.214,0.054,0.171,255,3.022,0.138,0.439
W000_G5_2_para_Atr.TIF,5,0.156,0.031,0.124,255,1.791,0.137,0.427
W000_G5_3_perp_Atr.TIF,10,0.353,0.035,0.281,255,1.973,0.144,0.465
W000_G5_4_perp_Atr.TIF,2,0.046,0.023,0.036,255,1.474,0.135,0.346
W000_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
W000_positive_Atr.TIF,10,0.441,0.044,0.352,255,2.621,0.114,0.4
W000_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
