Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G2_1000g_R1_SH.TIF,111,5.531,0.05,5.249,2.494,0.15,0.383
MP_W000_G2_1000g_R2_SH.TIF,136,7.792,0.057,7.395,2.715,0.18,0.426
MP_W000_G2_1000g_R3_SH.TIF,115,4.258,0.037,4.041,2.015,0.173,0.406
MP_W000_G2_1000g_R4_SH.TIF,94,4.869,0.052,4.621,2.691,0.17,0.388
MP_W000_G2_1000g_R5_SH.TIF,135,9.223,0.068,8.753,2.979,0.168,0.414
MP_W000_G2_100g_R1_SH.TIF,31,1.068,0.034,1.014,2.153,0.131,0.329
MP_W000_G2_100g_R2_SH.TIF,31,1.325,0.043,1.257,2.258,0.176,0.413
MP_W000_G2_100g_R3_SH.TIF,47,1.609,0.034,1.527,1.891,0.173,0.397
MP_W000_G2_100g_R4_SH.TIF,39,1.503,0.039,1.426,2.112,0.137,0.369
MP_W000_G2_100g_R5_SH.TIF,56,1.908,0.034,1.811,1.907,0.164,0.403
MP_W000_G2_2000g_R1_SH.TIF,113,13.693,0.121,12.995,4.805,0.165,0.404
MP_W000_G2_2000g_R2_SH.TIF,111,8.658,0.078,8.217,3.116,0.172,0.409
MP_W000_G2_2000g_R3_SH.TIF,108,14.865,0.138,14.108,4.434,0.175,0.423
MP_W000_G2_2000g_R4_SH.TIF,134,11.446,0.085,10.863,3.551,0.186,0.436
MP_W000_G2_2000g_R5_SH.TIF,141,8.436,0.06,8.006,2.57,0.182,0.433
MP_W000_G2_200g_R1_SH.TIF,73,2.651,0.036,2.516,1.985,0.168,0.391
MP_W000_G2_200g_R2_SH.TIF,33,1.18,0.036,1.12,2.194,0.162,0.393
MP_W000_G2_200g_R3_SH.TIF,51,2.185,0.043,2.074,2.506,0.137,0.331
MP_W000_G2_200g_R4_SH.TIF,59,2.246,0.038,2.132,2.087,0.16,0.391
MP_W000_G2_200g_R5_SH.TIF,56,2.367,0.042,2.246,2.463,0.145,0.359
MP_W000_G2_400g_R1_SH.TIF,73,2.405,0.033,2.283,1.819,0.191,0.427
MP_W000_G2_400g_R2_SH.TIF,112,5.29,0.047,5.021,2.205,0.175,0.425
MP_W000_G2_400g_R3_SH.TIF,93,5.414,0.058,5.138,3.098,0.164,0.393
MP_W000_G2_400g_R4_SH.TIF,93,3.723,0.04,3.534,2.108,0.174,0.409
MP_W000_G2_400g_R5_SH.TIF,110,4.329,0.039,4.108,2.105,0.165,0.407
MP_W000_G2_800g_R1_SH.TIF,95,5.373,0.057,5.099,2.808,0.155,0.381
MP_W000_G2_800g_R2_SH.TIF,110,5.757,0.052,5.464,2.509,0.168,0.397
MP_W000_G2_800g_R3_SH.TIF,97,5.296,0.055,5.026,2.73,0.15,0.376
MP_W000_G2_800g_R4_SH.TIF,135,7.29,0.054,6.919,2.51,0.175,0.405
MP_W000_G2_800g_R5_SH.TIF,123,6.009,0.049,5.703,2.481,0.166,0.393
MP_W001_G2_1000g_R1_SH.TIF,63,30.013,0.476,28.484,7.431,0.207,0.477
MP_W001_G2_1000g_R2_SH.TIF,31,46.27,1.493,43.913,7.176,0.304,0.608
MP_W001_G2_1000g_R3_SH.TIF,90,26.427,0.294,25.08,5.115,0.22,0.492
MP_W001_G2_1000g_R4_SH.TIF,61,27.935,0.458,26.512,7.179,0.238,0.525
MP_W001_G2_1000g_R5_SH.TIF,66,29.691,0.45,28.178,6.237,0.238,0.526
MP_W001_G2_100g_R1_SH.TIF,90,16.948,0.188,16.085,5.229,0.168,0.422
MP_W001_G2_100g_R2_SH.TIF,100,15.519,0.155,14.729,4.949,0.17,0.428
MP_W001_G2_100g_R3_SH.TIF,104,13.181,0.127,12.509,4.815,0.144,0.394
MP_W001_G2_100g_R4_SH.TIF,75,17.638,0.235,16.74,7.52,0.201,0.453
MP_W001_G2_100g_R5_SH.TIF,96,12.484,0.13,11.848,5.23,0.159,0.384
MP_W001_G2_2000g_R1_SH.TIF,31,46.059,1.486,43.712,8.44,0.305,0.585
MP_W001_G2_2000g_R2_SH.TIF,38,42.065,1.107,39.922,7.681,0.27,0.554
MP_W001_G2_2000g_R3_SH.TIF,26,43.483,1.672,41.268,12.053,0.243,0.536
MP_W001_G2_2000g_R4_SH.TIF,35,41.554,1.187,39.437,7.72,0.227,0.528
MP_W001_G2_2000g_R5_SH.TIF,36,47.602,1.322,45.177,6.973,0.244,0.547
MP_W001_G2_200g_R1_SH.TIF,93,14.999,0.161,14.235,5.613,0.16,0.407
MP_W001_G2_200g_R2_SH.TIF,70,19.715,0.282,18.71,7.974,0.181,0.42
MP_W001_G2_200g_R3_SH.TIF,113,16.34,0.145,15.507,4.915,0.163,0.417
MP_W001_G2_200g_R4_SH.TIF,90,17.327,0.193,16.444,5.823,0.163,0.41
MP_W001_G2_200g_R5_SH.TIF,96,16.836,0.175,15.978,5.842,0.171,0.416
MP_W001_G2_400g_R1_SH.TIF,84,21.496,0.256,20.401,6.394,0.197,0.469
MP_W001_G2_400g_R2_SH.TIF,93,20.529,0.221,19.483,6.331,0.188,0.454
MP_W001_G2_400g_R3_SH.TIF,56,27.509,0.491,26.107,5.146,0.222,0.511
MP_W001_G2_400g_R4_SH.TIF,60,25.832,0.431,24.516,8.037,0.256,0.53
MP_W001_G2_400g_R5_SH.TIF,56,28.164,0.503,26.729,5.989,0.224,0.507
MP_W001_G2_800g_R1_SH.TIF,73,27.929,0.383,26.507,6.632,0.195,0.459
MP_W001_G2_800g_R2_SH.TIF,57,32.941,0.578,31.263,6.251,0.22,0.496
MP_W001_G2_800g_R3_SH.TIF,90,23.402,0.26,22.21,5.999,0.194,0.458
MP_W001_G2_800g_R4_SH.TIF,39,37.757,0.968,35.834,5.784,0.22,0.491
MP_W001_G2_800g_R5_SH.TIF,52,31.898,0.613,30.273,7.863,0.225,0.508
