Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W011_G2_1000g_R1_SH.TIF,180,12.087,0.067,11.490,2.829,0.196,0.455
MP_W011_G2_1000g_R2_SH.TIF,172,14.088,0.082,13.391,3.427,0.194,0.478
MP_W011_G2_1000g_R3_SH.TIF,178,13.653,0.077,12.978,2.952,0.207,0.478
MP_W011_G2_1000g_R4_SH.TIF,138,25.709,0.186,24.438,4.599,0.245,0.534
MP_W011_G2_1000g_R5_SH.TIF,150,11.692,0.078,11.114,3.306,0.205,0.481
MP_W011_G2_100g_R1_SH.TIF,71,2.001,0.028,1.902,1.553,0.218,0.477
MP_W011_G2_100g_R2_SH.TIF,67,2.874,0.043,2.732,2.236,0.164,0.411
MP_W011_G2_100g_R3_SH.TIF,88,2.078,0.024,1.976,1.404,0.211,0.475
MP_W011_G2_100g_R4_SH.TIF,90,3.838,0.043,3.648,2.300,0.167,0.426
MP_W011_G2_100g_R5_SH.TIF,120,5.022,0.042,4.774,2.009,0.209,0.473
MP_W011_G2_2000g_R1_SH.TIF,156,18.770,0.120,17.843,3.827,0.238,0.518
MP_W011_G2_2000g_R2_SH.TIF,130,17.164,0.132,16.316,4.353,0.196,0.463
MP_W011_G2_2000g_R3_SH.TIF,133,23.825,0.179,22.648,4.085,0.233,0.528
MP_W011_G2_2000g_R4_SH.TIF,141,21.279,0.151,20.228,4.464,0.239,0.527
MP_W011_G2_2000g_R5_SH.TIF,100,28.458,0.285,27.052,5.059,0.249,0.547
MP_W011_G2_200g_R1_SH.TIF,119,5.947,0.050,5.653,2.401,0.184,0.432
MP_W011_G2_200g_R2_SH.TIF,106,4.041,0.038,3.841,2.078,0.181,0.442
MP_W011_G2_200g_R3_SH.TIF,112,3.731,0.033,3.547,1.793,0.185,0.454
MP_W011_G2_200g_R4_SH.TIF,87,2.689,0.031,2.556,1.708,0.197,0.456
MP_W011_G2_200g_R5_SH.TIF,148,8.067,0.055,7.669,2.501,0.190,0.454
MP_W011_G2_400g_R1_SH.TIF,137,9.186,0.067,8.732,2.960,0.196,0.461
MP_W011_G2_400g_R2_SH.TIF,165,9.054,0.055,8.607,2.585,0.186,0.461
MP_W011_G2_400g_R3_SH.TIF,157,8.527,0.054,8.105,2.253,0.208,0.475
MP_W011_G2_400g_R4_SH.TIF,157,8.078,0.051,7.679,2.283,0.195,0.452
MP_W011_G2_400g_R5_SH.TIF,152,10.136,0.067,9.635,2.863,0.191,0.459
MP_W011_G2_800g_R1_SH.TIF,146,6.529,0.045,6.206,2.263,0.172,0.432
MP_W011_G2_800g_R2_SH.TIF,181,8.162,0.045,7.759,2.295,0.176,0.438
MP_W011_G2_800g_R3_SH.TIF,175,9.005,0.051,8.560,2.381,0.209,0.481
MP_W011_G2_800g_R4_SH.TIF,163,12.563,0.077,11.942,2.889,0.206,0.484
MP_W011_G2_800g_R5_SH.TIF,166,9.177,0.055,8.723,2.299,0.205,0.475
