Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4A_1000g_R1_SH.TIF,129,8.978,0.07,8.518,3.144,0.165,0.397
MP_W000_G4A_1000g_R2_SH.TIF,138,8.842,0.064,8.389,3.008,0.17,0.41
MP_W000_G4A_1000g_R3_SH.TIF,146,11.948,0.082,11.335,3.536,0.152,0.387
MP_W000_G4A_1000g_R4_SH.TIF,105,13.749,0.131,13.044,5.164,0.153,0.383
MP_W000_G4A_1000g_R5_SH.TIF,132,8.834,0.067,8.381,3.017,0.152,0.392
MP_W000_G4A_100g_R1_SH.TIF,55,2.681,0.049,2.543,2.477,0.167,0.389
MP_W000_G4A_100g_R2_SH.TIF,69,3.34,0.048,3.169,2.682,0.133,0.338
MP_W000_G4A_100g_R3_SH.TIF,64,2.538,0.04,2.408,2.226,0.166,0.39
MP_W000_G4A_100g_R4_SH.TIF,46,2.768,0.06,2.626,3.034,0.135,0.352
MP_W000_G4A_100g_R5_SH.TIF,60,3.397,0.057,3.223,3.097,0.131,0.333
MP_W000_G4A_2000g_R1_SH.TIF,120,10.52,0.088,9.98,3.721,0.176,0.415
MP_W000_G4A_2000g_R2_SH.TIF,126,10.438,0.083,9.902,3.394,0.162,0.409
MP_W000_G4A_2000g_R3_SH.TIF,121,13.595,0.112,12.898,4.014,0.161,0.406
MP_W000_G4A_2000g_R4_SH.TIF,133,9.303,0.07,8.826,3.13,0.177,0.413
MP_W000_G4A_2000g_R5_SH.TIF,147,10.412,0.071,9.878,3.176,0.174,0.418
MP_W000_G4A_200g_R1_SH.TIF,79,5.06,0.064,4.801,3.243,0.148,0.368
MP_W000_G4A_200g_R2_SH.TIF,61,2.692,0.044,2.554,2.494,0.154,0.365
MP_W000_G4A_200g_R3_SH.TIF,85,3.652,0.043,3.464,2.329,0.152,0.374
MP_W000_G4A_200g_R4_SH.TIF,77,2.601,0.034,2.467,1.916,0.186,0.428
