Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4C_1000g_R1_SH.TIF,116,8.672,0.075,8.227,3.506,0.164,0.396
MP_W000_G4C_1000g_R2_SH.TIF,116,7.953,0.069,7.546,3.16,0.161,0.401
MP_W000_G4C_1000g_R3_SH.TIF,129,7.949,0.062,7.541,3.05,0.165,0.407
MP_W000_G4C_1000g_R4_SH.TIF,123,9.574,0.078,9.083,3.277,0.201,0.456
MP_W000_G4C_1000g_R5_SH.TIF,139,6.449,0.046,6.118,2.299,0.186,0.428
MP_W000_G4C_100g_R1_SH.TIF,44,1.6,0.036,1.518,2.011,0.147,0.358
MP_W000_G4C_100g_R2_SH.TIF,38,1.402,0.037,1.33,2.063,0.146,0.377
MP_W000_G4C_100g_R3_SH.TIF,49,1.598,0.033,1.516,1.895,0.16,0.382
MP_W000_G4C_100g_R4_SH.TIF,55,2.245,0.041,2.13,2.206,0.157,0.375
MP_W000_G4C_100g_R5_SH.TIF,66,2.777,0.042,2.634,2.173,0.167,0.389
MP_W000_G4C_2000g_R1_SH.TIF,112,6.951,0.062,6.595,2.733,0.18,0.426
MP_W000_G4C_2000g_R2_SH.TIF,134,6.093,0.045,5.78,2.173,0.184,0.43
MP_W000_G4C_2000g_R3_SH.TIF,123,7.224,0.059,6.853,2.896,0.15,0.385
MP_W000_G4C_2000g_R4_SH.TIF,113,13.045,0.115,12.376,4.189,0.188,0.438
MP_W000_G4C_2000g_R5_SH.TIF,117,10.373,0.089,9.841,3.628,0.181,0.428
MP_W000_G4C_200g_R1_SH.TIF,93,4.776,0.051,4.531,2.654,0.143,0.359
MP_W000_G4C_200g_R2_SH.TIF,32,0.948,0.03,0.899,1.849,0.149,0.378
MP_W000_G4C_200g_R3_SH.TIF,42,1.803,0.043,1.71,2.29,0.16,0.391
MP_W000_G4C_200g_R4_SH.TIF,44,1.892,0.043,1.795,2.413,0.16,0.379
MP_W000_G4C_200g_R5_SH.TIF,68,2.586,0.038,2.453,2.075,0.151,0.369
MP_W000_G4C_400g_R1_SH.TIF,67,3.158,0.047,2.996,2.45,0.158,0.398
MP_W000_G4C_400g_R2_SH.TIF,101,4.262,0.042,4.044,2.15,0.176,0.426
MP_W000_G4C_400g_R3_SH.TIF,96,5.884,0.061,5.582,2.826,0.162,0.397
MP_W000_G4C_400g_R4_SH.TIF,96,6.24,0.065,5.92,3.13,0.149,0.364
MP_W000_G4C_400g_R5_SH.TIF,105,6.649,0.063,6.308,3.154,0.163,0.387
MP_W000_G4C_800g_R1_SH.TIF,103,7.48,0.073,7.096,3.316,0.175,0.407
MP_W000_G4C_800g_R2_SH.TIF,127,9.074,0.071,8.609,3.089,0.183,0.419
MP_W000_G4C_800g_R3_SH.TIF,112,8.958,0.08,8.499,3.678,0.145,0.373
MP_W000_G4C_800g_R4_SH.TIF,107,10.279,0.096,9.752,3.766,0.173,0.432
MP_W000_G4C_800g_R5_SH.TIF,138,6.674,0.048,6.332,2.454,0.161,0.401
MP_W001_G4C_1000g_R1_SH.TIF,24,45.188,1.883,42.871,7.983,0.244,0.559
MP_W001_G4C_1000g_R2_SH.TIF,26,50.044,1.925,47.478,7.77,0.287,0.611
MP_W001_G4C_1000g_R3_SH.TIF,43,32.808,0.763,31.126,8.728,0.262,0.549
MP_W001_G4C_1000g_R4_SH.TIF,42,39.496,0.94,37.471,7.143,0.242,0.547
MP_W001_G4C_1000g_R5_SH.TIF,67,34.325,0.512,32.565,6.174,0.258,0.548
MP_W001_G4C_100g_R1_SH.TIF,87,20.777,0.239,19.712,6.675,0.19,0.455
MP_W001_G4C_100g_R2_SH.TIF,123,14.254,0.116,13.523,4.238,0.166,0.415
MP_W001_G4C_100g_R3_SH.TIF,95,17.807,0.187,16.894,6.165,0.181,0.437
MP_W001_G4C_100g_R4_SH.TIF,96,21.932,0.228,20.807,5.531,0.227,0.496
MP_W001_G4C_100g_R5_SH.TIF,70,27.382,0.391,25.978,6.072,0.235,0.508
MP_W001_G4C_2000g_R1_SH.TIF,37,52.083,1.408,49.412,7.924,0.235,0.529
MP_W001_G4C_2000g_R2_SH.TIF,19,65.868,3.467,62.491,7.452,0.298,0.609
MP_W001_G4C_2000g_R3_SH.TIF,66,41.508,0.629,39.38,5.912,0.237,0.517
MP_W001_G4C_2000g_R4_SH.TIF,25,58.828,2.353,55.812,6.721,0.296,0.605
MP_W001_G4C_2000g_R5_SH.TIF,26,55.965,2.152,53.095,8.918,0.274,0.549
MP_W001_G4C_200g_R1_SH.TIF,83,25.631,0.309,24.317,4.738,0.224,0.493
MP_W001_G4C_200g_R2_SH.TIF,91,20.266,0.223,19.227,5.999,0.188,0.462
MP_W001_G4C_200g_R3_SH.TIF,117,22.199,0.19,21.061,4.464,0.206,0.474
MP_W001_G4C_200g_R4_SH.TIF,125,18.182,0.145,17.25,4.571,0.19,0.459
MP_W001_G4C_200g_R5_SH.TIF,115,16.743,0.146,15.884,4.728,0.193,0.455
MP_W001_G4C_400g_R1_SH.TIF,72,28.535,0.396,27.072,6.231,0.209,0.468
MP_W001_G4C_400g_R2_SH.TIF,103,21.851,0.212,20.73,5.103,0.206,0.47
MP_W001_G4C_400g_R3_SH.TIF,74,27.048,0.366,25.661,6.359,0.238,0.516
MP_W001_G4C_400g_R4_SH.TIF,115,19.458,0.169,18.46,4.686,0.206,0.475
MP_W001_G4C_400g_R5_SH.TIF,107,19.393,0.181,18.399,5.063,0.197,0.459
MP_W001_G4C_800g_R1_SH.TIF,81,32.152,0.397,30.504,6.172,0.228,0.501
MP_W001_G4C_800g_R2_SH.TIF,77,35.483,0.461,33.664,5.241,0.257,0.536
MP_W001_G4C_800g_R3_SH.TIF,75,30.569,0.408,29.001,7.754,0.229,0.521
MP_W001_G4C_800g_R4_SH.TIF,70,34.612,0.494,32.837,5.899,0.255,0.529
MP_W001_G4C_800g_R5_SH.TIF,55,32.047,0.583,30.403,5.902,0.226,0.511
