Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4C_1000g_R1_SH.TIF,116,8.672,0.075,8.227,3.506,0.164,0.396
MP_W000_G4C_1000g_R2_SH.TIF,116,7.953,0.069,7.546,3.160,0.161,0.401
MP_W000_G4C_1000g_R3_SH.TIF,129,7.949,0.062,7.541,3.050,0.165,0.407
MP_W000_G4C_1000g_R4_SH.TIF,123,9.574,0.078,9.083,3.277,0.201,0.456
MP_W000_G4C_1000g_R5_SH.TIF,139,6.449,0.046,6.118,2.299,0.186,0.428
MP_W000_G4C_100g_R1_SH.TIF,44,1.600,0.036,1.518,2.011,0.147,0.358
MP_W000_G4C_100g_R2_SH.TIF,38,1.402,0.037,1.330,2.063,0.146,0.377
MP_W000_G4C_100g_R3_SH.TIF,49,1.598,0.033,1.516,1.895,0.160,0.382
MP_W000_G4C_100g_R4_SH.TIF,55,2.245,0.041,2.130,2.206,0.157,0.375
MP_W000_G4C_100g_R5_SH.TIF,66,2.777,0.042,2.634,2.173,0.167,0.389
MP_W000_G4C_2000g_R1_SH.TIF,112,6.951,0.062,6.595,2.733,0.180,0.426
MP_W000_G4C_2000g_R2_SH.TIF,134,6.093,0.045,5.780,2.173,0.184,0.430
MP_W000_G4C_2000g_R3_SH.TIF,123,7.224,0.059,6.853,2.896,0.150,0.385
MP_W000_G4C_2000g_R4_SH.TIF,113,13.045,0.115,12.376,4.189,0.188,0.438
MP_W000_G4C_2000g_R5_SH.TIF,117,10.373,0.089,9.841,3.628,0.181,0.428
MP_W000_G4C_200g_R1_SH.TIF,93,4.776,0.051,4.531,2.654,0.143,0.359
MP_W000_G4C_200g_R2_SH.TIF,32,0.948,0.030,0.899,1.849,0.149,0.378
MP_W000_G4C_200g_R3_SH.TIF,42,1.803,0.043,1.710,2.290,0.160,0.391
MP_W000_G4C_200g_R4_SH.TIF,44,1.892,0.043,1.795,2.413,0.160,0.379
MP_W000_G4C_200g_R5_SH.TIF,68,2.586,0.038,2.453,2.075,0.151,0.369
MP_W000_G4C_400g_R1_SH.TIF,67,3.158,0.047,2.996,2.450,0.158,0.398
MP_W000_G4C_400g_R2_SH.TIF,101,4.262,0.042,4.044,2.150,0.176,0.426
MP_W000_G4C_400g_R3_SH.TIF,96,5.884,0.061,5.582,2.826,0.162,0.397
MP_W000_G4C_400g_R4_SH.TIF,96,6.240,0.065,5.920,3.130,0.149,0.364
MP_W000_G4C_400g_R5_SH.TIF,105,6.649,0.063,6.308,3.154,0.163,0.387
MP_W000_G4C_800g_R1_SH.TIF,103,7.480,0.073,7.096,3.316,0.175,0.407
MP_W000_G4C_800g_R2_SH.TIF,127,9.074,0.071,8.609,3.089,0.183,0.419
MP_W000_G4C_800g_R3_SH.TIF,112,8.958,0.080,8.499,3.678,0.145,0.373
MP_W000_G4C_800g_R4_SH.TIF,107,10.279,0.096,9.752,3.766,0.173,0.432
MP_W000_G4C_800g_R5_SH.TIF,138,6.674,0.048,6.332,2.454,0.161,0.401
