Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W005_G1_1000g_R1_SH.TIF,144,18.618,0.129,17.566,3.997,0.213,0.480
MP_W005_G1_1000g_R2_SH.TIF,125,15.485,0.124,14.610,4.003,0.195,0.461
MP_W005_G1_1000g_R3_SH.TIF,121,19.130,0.158,18.049,4.700,0.201,0.469
MP_W005_G1_1000g_R4_SH.TIF,133,13.292,0.100,12.542,4.001,0.169,0.410
MP_W005_G1_1000g_R5_SH.TIF,124,14.193,0.114,13.391,4.339,0.190,0.451
MP_W005_G1_100g_R1_SH.TIF,105,8.224,0.078,7.760,3.473,0.158,0.399
MP_W005_G1_100g_R2_SH.TIF,84,4.666,0.056,4.402,2.919,0.161,0.390
MP_W005_G1_100g_R3_SH.TIF,97,4.908,0.051,4.631,2.367,0.168,0.431
MP_W005_G1_100g_R4_SH.TIF,58,2.774,0.048,2.617,2.537,0.135,0.343
MP_W005_G1_100g_R5_SH.TIF,77,3.326,0.043,3.139,2.391,0.169,0.412
MP_W005_G1_2000g_R1_SH.TIF,123,17.286,0.141,16.309,4.717,0.192,0.453
MP_W005_G1_2000g_R2_SH.TIF,131,15.917,0.122,15.018,4.417,0.179,0.448
MP_W005_G1_2000g_R3_SH.TIF,114,24.157,0.212,22.792,4.094,0.234,0.514
MP_W005_G1_2000g_R4_SH.TIF,76,29.072,0.383,27.430,5.809,0.261,0.523
MP_W005_G1_2000g_R5_SH.TIF,108,21.418,0.198,20.208,4.416,0.223,0.493
MP_W005_G1_200g_R1_SH.TIF,80,4.274,0.053,4.033,2.736,0.169,0.415
MP_W005_G1_200g_R2_SH.TIF,106,5.025,0.047,4.741,2.479,0.162,0.405
MP_W005_G1_200g_R3_SH.TIF,69,2.943,0.043,2.776,2.308,0.165,0.396
MP_W005_G1_200g_R4_SH.TIF,90,3.847,0.043,3.630,2.496,0.152,0.383
MP_W005_G1_200g_R5_SH.TIF,103,4.916,0.048,4.638,2.425,0.156,0.381
MP_W005_G1_400g_R1_SH.TIF,116,5.267,0.045,4.969,2.267,0.157,0.400
MP_W005_G1_400g_R2_SH.TIF,112,15.722,0.140,14.834,4.351,0.168,0.410
MP_W005_G1_400g_R3_SH.TIF,93,13.463,0.145,12.703,4.502,0.171,0.415
MP_W005_G1_400g_R4_SH.TIF,92,4.878,0.053,4.602,2.813,0.151,0.377
MP_W005_G1_400g_R5_SH.TIF,85,3.855,0.045,3.638,2.460,0.148,0.390
MP_W005_G1_800g_R1_SH.TIF,110,7.835,0.071,7.392,2.891,0.183,0.426
MP_W005_G1_800g_R2_SH.TIF,137,15.802,0.115,14.910,3.604,0.217,0.483
MP_W005_G1_800g_R3_SH.TIF,128,13.696,0.107,12.922,3.969,0.192,0.451
MP_W005_G1_800g_R4_SH.TIF,140,14.512,0.104,13.692,3.955,0.176,0.435
MP_W005_G1_800g_R5_SH.TIF,121,16.011,0.132,15.107,4.247,0.179,0.430
MP_W005_G1_800g_R6_SH.TIF,135,16.028,0.119,15.122,4.528,0.193,0.447
