Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4A_10_Atr.TIF,6,0.211,0.035,0.203,2.04,0.12,0.316
MP_W000_G4A_1_Atr.TIF,3,0.073,0.024,0.07,1.476,0.158,0.499
MP_W000_G4A_2_Atr.TIF,12,0.301,0.025,0.288,1.499,0.208,0.492
MP_W000_G4A_3_Atr.TIF,11,0.307,0.028,0.294,1.73,0.168,0.475
MP_W000_G4A_4_Atr.TIF,2,0.166,0.083,0.16,5.208,0.042,0.233
MP_W000_G4A_5_Atr.TIF,2,0.084,0.042,0.081,2.114,0.121,0.293
MP_W000_G4A_6_Atr.TIF,6,0.297,0.049,0.285,2.788,0.105,0.309
MP_W000_G4A_7_Atr.TIF,5,0.106,0.021,0.101,1.344,0.161,0.407
MP_W000_G4A_8_Atr.TIF,3,0.123,0.041,0.118,2.49,0.103,0.304
MP_W000_G4A_9_Atr.TIF,9,0.321,0.036,0.308,2.017,0.143,0.446
MP_W001_G4A_10_Atr.TIF,12,0.43,0.036,0.412,1.966,0.139,0.389
MP_W001_G4A_1_Atr.TIF,14,0.299,0.021,0.287,1.289,0.22,0.55
MP_W001_G4A_2_Atr.TIF,10,0.25,0.025,0.24,1.463,0.224,0.47
MP_W001_G4A_3_Atr.TIF,9,0.146,0.016,0.14,1.059,0.219,0.549
MP_W001_G4A_4_Atr.TIF,16,0.323,0.02,0.31,1.188,0.251,0.57
MP_W001_G4A_5_Atr.TIF,12,0.233,0.019,0.223,1.12,0.241,0.539
MP_W001_G4A_6_Atr.TIF,19,0.401,0.021,0.385,1.274,0.217,0.543
MP_W001_G4A_7_Atr.TIF,20,0.379,0.019,0.364,1.162,0.22,0.549
MP_W001_G4A_8_Atr.TIF,18,0.523,0.029,0.502,1.696,0.167,0.458
MP_W001_G4A_9_Atr.TIF,16,0.292,0.018,0.281,1.146,0.227,0.563
MP_W003_G4A_10_Atr.TIF,16,0.346,0.022,0.332,1.222,0.237,0.587
MP_W003_G4A_1_Atr.TIF,14,0.227,0.016,0.217,0.977,0.292,0.607
MP_W003_G4A_2_Atr.TIF,14,0.226,0.016,0.217,0.972,0.272,0.618
MP_W003_G4A_3_Atr.TIF,7,0.094,0.013,0.09,0.774,0.361,0.717
MP_W003_G4A_4_Atr.TIF,7,0.118,0.017,0.114,1.035,0.294,0.605
MP_W003_G4A_5_Atr.TIF,17,0.303,0.018,0.29,1.071,0.263,0.577
MP_W003_G4A_6_Atr.TIF,17,0.266,0.016,0.256,0.89,0.301,0.679
MP_W003_G4A_7_Atr.TIF,15,0.365,0.024,0.351,1.312,0.233,0.597
MP_W003_G4A_8_Atr.TIF,12,0.209,0.017,0.2,1.097,0.238,0.575
MP_W003_G4A_9_Atr.TIF,19,0.312,0.016,0.299,0.985,0.256,0.601
MP_W005_G4A_10_Atr.TIF,12,0.37,0.031,0.355,1.928,0.174,0.478
MP_W005_G4A_1_Atr.TIF,10,0.174,0.017,0.167,1.05,0.259,0.573
MP_W005_G4A_2_Atr.TIF,13,0.298,0.023,0.286,1.429,0.191,0.475
MP_W005_G4A_3_Atr.TIF,7,0.138,0.02,0.132,1.14,0.269,0.597
MP_W005_G4A_4_Atr.TIF,8,0.112,0.014,0.107,0.95,0.207,0.551
MP_W005_G4A_5_Atr.TIF,10,0.187,0.019,0.18,1.116,0.286,0.591
MP_W005_G4A_6_Atr.TIF,15,0.324,0.022,0.311,1.382,0.168,0.486
MP_W005_G4A_7_Atr.TIF,20,0.443,0.022,0.425,1.404,0.221,0.515
MP_W005_G4A_8_Atr.TIF,8,0.27,0.034,0.259,2.12,0.21,0.475
MP_W005_G4A_9_Atr.TIF,11,0.185,0.017,0.178,1.091,0.214,0.541
MP_W007_G4A_10_Atr.TIF,11,0.207,0.019,0.199,1.188,0.212,0.523
MP_W007_G4A_1_Atr.TIF,7,0.118,0.017,0.113,0.989,0.244,0.57
MP_W007_G4A_2_Atr.TIF,10,0.205,0.02,0.197,1.3,0.194,0.459
MP_W007_G4A_3_Atr.TIF,13,0.223,0.017,0.214,1.03,0.222,0.571
MP_W007_G4A_4_Atr.TIF,13,0.192,0.015,0.185,0.967,0.274,0.572
MP_W007_G4A_5_Atr.TIF,8,0.228,0.029,0.219,1.806,0.137,0.364
MP_W007_G4A_6_Atr.TIF,9,0.113,0.013,0.109,0.769,0.293,0.664
MP_W007_G4A_7_Atr.TIF,13,0.242,0.019,0.232,1.164,0.195,0.518
MP_W007_G4A_8_Atr.TIF,13,0.204,0.016,0.196,0.978,0.26,0.594
MP_W007_G4A_9_Atr.TIF,5,0.057,0.011,0.054,0.814,0.237,0.62
