Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4B_10_Atr.TIF,9,0.203,0.023,0.195,1.388,0.218,0.483
MP_W000_G4B_1_Atr.TIF,8,0.202,0.025,0.194,1.374,0.252,0.492
MP_W000_G4B_2_Atr.TIF,2,0.072,0.036,0.069,2.123,0.106,0.351
MP_W000_G4B_3_Atr.TIF,3,0.261,0.087,0.251,5.609,0.048,0.219
MP_W000_G4B_4_Atr.TIF,10,0.758,0.076,0.728,4.575,0.16,0.433
MP_W000_G4B_5_Atr.TIF,5,0.238,0.048,0.228,2.513,0.11,0.351
MP_W000_G4B_6_Atr.TIF,7,0.145,0.021,0.14,1.281,0.173,0.409
MP_W000_G4B_7_Atr.TIF,2,0.089,0.044,0.085,2.64,0.079,0.282
MP_W000_G4B_8_Atr.TIF,8,0.163,0.02,0.156,1.173,0.222,0.523
MP_W000_G4B_9_Atr.TIF,5,0.096,0.019,0.092,1.317,0.174,0.523
MP_W001_G4B_10_Atr.TIF,18,0.437,0.024,0.419,1.344,0.263,0.56
MP_W001_G4B_1_Atr.TIF,12,0.206,0.017,0.198,1.075,0.247,0.524
MP_W001_G4B_2_Atr.TIF,9,0.413,0.046,0.396,2.523,0.235,0.491
MP_W001_G4B_3_Atr.TIF,6,0.077,0.013,0.074,0.816,0.288,0.588
MP_W001_G4B_4_Atr.TIF,16,0.331,0.021,0.318,1.134,0.242,0.595
MP_W001_G4B_5_Atr.TIF,6,0.161,0.027,0.155,1.702,0.217,0.484
MP_W001_G4B_6_Atr.TIF,22,0.59,0.027,0.566,1.571,0.23,0.559
MP_W001_G4B_7_Atr.TIF,11,0.21,0.019,0.202,1.315,0.174,0.49
MP_W001_G4B_8_Atr.TIF,14,0.268,0.019,0.257,1.116,0.212,0.509
MP_W001_G4B_9_Atr.TIF,14,0.352,0.025,0.338,1.436,0.2,0.549
MP_W003_G4B_10_Atr.TIF,15,0.386,0.026,0.37,1.249,0.242,0.554
MP_W003_G4B_1_Atr.TIF,10,0.192,0.019,0.184,1.118,0.256,0.612
MP_W003_G4B_2_Atr.TIF,11,0.174,0.016,0.167,0.864,0.331,0.645
MP_W003_G4B_3_Atr.TIF,14,0.268,0.019,0.257,1.06,0.265,0.612
MP_W003_G4B_4_Atr.TIF,16,0.364,0.023,0.349,1.326,0.224,0.568
MP_W003_G4B_5_Atr.TIF,11,0.23,0.021,0.22,1.209,0.249,0.638
MP_W003_G4B_6_Atr.TIF,10,0.176,0.018,0.168,1.01,0.265,0.553
MP_W003_G4B_7_Atr.TIF,10,0.15,0.015,0.144,0.823,0.313,0.658
MP_W003_G4B_8_Atr.TIF,13,0.318,0.024,0.305,1.334,0.246,0.578
MP_W003_G4B_9_Atr.TIF,16,0.333,0.021,0.32,1.16,0.265,0.616
MP_W005_G4B_10_Atr.TIF,7,0.227,0.032,0.218,1.83,0.149,0.486
MP_W005_G4B_1_Atr.TIF,16,0.284,0.018,0.273,1.13,0.214,0.523
MP_W005_G4B_2_Atr.TIF,13,0.206,0.016,0.198,0.944,0.239,0.551
MP_W005_G4B_3_Atr.TIF,8,0.076,0.01,0.073,0.649,0.346,0.697
MP_W005_G4B_4_Atr.TIF,13,0.185,0.014,0.177,0.946,0.243,0.516
MP_W005_G4B_5_Atr.TIF,12,0.21,0.017,0.201,1.117,0.215,0.533
MP_W005_G4B_6_Atr.TIF,16,0.297,0.019,0.285,1.161,0.21,0.534
MP_W005_G4B_7_Atr.TIF,11,0.272,0.025,0.261,1.485,0.178,0.483
MP_W005_G4B_8_Atr.TIF,14,0.41,0.029,0.393,1.733,0.14,0.427
MP_W005_G4B_9_Atr.TIF,13,0.161,0.012,0.154,0.809,0.279,0.671
MP_W007_G4B_10_Atr.TIF,13,0.344,0.026,0.33,1.398,0.198,0.511
MP_W007_G4B_1_Atr.TIF,5,0.06,0.012,0.057,0.798,0.291,0.562
MP_W007_G4B_2_Atr.TIF,14,0.255,0.018,0.245,1.154,0.245,0.601
MP_W007_G4B_3_Atr.TIF,8,0.186,0.023,0.179,1.477,0.16,0.442
MP_W007_G4B_4_Atr.TIF,8,0.129,0.016,0.124,1.058,0.224,0.563
MP_W007_G4B_5_Atr.TIF,15,0.299,0.02,0.286,1.181,0.237,0.582
MP_W007_G4B_6_Atr.TIF,18,0.375,0.021,0.36,1.214,0.203,0.526
MP_W007_G4B_7_Atr.TIF,18,0.433,0.024,0.415,1.427,0.24,0.544
MP_W007_G4B_8_Atr.TIF,9,0.095,0.011,0.091,0.782,0.238,0.621
MP_W007_G4B_9_Atr.TIF,6,0.086,0.014,0.083,0.979,0.215,0.516
