Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4C_10_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W000_G4C_1_Atr.TIF,11,0.431,0.039,0.414,2.303,0.155,0.403
MP_W000_G4C_2_Atr.TIF,4,0.048,0.012,0.046,0.795,0.252,0.587
MP_W000_G4C_3_Atr.TIF,5,0.137,0.027,0.131,1.626,0.199,0.518
MP_W000_G4C_4_Atr.TIF,2,0.042,0.021,0.04,1.571,0.171,0.474
MP_W000_G4C_5_Atr.TIF,8,0.226,0.028,0.217,1.563,0.164,0.476
MP_W000_G4C_6_Atr.TIF,2,0.086,0.043,0.082,2.498,0.087,0.333
MP_W000_G4C_7_Atr.TIF,4,0.118,0.03,0.113,1.659,0.156,0.497
MP_W000_G4C_8_Atr.TIF,8,0.328,0.041,0.315,2.301,0.133,0.356
MP_W000_G4C_9_Atr.TIF,9,0.206,0.023,0.198,1.43,0.185,0.503
MP_W001_G4C_10_Atr.TIF,23,0.66,0.029,0.634,1.576,0.222,0.508
MP_W001_G4C_6_Atr.TIF,3,0.089,0.03,0.085,1.888,0.268,0.53
MP_W001_G4C_7_Atr.TIF,14,0.386,0.028,0.371,1.549,0.211,0.506
MP_W001_G4C_8_Atr.TIF,5,0.202,0.04,0.194,2.387,0.127,0.429
MP_W001_G4C_9_Atr.TIF,15,0.48,0.032,0.461,1.7,0.193,0.464
MP_W003_G4C_10_Atr.TIF,10,0.161,0.016,0.155,0.903,0.287,0.616
MP_W003_G4C_1_Atr.TIF,12,0.345,0.029,0.331,1.605,0.264,0.603
MP_W003_G4C_2_Atr.TIF,17,0.39,0.023,0.374,1.4,0.19,0.546
MP_W003_G4C_3_Atr.TIF,11,0.321,0.029,0.308,1.497,0.243,0.561
MP_W003_G4C_4_Atr.TIF,10,0.101,0.01,0.097,0.648,0.344,0.703
MP_W003_G4C_5_Atr.TIF,14,0.286,0.02,0.274,1.127,0.314,0.655
MP_W003_G4C_6_Atr.TIF,17,0.451,0.027,0.433,1.477,0.222,0.502
MP_W003_G4C_7_Atr.TIF,15,0.377,0.025,0.362,1.318,0.231,0.562
MP_W003_G4C_8_Atr.TIF,10,0.391,0.039,0.375,1.926,0.159,0.389
MP_W003_G4C_9_Atr.TIF,15,0.341,0.023,0.328,1.309,0.208,0.505
MP_W005_G4C_10_Atr.TIF,12,0.273,0.023,0.262,1.431,0.212,0.479
MP_W005_G4C_1_Atr.TIF,10,0.296,0.03,0.284,1.657,0.192,0.461
MP_W005_G4C_2_Atr.TIF,7,0.11,0.016,0.106,0.96,0.283,0.632
MP_W005_G4C_3_Atr.TIF,7,0.123,0.018,0.118,1.141,0.203,0.475
MP_W005_G4C_4_Atr.TIF,11,0.229,0.021,0.22,1.151,0.228,0.534
MP_W005_G4C_5_Atr.TIF,11,0.248,0.023,0.238,1.389,0.216,0.515
MP_W005_G4C_6_Atr.TIF,10,0.152,0.015,0.146,0.925,0.24,0.567
MP_W005_G4C_7_Atr.TIF,15,0.252,0.017,0.242,1.016,0.3,0.601
MP_W005_G4C_8_Atr.TIF,13,0.152,0.012,0.146,0.753,0.303,0.606
MP_W005_G4C_9_Atr.TIF,15,0.239,0.016,0.229,0.99,0.262,0.59
MP_W007_G4C_10_Atr.TIF,6,0.249,0.041,0.239,2.58,0.083,0.275
MP_W007_G4C_1_Atr.TIF,20,0.298,0.015,0.286,0.892,0.261,0.59
MP_W007_G4C_2_Atr.TIF,8,0.192,0.024,0.185,1.313,0.288,0.582
MP_W007_G4C_3_Atr.TIF,7,0.12,0.017,0.115,1.07,0.207,0.56
MP_W007_G4C_4_Atr.TIF,9,0.17,0.019,0.163,1.027,0.282,0.633
MP_W007_G4C_5_Atr.TIF,5,0.082,0.016,0.079,0.987,0.261,0.61
MP_W007_G4C_6_Atr.TIF,9,0.108,0.012,0.104,0.751,0.301,0.632
MP_W007_G4C_7_Atr.TIF,13,0.246,0.019,0.236,1.214,0.21,0.549
MP_W007_G4C_8_Atr.TIF,9,0.196,0.022,0.188,1.241,0.232,0.588
MP_W007_G4C_9_Atr.TIF,13,0.255,0.02,0.245,1.224,0.258,0.594
