Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G4A_10_Atr.TIF,6,0.211,0.035,0.203,2.04,0.12,0.316
MP_W000_G4A_1_Atr.TIF,3,0.073,0.024,0.07,1.476,0.158,0.499
MP_W000_G4A_2_Atr.TIF,12,0.301,0.025,0.288,1.499,0.208,0.492
MP_W000_G4A_3_Atr.TIF,11,0.307,0.028,0.294,1.73,0.168,0.475
MP_W000_G4A_4_Atr.TIF,2,0.166,0.083,0.16,5.208,0.042,0.233
MP_W000_G4A_5_Atr.TIF,2,0.084,0.042,0.081,2.114,0.121,0.293
MP_W000_G4A_6_Atr.TIF,6,0.297,0.049,0.285,2.788,0.105,0.309
MP_W000_G4A_7_Atr.TIF,5,0.106,0.021,0.101,1.344,0.161,0.407
MP_W000_G4A_8_Atr.TIF,3,0.123,0.041,0.118,2.49,0.103,0.304
MP_W000_G4A_9_Atr.TIF,9,0.321,0.036,0.308,2.017,0.143,0.446
MP_W000_G4B_10_Atr.TIF,9,0.203,0.023,0.195,1.388,0.218,0.483
MP_W000_G4B_1_Atr.TIF,8,0.202,0.025,0.194,1.374,0.252,0.492
MP_W000_G4B_2_Atr.TIF,2,0.072,0.036,0.069,2.123,0.106,0.351
MP_W000_G4B_3_Atr.TIF,3,0.261,0.087,0.251,5.609,0.048,0.219
MP_W000_G4B_4_Atr.TIF,10,0.758,0.076,0.728,4.575,0.16,0.433
MP_W000_G4B_5_Atr.TIF,5,0.238,0.048,0.228,2.513,0.11,0.351
MP_W000_G4B_6_Atr.TIF,7,0.145,0.021,0.14,1.281,0.173,0.409
MP_W000_G4B_7_Atr.TIF,2,0.089,0.044,0.085,2.64,0.079,0.282
MP_W000_G4B_8_Atr.TIF,8,0.163,0.02,0.156,1.173,0.222,0.523
MP_W000_G4B_9_Atr.TIF,5,0.096,0.019,0.092,1.317,0.174,0.523
MP_W000_G4C_10_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W000_G4C_1_Atr.TIF,11,0.431,0.039,0.414,2.303,0.155,0.403
MP_W000_G4C_2_Atr.TIF,4,0.048,0.012,0.046,0.795,0.252,0.587
MP_W000_G4C_3_Atr.TIF,5,0.137,0.027,0.131,1.626,0.199,0.518
MP_W000_G4C_4_Atr.TIF,2,0.042,0.021,0.04,1.571,0.171,0.474
MP_W000_G4C_5_Atr.TIF,8,0.226,0.028,0.217,1.563,0.164,0.476
MP_W000_G4C_6_Atr.TIF,2,0.086,0.043,0.082,2.498,0.087,0.333
