Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W012_G4A_10_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_1_ATa.TIF,2,0.019,0.009,0.018,0.776,0.197,0.578
MP_W012_G4A_2_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_3_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_4_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_7_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_8_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_10_Atr.TIF,7,0.120,0.017,0.115,0.955,0.278,0.672
MP_W012_G4A_1_Atr.TIF,6,0.156,0.026,0.150,1.673,0.129,0.474
MP_W012_G4A_2_Atr.TIF,9,0.154,0.017,0.148,1.080,0.218,0.580
MP_W012_G4A_3_Atr.TIF,8,0.138,0.017,0.132,0.997,0.296,0.613
MP_W012_G4A_4_Atr.TIF,7,0.115,0.016,0.110,1.018,0.247,0.570
MP_W012_G4A_5_Atr.TIF,3,0.072,0.024,0.069,1.069,0.296,0.645
MP_W012_G4A_6_Atr.TIF,5,0.068,0.014,0.066,0.927,0.293,0.620
MP_W012_G4A_7_Atr.TIF,7,0.087,0.012,0.083,0.697,0.336,0.669
MP_W012_G4A_8_Atr.TIF,7,0.128,0.018,0.123,0.998,0.272,0.612
MP_W012_G4A_9_Atr.TIF,5,0.099,0.020,0.095,1.216,0.211,0.571
MP_W012_G4A_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_positive_Atr.TIF,10,0.202,0.020,0.194,1.230,0.219,0.501
MP_W012_G4A_10_AtrTa.TIF,7,0.129,0.018,0.124,1.031,0.225,0.597
MP_W012_G4A_1_AtrTa.TIF,6,0.100,0.017,0.096,1.162,0.163,0.465
MP_W012_G4A_2_AtrTa.TIF,11,0.187,0.017,0.179,1.006,0.241,0.583
MP_W012_G4A_3_AtrTa.TIF,9,0.165,0.018,0.158,0.951,0.339,0.655
MP_W012_G4A_4_AtrTa.TIF,11,0.171,0.016,0.165,0.935,0.279,0.582
MP_W012_G4A_5_AtrTa.TIF,5,0.121,0.024,0.116,0.941,0.367,0.693
MP_W012_G4A_6_AtrTa.TIF,5,0.060,0.012,0.058,0.800,0.334,0.600
MP_W012_G4A_7_AtrTa.TIF,8,0.107,0.013,0.103,0.876,0.305,0.630
MP_W012_G4A_8_AtrTa.TIF,5,0.094,0.019,0.090,0.898,0.338,0.651
MP_W012_G4A_9_AtrTa.TIF,5,0.090,0.018,0.087,0.953,0.325,0.694
MP_W012_G4A_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_2_B.TIF,1,0.020,0.020,0.019,0.923,0.299,0.622
MP_W012_G4A_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_4_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_5_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_6_B.TIF,1,0.012,0.012,0.011,0.694,0.309,0.764
MP_W012_G4A_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_8_B.TIF,3,0.031,0.010,0.029,0.595,0.358,0.675
MP_W012_G4A_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4A_positive_B.TIF,7,0.227,0.032,0.218,1.448,0.231,0.540
