Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W012_G4B_10_ATa.TIF,1,0.007,0.007,0.007,0.637,0.229,0.449
MP_W012_G4B_1_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_2_ATa.TIF,1,0.012,0.012,0.011,0.991,0.148,0.339
MP_W012_G4B_3_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_4_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_7_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_8_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_10_Atr.TIF,13,0.365,0.028,0.351,1.506,0.251,0.602
MP_W012_G4B_1_Atr.TIF,10,0.168,0.017,0.162,0.962,0.260,0.605
MP_W012_G4B_2_Atr.TIF,10,0.260,0.026,0.250,1.389,0.219,0.573
MP_W012_G4B_3_Atr.TIF,12,0.225,0.019,0.216,1.051,0.236,0.568
MP_W012_G4B_4_Atr.TIF,8,0.175,0.022,0.168,1.223,0.217,0.585
MP_W012_G4B_5_Atr.TIF,10,0.169,0.017,0.162,1.040,0.238,0.582
MP_W012_G4B_6_Atr.TIF,18,0.277,0.015,0.265,0.771,0.356,0.706
MP_W012_G4B_7_Atr.TIF,7,0.101,0.014,0.097,0.848,0.325,0.635
MP_W012_G4B_8_Atr.TIF,10,0.171,0.017,0.164,1.011,0.233,0.575
MP_W012_G4B_9_Atr.TIF,11,0.236,0.021,0.227,1.249,0.200,0.553
MP_W012_G4B_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_positive_Atr.TIF,10,0.202,0.020,0.194,1.230,0.219,0.501
MP_W012_G4B_10_AtrTa.TIF,14,0.357,0.026,0.343,1.405,0.246,0.587
MP_W012_G4B_1_AtrTa.TIF,10,0.188,0.019,0.181,0.910,0.333,0.664
MP_W012_G4B_2_AtrTa.TIF,10,0.220,0.022,0.211,1.280,0.229,0.529
MP_W012_G4B_3_AtrTa.TIF,9,0.158,0.018,0.152,1.047,0.239,0.584
MP_W012_G4B_4_AtrTa.TIF,8,0.192,0.024,0.184,1.387,0.211,0.507
MP_W012_G4B_5_AtrTa.TIF,10,0.155,0.015,0.148,0.939,0.286,0.629
MP_W012_G4B_6_AtrTa.TIF,17,0.301,0.018,0.289,0.944,0.310,0.650
MP_W012_G4B_7_AtrTa.TIF,8,0.129,0.016,0.124,0.952,0.291,0.592
MP_W012_G4B_8_AtrTa.TIF,5,0.076,0.015,0.073,0.827,0.353,0.627
MP_W012_G4B_9_AtrTa.TIF,9,0.158,0.018,0.152,1.093,0.197,0.503
MP_W012_G4B_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_3_B.TIF,1,0.025,0.025,0.024,1.224,0.213,0.450
MP_W012_G4B_4_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_5_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_6_B.TIF,9,0.140,0.016,0.134,1.156,0.190,0.546
MP_W012_G4B_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_8_B.TIF,3,0.120,0.040,0.115,1.686,0.237,0.509
MP_W012_G4B_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4B_positive_B.TIF,7,0.227,0.032,0.218,1.448,0.231,0.540
