Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W012_G4C_10_ATa.TIF,1,0.006,0.006,0.006,0.490,0.315,0.671
MP_W012_G4C_1_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_2_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_3_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_4_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_7_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_8_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_10_Atr.TIF,14,0.249,0.018,0.239,1.086,0.246,0.584
MP_W012_G4C_1_Atr.TIF,16,0.347,0.022,0.333,1.170,0.235,0.579
MP_W012_G4C_2_Atr.TIF,5,0.098,0.020,0.094,1.089,0.223,0.568
MP_W012_G4C_3_Atr.TIF,11,0.209,0.019,0.201,1.007,0.255,0.603
MP_W012_G4C_4_Atr.TIF,14,0.251,0.018,0.241,1.013,0.327,0.635
MP_W012_G4C_5_Atr.TIF,8,0.186,0.023,0.179,1.246,0.213,0.601
MP_W012_G4C_6_Atr.TIF,6,0.077,0.013,0.074,0.802,0.280,0.666
MP_W012_G4C_7_Atr.TIF,4,0.093,0.023,0.089,1.268,0.220,0.513
MP_W012_G4C_8_Atr.TIF,10,0.253,0.025,0.243,1.305,0.208,0.501
MP_W012_G4C_9_Atr.TIF,7,0.117,0.017,0.112,1.049,0.230,0.602
MP_W012_G4C_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_positive_Atr.TIF,10,0.202,0.020,0.194,1.230,0.219,0.501
MP_W012_G4C_10_AtrTa.TIF,6,0.086,0.014,0.083,0.858,0.264,0.637
MP_W012_G4C_1_AtrTa.TIF,15,0.313,0.021,0.300,1.103,0.255,0.552
MP_W012_G4C_2_AtrTa.TIF,5,0.093,0.019,0.090,1.088,0.202,0.550
MP_W012_G4C_3_AtrTa.TIF,10,0.173,0.017,0.166,0.883,0.300,0.605
MP_W012_G4C_4_AtrTa.TIF,9,0.177,0.020,0.170,1.360,0.185,0.495
MP_W012_G4C_5_AtrTa.TIF,6,0.126,0.021,0.121,1.353,0.179,0.533
MP_W012_G4C_6_AtrTa.TIF,3,0.036,0.012,0.035,0.816,0.245,0.592
MP_W012_G4C_7_AtrTa.TIF,5,0.095,0.019,0.091,1.100,0.288,0.546
MP_W012_G4C_8_AtrTa.TIF,12,0.254,0.021,0.243,1.187,0.220,0.562
MP_W012_G4C_9_AtrTa.TIF,7,0.087,0.012,0.084,0.841,0.249,0.638
MP_W012_G4C_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_4_B.TIF,2,0.031,0.016,0.030,0.873,0.257,0.687
MP_W012_G4C_5_B.TIF,1,0.009,0.009,0.008,0.919,0.132,0.554
MP_W012_G4C_6_B.TIF,1,0.007,0.007,0.007,0.370,0.680,0.935
MP_W012_G4C_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_8_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W012_G4C_positive_B.TIF,7,0.227,0.032,0.218,1.448,0.231,0.540
