Operator,Pressure,Garment,Repeat,Sample,Area.mm2
Operator 1,gentle,G1,R1,1,20.46581518
Operator 1,gentle,G1,R1,2,13.32832457
Operator 1,gentle,G1,R1,3,14.26746807
Operator 1,gentle,G1,R1,4,8.166791886
Operator 1,gentle,G1,R1,5,3.861758077
Operator 1,gentle,G1,R1,6,2.299023291
Operator 1,gentle,G1,R2,1,16.52892562
Operator 1,gentle,G1,R2,2,9.759579264
Operator 1,gentle,G1,R2,3,16.16829452
Operator 1,gentle,G1,R2,4,14.34259955
Operator 1,gentle,G1,R2,5,6.90458302
Operator 1,gentle,G1,R2,6,6.258452292
Operator 1,gentle,G1,R3,1,10.05259204
Operator 1,gentle,G1,R3,2,7.903831705
Operator 1,gentle,G1,R3,3,5.740045079
Operator 1,gentle,G1,R3,4,7.550713749
Operator 1,gentle,G1,R3,5,7.92637115
Operator 1,gentle,G1,R3,6,12.41172051
Operator 1,gentle,G2,R1,1,3.643876784
Operator 1,gentle,G2,R1,2,3.456048084
Operator 1,gentle,G2,R1,3,7.227648385
Operator 1,gentle,G2,R1,4,16.32607062
Operator 1,gentle,G2,R1,5,14.10969196
Operator 1,gentle,G2,R1,6,15.53719008
Operator 1,gentle,G2,R2,1,17.70848986
Operator 1,gentle,G2,R2,2,12.42674681
Operator 1,gentle,G2,R2,3,8.978211871
Operator 1,gentle,G2,R2,4,6.393688956
Operator 1,gentle,G2,R2,5,5.589782119
Operator 1,gentle,G2,R2,6,5.529676935
Operator 1,gentle,G2,R3,1,9.451540195
Operator 1,gentle,G2,R3,2,13.61382419
Operator 1,gentle,G2,R3,3,9.316303531
Operator 1,gentle,G2,R3,4,12.18632607
Operator 1,gentle,G2,R3,5,6.100676183
Operator 1,gentle,G2,R3,6,6.318557476
Operator 4,gentle,G1,R1,1,14.94365139
Operator 4,gentle,G1,R1,2,17.08489857
Operator 4,gentle,G1,R1,3,8.091660406
Operator 4,gentle,G1,R1,4,14.09466566
Operator 4,gentle,G1,R1,5,13.13298272
Operator 4,gentle,G1,R1,6,12.91510143
Operator 4,gentle,G1,R2,1,14.32757325
Operator 4,gentle,G1,R2,2,21.74305034
Operator 4,gentle,G1,R2,3,16.54395192
Operator 4,gentle,G1,R2,4,18.25694966
Operator 4,gentle,G1,R2,5,17.87377911
Operator 4,gentle,G1,R2,6,21.75807663
Operator 4,gentle,G1,R3,1,11.45003757
Operator 4,gentle,G1,R3,2,6.994740796
Operator 4,gentle,G1,R3,3,17.11495116
Operator 4,gentle,G1,R3,4,12.23891811
Operator 4,gentle,G1,R3,5,14.60555973
Operator 4,gentle,G1,R3,6,10.74380165
Operator 4,gentle,G2,R1,1,10.87152517
Operator 4,gentle,G2,R1,2,10.82644628
Operator 4,gentle,G2,R1,3,9.714500376
Operator 4,gentle,G2,R1,4,8.22689707
Operator 4,gentle,G2,R1,5,8.865514651
Operator 4,gentle,G2,R1,6,12.34410218
Operator 4,gentle,G2,R2,1,12.63711495
Operator 4,gentle,G2,R2,2,12.8324568
Operator 4,gentle,G2,R2,3,10.40570999
Operator 4,gentle,G2,R2,4,11.75807663
Operator 4,gentle,G2,R2,5,12.78737791
Operator 4,gentle,G2,R2,6,10.09767092
Operator 4,gentle,G2,R3,1,29.96243426
Operator 4,gentle,G2,R3,2,32.05860255
Operator 4,gentle,G2,R3,3,32.12622089
Operator 4,gentle,G2,R3,4,19.9849737
Operator 4,gentle,G2,R3,5,14.00450789
Operator 4,gentle,G2,R3,6,8.722764838
Operator 5,gentle,G1,R1,1,7.385424493
Operator 5,gentle,G1,R1,2,6.063110443
Operator 5,gentle,G1,R1,3,7.167543201
Operator 5,gentle,G1,R1,4,8.271975958
Operator 5,gentle,G1,R1,5,4.537941397
Operator 5,gentle,G1,R1,6,5.672426747
Operator 5,gentle,G1,R2,1,9.158527423
Operator 5,gentle,G1,R2,2,6.37866266
Operator 5,gentle,G1,R2,3,2.509391435
Operator 5,gentle,G1,R2,4,4.447783621
Operator 5,gentle,G1,R2,5,3.951915853
Operator 5,gentle,G1,R2,6,6.589030804
Operator 5,gentle,G1,R3,1,5.709992487
Operator 5,gentle,G1,R3,2,9.451540195
Operator 5,gentle,G1,R3,3,13.4109692
Operator 5,gentle,G1,R3,4,12.86250939
Operator 5,gentle,G1,R3,5,7.610818933
Operator 5,gentle,G1,R3,6,11.23215627
Operator 5,gentle,G2,R1,1,14.71825695
Operator 5,gentle,G2,R1,2,5.732531931
Operator 5,gentle,G2,R1,3,2.622088655
Operator 5,gentle,G2,R1,4,2.291510143
Operator 5,gentle,G2,R1,5,5.259203606
Operator 5,gentle,G2,R1,6,7.723516153
Operator 5,gentle,G2,R2,1,12.8324568
Operator 5,gentle,G2,R2,2,12.11870774
Operator 5,gentle,G2,R2,3,10.94665665
Operator 5,gentle,G2,R2,4,5.852742299
Operator 5,gentle,G2,R2,5,6.461307288
Operator 5,gentle,G2,R2,6,7.96393689
Operator 5,gentle,G2,R3,1,10.78136739
Operator 5,gentle,G2,R3,2,7.708489857
Operator 5,gentle,G2,R3,3,11.71299775
Operator 5,gentle,G2,R3,4,7.490608565
Operator 5,gentle,G2,R3,5,6.934635612
Operator 5,gentle,G2,R3,6,5.484598047
