Project,Experiment,Garment,Height,Repeat,Area
MP,IT,G5,100mm,R1,19.158
MP,IT,G5,100mm,R10,10.254
MP,IT,G5,100mm,R2,5.271
MP,IT,G5,100mm,R3,9.518
MP,IT,G5,100mm,R4,8.717
MP,IT,G5,100mm,R5,10.48
MP,IT,G5,100mm,R6,9.202
MP,IT,G5,100mm,R7,6.333
MP,IT,G5,100mm,R8,12.947
MP,IT,G5,100mm,R9,8.813
MP,IT,G5,150mm,R1,9.407
MP,IT,G5,150mm,R10,8.076
MP,IT,G5,150mm,R2,8.571
MP,IT,G5,150mm,R3,7.77
MP,IT,G5,150mm,R4,9.928
MP,IT,G5,150mm,R5,9.175
MP,IT,G5,150mm,R6,9.625
MP,IT,G5,150mm,R7,6.05
MP,IT,G5,150mm,R8,6.805
MP,IT,G5,150mm,R9,8.291
MP,IT,G5,200mm,R1,9.136
MP,IT,G5,200mm,R10,8.912
MP,IT,G5,200mm,R2,8.37
MP,IT,G5,200mm,R3,11.366
MP,IT,G5,200mm,R4,11.722
MP,IT,G5,200mm,R5,9.934
MP,IT,G5,200mm,R6,10.413
MP,IT,G5,200mm,R7,5.451
MP,IT,G5,200mm,R8,11.989
MP,IT,G5,200mm,R9,9.034
MP,IT,G5,50mm,R1,6.876
MP,IT,G5,50mm,R10,8.855
MP,IT,G5,50mm,R2,6.65
MP,IT,G5,50mm,R3,6.272
MP,IT,G5,50mm,R4,8.684
MP,IT,G5,50mm,R5,8.087
MP,IT,G5,50mm,R6,8.531
MP,IT,G5,50mm,R7,6.591
MP,IT,G5,50mm,R8,10.04
MP,IT,G5,50mm,R9,10.555
