Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W000_G1_1000g_R1_SH.TIF,122,9.354,0.077,8.877,3.645,0.160,0.394
MP_W000_G1_1000g_R2_SH.TIF,104,12.684,0.122,12.038,4.956,0.167,0.403
MP_W000_G1_1000g_R3_SH.TIF,118,10.498,0.089,9.963,3.763,0.161,0.388
MP_W000_G1_1000g_R4_SH.TIF,119,12.526,0.105,11.888,4.115,0.172,0.418
MP_W000_G1_1000g_R5_SH.TIF,111,11.392,0.103,10.812,3.989,0.161,0.405
MP_W000_G1_100g_R1_SH.TIF,93,6.960,0.075,6.605,3.205,0.155,0.385
MP_W000_G1_100g_R2_SH.TIF,91,4.492,0.049,4.263,2.560,0.150,0.371
MP_W000_G1_100g_R3_SH.TIF,76,4.563,0.060,4.330,3.225,0.140,0.364
MP_W000_G1_100g_R4_SH.TIF,81,3.985,0.049,3.782,2.658,0.150,0.375
MP_W000_G1_100g_R5_SH.TIF,65,2.586,0.040,2.454,2.157,0.163,0.388
MP_W000_G1_2000g_R1_SH.TIF,140,13.468,0.096,12.782,3.834,0.164,0.409
MP_W000_G1_2000g_R2_SH.TIF,93,17.221,0.185,16.344,5.714,0.179,0.426
MP_W000_G1_2000g_R3_SH.TIF,88,17.133,0.195,16.260,6.312,0.145,0.379
MP_W000_G1_2000g_R4_SH.TIF,97,13.127,0.135,12.458,4.734,0.152,0.395
MP_W000_G1_2000g_R5_SH.TIF,83,14.262,0.172,13.535,6.161,0.161,0.412
MP_W000_G1_200g_R1_SH.TIF,75,3.303,0.044,3.134,2.560,0.138,0.354
MP_W000_G1_200g_R2_SH.TIF,100,9.482,0.095,8.999,4.276,0.143,0.377
MP_W000_G1_200g_R3_SH.TIF,103,7.943,0.077,7.538,3.631,0.155,0.390
MP_W000_G1_200g_R4_SH.TIF,91,8.726,0.096,8.282,4.282,0.146,0.366
MP_W000_G1_200g_R5_SH.TIF,98,6.315,0.064,5.993,3.138,0.142,0.363
MP_W000_G1_400g_R1_SH.TIF,112,6.194,0.055,5.879,2.973,0.143,0.372
MP_W000_G1_400g_R2_SH.TIF,120,6.137,0.051,5.824,2.642,0.146,0.372
MP_W000_G1_400g_R3_SH.TIF,104,11.014,0.106,10.453,4.590,0.144,0.372
MP_W000_G1_400g_R4_SH.TIF,109,9.900,0.091,9.395,4.315,0.131,0.357
MP_W000_G1_400g_R5_SH.TIF,121,11.125,0.092,10.558,3.856,0.150,0.394
MP_W000_G1_800g_R1_SH.TIF,137,9.635,0.070,9.144,3.216,0.157,0.393
MP_W000_G1_800g_R2_SH.TIF,102,10.473,0.103,9.940,4.559,0.144,0.359
MP_W000_G1_800g_R3_SH.TIF,122,9.056,0.074,8.594,3.459,0.151,0.387
MP_W000_G1_800g_R4_SH.TIF,132,10.242,0.078,9.720,3.537,0.150,0.379
MP_W000_G1_800g_R5_SH.TIF,118,12.179,0.103,11.559,4.256,0.168,0.409
MP_W001_G1_1000g_R1_SH.TIF,25,39.222,1.569,37.224,8.294,0.291,0.603
MP_W001_G1_1000g_R2_SH.TIF,39,43.308,1.110,41.102,7.226,0.302,0.606
MP_W001_G1_1000g_R3_SH.TIF,31,47.971,1.547,45.527,6.767,0.262,0.576
MP_W001_G1_1000g_R4_SH.TIF,28,44.891,1.603,42.604,8.388,0.223,0.514
MP_W001_G1_1000g_R5_SH.TIF,70,28.857,0.412,27.387,6.370,0.217,0.497
MP_W001_G1_100g_R1_SH.TIF,95,7.154,0.075,6.790,3.551,0.163,0.389
MP_W001_G1_100g_R2_SH.TIF,95,9.930,0.105,9.424,4.258,0.148,0.382
MP_W001_G1_100g_R3_SH.TIF,113,9.862,0.087,9.360,3.901,0.163,0.395
MP_W001_G1_100g_R4_SH.TIF,102,12.725,0.125,12.077,4.985,0.140,0.367
MP_W001_G1_100g_R5_SH.TIF,93,9.514,0.102,9.029,4.479,0.141,0.357
MP_W001_G1_2000g_R1_SH.TIF,23,49.707,2.161,47.175,8.099,0.240,0.529
MP_W001_G1_2000g_R2_SH.TIF,19,59.927,3.154,56.874,6.171,0.349,0.665
MP_W001_G1_2000g_R3_SH.TIF,12,62.159,5.180,58.992,13.104,0.281,0.585
MP_W001_G1_2000g_R4_SH.TIF,16,52.841,3.303,50.149,8.784,0.331,0.645
MP_W001_G1_2000g_R5_SH.TIF,45,39.173,0.871,37.177,6.240,0.243,0.545
MP_W001_G1_200g_R1_SH.TIF,110,14.385,0.131,13.652,5.099,0.167,0.419
MP_W001_G1_200g_R2_SH.TIF,67,15.507,0.231,14.717,7.169,0.180,0.411
MP_W001_G1_200g_R3_SH.TIF,73,16.744,0.229,15.891,7.293,0.157,0.407
MP_W001_G1_200g_R4_SH.TIF,95,15.461,0.163,14.673,5.806,0.156,0.399
MP_W001_G1_200g_R5_SH.TIF,79,19.323,0.245,18.339,6.876,0.165,0.433
MP_W001_G1_400g_R1_SH.TIF,57,29.184,0.512,27.697,7.109,0.179,0.447
MP_W001_G1_400g_R2_SH.TIF,69,24.790,0.359,23.527,6.766,0.208,0.480
MP_W001_G1_400g_R3_SH.TIF,40,35.408,0.885,33.604,7.545,0.211,0.483
MP_W001_G1_400g_R4_SH.TIF,27,38.178,1.414,36.233,10.592,0.273,0.558
MP_W001_G1_400g_R5_SH.TIF,29,40.527,1.397,38.463,11.103,0.240,0.525
MP_W001_G1_800g_R1_SH.TIF,61,31.651,0.519,30.038,6.523,0.264,0.552
MP_W001_G1_800g_R2_SH.TIF,51,33.735,0.661,32.017,6.871,0.226,0.510
MP_W001_G1_800g_R3_SH.TIF,51,28.368,0.556,26.922,8.702,0.262,0.543
MP_W001_G1_800g_R4_SH.TIF,54,27.737,0.514,26.324,5.566,0.200,0.476
MP_W001_G1_800g_R5_SH.TIF,30,39.568,1.319,37.552,7.377,0.260,0.538
MP_W003_G1_1000g_R1_SH.TIF,112,11.823,0.106,11.220,4.048,0.190,0.439
