Wash,garment,Before transfer area,After transfer area,value
W000,12VcottonA,0,0.21,0.21
W000,12VcottonA,0,0.073,0.073
W000,12VcottonA,0,0.297,0.297
W000,12VcottonA,0.006,0.297,0.291
W000,12VcottonA,0,0.166,0.166
W000,12VcottonA,0,0.083,0.083
W000,12VcottonA,0.007,0.295,0.288
W000,12VcottonA,0.006,0.105,0.099
W000,12VcottonA,0,0.123,0.123
W000,12VcottonA,0,0.318,0.318
W000,12VcottonB,0,0.2,0.2
W000,12VcottonB,0,0.193,0.193
W000,12VcottonB,0,0.071,0.071
W000,12VcottonB,0,0.259,0.259
W000,12VcottonB,0,0.735,0.735
W000,12VcottonB,0,0.236,0.236
W000,12VcottonB,0,0.14,0.14
W000,12VcottonB,0,0.088,0.088
W000,12VcottonB,0,0.161,0.161
W000,12VcottonB,0,0.095,0.095
W000,12VcottonC,0,0,0
W000,12VcottonC,0,0.429,0.429
W000,12VcottonC,0,0.047,0.047
W000,12VcottonC,0,0.135,0.135
W000,12VcottonC,0,0.042,0.042
W000,12VcottonC,0,0.22,0.22
W000,12VcottonC,0,0.085,0.085
W000,12VcottonC,0,0.117,0.117
W000,12VcottonC,0,0.326,0.326
W000,12VcottonC,0,0.202,0.202
W001,12VcottonA,0,0.437,0.437
W001,12VcottonA,0,0.299,0.299
W001,12VcottonA,0,0.251,0.251
W001,12VcottonA,0,0.147,0.147
W001,12VcottonA,0,0.329,0.329
W001,12VcottonA,0,0.229,0.229
W001,12VcottonA,0,0.404,0.404
W001,12VcottonA,0,0.376,0.376
W001,12VcottonA,0,0.526,0.526
W001,12VcottonA,0,0.281,0.281
W001,12VcottonB,0,0.44,0.44
W001,12VcottonB,0,0.198,0.198
W001,12VcottonB,0,0.426,0.426
W001,12VcottonB,0,0.069,0.069
W001,12VcottonB,0,0.318,0.318
W001,12VcottonB,0,0.16,0.16
W001,12VcottonB,0,0.594,0.594
W001,12VcottonB,0,0.215,0.215
W001,12VcottonB,0,0.268,0.268
W001,12VcottonB,0,0.353,0.353
W001,12VcottonC,0,0.656,0.656
W001,12VcottonC,0,0.102,0.102
W001,12VcottonC,0,0.37,0.37
W001,12VcottonC,0,0.141,0.141
W001,12VcottonC,0,0.188,0.188
W001,12VcottonC,0.015,0.117,0.102
W001,12VcottonC,0,0.089,0.089
W001,12VcottonC,0,0.385,0.385
W001,12VcottonC,0,0.203,0.203
W001,12VcottonC,0,0.479,0.479
W002,12VcottonA,0,0.818,0.818
W002,12VcottonA,0.031,0.428,0.397
W002,12VcottonA,0,0.292,0.292
W002,12VcottonA,0,0.457,0.457
W002,12VcottonA,0,0.495,0.495
W002,12VcottonA,0.012,0.389,0.377
W002,12VcottonA,0,0.297,0.297
W002,12VcottonA,0,0.375,0.375
W002,12VcottonA,0.023,0.475,0.452
W002,12VcottonA,0.01,0.432,0.422
W002,12VcottonB,0,0.655,0.655
W002,12VcottonB,0,0.267,0.267
W002,12VcottonB,0.032,0.597,0.565
W002,12VcottonB,0,0.259,0.259
W002,12VcottonB,0,0.264,0.264
W002,12VcottonB,0,0.201,0.201
W002,12VcottonB,0,0.609,0.609
W002,12VcottonB,0.034,0.293,0.259
W002,12VcottonB,0,0.277,0.277
W002,12VcottonB,0,0.23,0.23
W002,12VcottonC,0.02,0.483,0.463
W002,12VcottonC,0,0.455,0.455
W002,12VcottonC,0.016,0.185,0.169
W002,12VcottonC,0,0.098,0.098
W002,12VcottonC,0,0.303,0.303
W002,12VcottonC,0,0.287,0.287
W002,12VcottonC,0,0.557,0.557
W002,12VcottonC,0,0.242,0.242
W002,12VcottonC,0,0.392,0.392
W002,12VcottonC,0.025,0.356,0.331
W003,12VcottonA,0,0.347,0.347
W003,12VcottonA,0,0.227,0.227
W003,12VcottonA,0,0.23,0.23
W003,12VcottonA,0,0.095,0.095
W003,12VcottonA,0.019,0.119,0.1
W003,12VcottonA,0,0.304,0.304
W003,12VcottonA,0,0.269,0.269
W003,12VcottonA,0,0.372,0.372
W003,12VcottonA,0,0.207,0.207
W003,12VcottonA,0,0.313,0.313
W003,12VcottonB,0,0.396,0.396
W003,12VcottonB,0,0.192,0.192
W003,12VcottonB,0,0.18,0.18
W003,12VcottonB,0,0.282,0.282
W003,12VcottonB,0,0.37,0.37
W003,12VcottonB,0,0.23,0.23
W003,12VcottonB,0,0.177,0.177
W003,12VcottonB,0,0.15,0.15
W003,12VcottonB,0.026,0.318,0.292
W003,12VcottonB,0,0.334,0.334
W003,12VcottonC,0,0.165,0.165
W003,12VcottonC,0,0.346,0.346
W003,12VcottonC,0,0.385,0.385
W003,12VcottonC,0,0.321,0.321
W003,12VcottonC,0,0.105,0.105
W003,12VcottonC,0,0.287,0.287
W003,12VcottonC,0,0.454,0.454
W003,12VcottonC,0,0.381,0.381
W003,12VcottonC,0.012,0.387,0.375
W003,12VcottonC,0,0.347,0.347
W004,12VcottonA,0,0.306,0.306
W004,12VcottonA,0,0.387,0.387
W004,12VcottonA,0,0.138,0.138
W004,12VcottonA,0,0.558,0.558
W004,12VcottonA,0,0.396,0.396
