Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1Vcotton,1000g,R1,8.753,795727.272727273,65.7625845229151
SH,W000,1Vcotton,1000g,R2,11.799,1072636.36363636,88.6476333583771
SH,W000,1Vcotton,1000g,R3,9.785,889545.454545455,73.5161532682194
SH,W000,1Vcotton,1000g,R4,11.614,1055818.18181818,87.2577009767092
SH,W000,1Vcotton,1000g,R5,10.801,981909.090909091,81.1495116453794
SH,W000,1Vcotton,100g,R1,6.374,579454.545454545,47.8888054094666
SH,W000,1Vcotton,100g,R2,4.328,393454.545454545,32.5169045830203
SH,W000,1Vcotton,100g,R3,4.225,384090.909090909,31.7430503380917
SH,W000,1Vcotton,100g,R4,3.99,362727.272727273,29.977460555973
SH,W000,1Vcotton,100g,R5,2.419,219909.090909091,18.1743050338092
SH,W000,1Vcotton,2000g,R1,12.266,1115090.90909091,92.1562734785875
SH,W000,1Vcotton,2000g,R2,16.321,1483727.27272727,122.622088655147
SH,W000,1Vcotton,2000g,R3,15.717,1428818.18181818,118.084147257701
SH,W000,1Vcotton,2000g,R4,11.693,1063000,87.8512396694215
SH,W000,1Vcotton,2000g,R5,13.435,1221363.63636364,100.939143501127
SH,W000,1Vcotton,200g,R1,3.153,286636.363636364,23.6889556724267
SH,W000,1Vcotton,200g,R2,8.947,813363.636363636,67.2201352366642
SH,W000,1Vcotton,200g,R3,7.51,682727.272727273,56.4237415477085
SH,W000,1Vcotton,200g,R4,8.143,740272.727272727,61.1795642374155
SH,W000,1Vcotton,200g,R5,6.142,558363.636363636,46.1457550713749
SH,W000,1Vcotton,400g,R1,5.784,525818.181818182,43.4560480841473
SH,W000,1Vcotton,400g,R2,5.809,528090.909090909,43.6438767843727
SH,W000,1Vcotton,400g,R3,10.668,969818.181818182,80.1502629601803
SH,W000,1Vcotton,400g,R4,9.41,855454.545454546,70.6987227648385
SH,W000,1Vcotton,400g,R5,10.535,957727.272727273,79.1510142749812
SH,W000,1Vcotton,800g,R1,8.991,817363.636363636,67.5507137490609
SH,W000,1Vcotton,800g,R2,9.757,887000,73.3057851239669
SH,W000,1Vcotton,800g,R3,8.666,787818.181818182,65.1089406461307
SH,W000,1Vcotton,800g,R4,9.486,862363.636363636,71.2697220135237
SH,W000,1Vcotton,800g,R5,11.269,1024454.54545455,84.6656649135988
SH,W001,1Vcotton,1000g,R1,37.514,3410363.63636364,281.848234410218
SH,W001,1Vcotton,1000g,R2,41.321,3756454.54545455,310.450788880541
SH,W001,1Vcotton,1000g,R3,44.95,4086363.63636364,337.716003005259
SH,W001,1Vcotton,1000g,R4,42.409,3855363.63636364,318.62509391435
SH,W001,1Vcotton,1000g,R5,26.678,2425272.72727273,200.435762584523
SH,W001,1Vcotton,100g,R1,6.614,601272.727272727,49.6919609316304
SH,W001,1Vcotton,100g,R2,9.445,858636.363636364,70.961682945154
SH,W001,1Vcotton,100g,R3,9.289,844454.545454545,69.7896318557476
SH,W001,1Vcotton,100g,R4,12.013,1092090.90909091,90.2554470323065
SH,W001,1Vcotton,100g,R5,8.853,804818.181818182,66.5138993238167
SH,W001,1Vcotton,2000g,R1,46.832,4257454.54545455,351.855747558227
SH,W001,1Vcotton,2000g,R2,47.365,4305909.09090909,355.860255447032
SH,W001,1Vcotton,2000g,R3,55.959,5087181.81818182,420.428249436514
SH,W001,1Vcotton,2000g,R4,58.765,5342272.72727273,441.510142749812
SH,W001,1Vcotton,2000g,R5,49.58,4507272.72727273,372.501878287002
SH,W001,1Vcotton,200g,R1,13.77,1251818.18181818,103.456048084147
SH,W001,1Vcotton,200g,R2,13.937,1267000,104.710743801653
SH,W001,1Vcotton,200g,R3,14.365,1305909.09090909,107.926371149512
SH,W001,1Vcotton,200g,R4,15.925,1447727.27272727,119.646882043576
SH,W001,1Vcotton,200g,R5,14.597,1327000,109.669421487603
SH,W001,1Vcotton,400g,R1,18.359,1669000,137.933884297521
SH,W001,1Vcotton,400g,R2,27.1,2463636.36363636,203.606311044328
SH,W001,1Vcotton,400g,R3,23.489,2135363.63636364,176.476333583772
SH,W001,1Vcotton,400g,R4,33.084,3007636.36363636,248.564988730278
SH,W001,1Vcotton,400g,R5,36.047,3277000,270.826446280992
SH,W001,1Vcotton,800g,R1,39.094,3554000,293.719008264463
SH,W001,1Vcotton,800g,R2,30.613,2783000,230
SH,W001,1Vcotton,800g,R3,31.972,2906545.45454545,240.210368144252
SH,W001,1Vcotton,800g,R4,26.829,2439000,201.570247933884
SH,W001,1Vcotton,800g,R5,25.645,2331363.63636364,192.67468069121
SH,W003,1Vcotton,1000g,R1,11.415,1037727.27272727,85.7625845229151
SH,W003,1Vcotton,1000g,R2,9.548,868000,71.7355371900826
SH,W003,1Vcotton,1000g,R3,10.355,941363.636363636,77.7986476333584
SH,W003,1Vcotton,1000g,R4,12.683,1153000,95.2892561983471
SH,W003,1Vcotton,1000g,R5,20.516,1865090.90909091,154.139744552968
