Wash,garment,Before transfer area,After transfer area,value
W000,G1,0,0.192,0.192
W000,G1,0,0.234,0.234
W000,G1,0,0.018,0.018
W000,G1,0,0.239,0.239
W000,G1,0,0.057,0.057
W000,G1,0,0.142,0.142
W000,G1,0,0.316,0.316
W000,G1,0,0.208,0.208
W000,G1,0,0.279,0.279
W000,G1,0,0.2,0.2
W001,G1,0,0.285,0.285
W001,G1,0,0.243,0.243
W001,G1,0,0.064,0.064
W001,G1,0,0.103,0.103
W001,G1,0,0.095,0.095
W001,G1,0,0.347,0.347
W001,G1,0,0.233,0.233
W001,G1,0,0.152,0.152
W001,G1,0,0.25,0.25
W001,G1,0,0.339,0.339
W002,G1,0,0.053,0.053
W002,G1,0,0.059,0.059
W002,G1,0,0.023,0.023
W002,G1,0,0.01,0.01
W002,G1,0,0.069,0.069
W002,G1,0,0.15,0.15
W002,G1,0,0.108,0.108
W002,G1,0,0.031,0.031
W002,G1,0,0.114,0.114
W002,G1,0,0.087,0.087
W003,G1,0,0.024,0.024
W003,G1,0,0.103,0.103
W003,G1,0,0.055,0.055
W003,G1,0,0,0
W003,G1,0,0.082,0.082
W003,G1,0,0.102,0.102
W003,G1,0,0.128,0.128
W003,G1,0.01,0.173,0.163
W003,G1,0,0.042,0.042
W003,G1,0,0.157,0.157
W004,G1,0,0,0
W004,G1,0,0.024,0.024
W004,G1,0,0.089,0.089
W004,G1,0,0,0
W004,G1,0,0.049,0.049
W004,G1,0,0.032,0.032
W004,G1,0,0,0
W004,G1,0,0.049,0.049
W004,G1,0,0,0
W004,G1,0,0.079,0.079
W005,G1,0,0.015,0.015
W005,G1,0,0.027,0.027
W005,G1,0,0.022,0.022
W005,G1,0.014,0.068,0.054
W005,G1,0.01,0,-0.01
W005,G1,0,0.035,0.035
W005,G1,0,0.032,0.032
W005,G1,0,0.046,0.046
W005,G1,0,0.023,0.023
W005,G1,0,0.006,0.006
W006,G1,0,0.025,0.025
W006,G1,0,0.047,0.047
W006,G1,0,0.014,0.014
W006,G1,0,0,0
W006,G1,0,0,0
W006,G1,0,0.027,0.027
W006,G1,0,0,0
W006,G1,0,0.013,0.013
W006,G1,0,0.038,0.038
W006,G1,0,0.012,0.012
W007,G1,0,0,0
W007,G1,0.006,0,-0.006
W007,G1,0,0,0
W007,G1,0.006,0.026,0.02
W007,G1,0,0.017,0.017
W007,G1,0,0.025,0.025
W007,G1,0,0,0
W007,G1,0,0.018,0.018
W007,G1,0,0,0
W007,G1,0,0.03,0.03
W009,G1,0.024,0.009,-0.015
W009,G1,0.058,0.042,-0.016
W009,G1,0,0,0
W009,G1,0,0.051,0.051
W009,G1,0,0,0
W009,G1,0,0.029,0.029
W009,G1,0.009,0.039,0.03
W009,G1,0,0.015,0.015
W009,G1,0,0,0
W009,G1,0,0,0
W011,G1,0,0,0
W011,G1,0.019,0.036,0.017
W011,G1,0.049,0,-0.049
W011,G1,0.015,0.015,0
W011,G1,0,0.029,0.029
W011,G1,0,0,0
W011,G1,0,0.022,0.022
W011,G1,0,0,0
W011,G1,0.014,0,-0.014
W011,G1,0,0.017,0.017
W013,G1,0,0.041,0.041
W013,G1,0.014,0.051,0.037
W013,G1,0,0.016,0.016
W013,G1,0,0.052,0.052
W013,G1,0,0.033,0.033
W013,G1,0,0.044,0.044
W013,G1,0,0.009,0.009
W013,G1,0,0.035,0.035
W013,G1,0,0.018,0.018
W013,G1,0,0.033,0.033
W015,G1,0.012,0.044,0.032
W015,G1,0.045,0.022,-0.023
W015,G1,0,0.021,0.021
W015,G1,0.032,0.049,0.017
W015,G1,0.019,0.036,0.017
W015,G1,0,0.012,0.012
W015,G1,0,0,0
W015,G1,0,0.015,0.015
W015,G1,0,0.036,0.036
W015,G1,0,0.026,0.026
