Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,5Vcotton,1000g,R1,9.892,899272.727272727,74.3200601051841
SH,W000,5Vcotton,1000g,R2,8.923,811181.818181818,67.0398196844478
SH,W000,5Vcotton,1000g,R3,17.795,1617727.27272727,133.696468820436
SH,W000,5Vcotton,1000g,R4,5.616,510545.454545455,42.1938392186326
SH,W000,5Vcotton,1000g,R5,6.868,624363.636363636,51.6003005259204
SH,W000,5Vcotton,100g,R1,2.944,267636.363636364,22.1187077385425
SH,W000,5Vcotton,100g,R2,3.566,324181.818181818,26.7918858001503
SH,W000,5Vcotton,100g,R3,5.81,528181.818181818,43.6513899323817
SH,W000,5Vcotton,100g,R4,1.428,129818.181818182,10.7287753568745
SH,W000,5Vcotton,100g,R5,1.928,175272.727272727,14.4853493613824
SH,W000,5Vcotton,2000g,R1,8.926,811454.545454546,67.0623591284748
SH,W000,5Vcotton,2000g,R2,10.068,915272.727272727,75.6423741547708
SH,W000,5Vcotton,2000g,R3,13.069,1188090.90909091,98.1893313298272
SH,W000,5Vcotton,2000g,R4,12.585,1144090.90909091,94.5529676934636
SH,W000,5Vcotton,2000g,R5,11.662,1060181.81818182,87.618332081142
SH,W000,5Vcotton,200g,R1,6.481,589181.818181818,48.6927122464313
SH,W000,5Vcotton,200g,R2,5.801,527363.636363636,43.5837716003005
SH,W000,5Vcotton,200g,R3,9.945,904090.909090909,74.7182569496619
SH,W000,5Vcotton,200g,R4,2.449,222636.363636364,18.3996994740796
SH,W000,5Vcotton,200g,R5,2.888,262545.454545455,21.6979714500376
SH,W000,5Vcotton,400g,R1,6.521,592818.181818182,48.9932381667919
SH,W000,5Vcotton,400g,R2,6.4,581818.181818182,48.084147257701
SH,W000,5Vcotton,400g,R3,9.078,825272.727272727,68.2043576258452
SH,W000,5Vcotton,400g,R4,3.112,282909.090909091,23.3809166040571
SH,W000,5Vcotton,400g,R5,3.472,315636.363636364,26.0856498873028
SH,W000,5Vcotton,800g,R1,7.28,661818.181818182,54.6957175056349
SH,W000,5Vcotton,800g,R2,7.577,688818.181818182,56.9271224643126
SH,W000,5Vcotton,800g,R3,13.677,1243363.63636364,102.757325319309
SH,W000,5Vcotton,800g,R4,9.616,874181.818181818,72.2464312546957
SH,W000,5Vcotton,800g,R5,6.486,589636.363636364,48.7302779864763
SH,W051,5Vcotton,1000g,R1,2.56,232727.272727273,19.2336589030804
SH,W051,5Vcotton,1000g,R2,11.253,1023000,84.5454545454545
SH,W051,5Vcotton,1000g,R3,3.892,353818.181818182,29.2411720510894
SH,W051,5Vcotton,1000g,R4,6.5,590909.090909091,48.8354620586026
SH,W051,5Vcotton,1000g,R5,4.988,453454.545454546,37.4755822689707
SH,W051,5Vcotton,100g,R1,0.494,44909.0909090909,3.71149511645379
SH,W051,5Vcotton,100g,R2,0.382,34727.2727272727,2.87002253944403
SH,W051,5Vcotton,100g,R3,0.948,86181.8181818182,7.12246431254696
SH,W051,5Vcotton,100g,R4,0.638,58000,4.79338842975207
SH,W051,5Vcotton,100g,R5,0.379,34454.5454545455,2.84748309541698
SH,W051,5Vcotton,2000g,R1,11.716,1065090.90909091,88.0240420736288
SH,W051,5Vcotton,2000g,R2,14.227,1293363.63636364,106.889556724267
SH,W051,5Vcotton,2000g,R3,5.285,480454.545454545,39.7069872276484
SH,W051,5Vcotton,2000g,R4,10.17,924545.454545455,76.4087152516905
SH,W051,5Vcotton,2000g,R5,16.024,1456727.27272727,120.390683696469
SH,W051,5Vcotton,200g,R1,1.002,91090.9090909091,7.52817430503381
SH,W051,5Vcotton,200g,R2,0.699,63545.4545454545,5.25169045830203
SH,W051,5Vcotton,200g,R3,2.155,195909.090909091,16.190833959429
SH,W051,5Vcotton,200g,R4,0.689,62636.3636363636,5.17655897821187
SH,W051,5Vcotton,200g,R5,0.542,49272.7272727273,4.07212622088655
SH,W051,5Vcotton,400g,R1,1.533,139363.636363636,11.5176558978212
SH,W051,5Vcotton,400g,R2,3.176,288727.272727273,23.8617580766341
SH,W051,5Vcotton,400g,R3,4.419,401727.272727273,33.2006010518407
SH,W051,5Vcotton,400g,R4,0.769,69909.0909090909,5.77761081893313
SH,W051,5Vcotton,400g,R5,1.318,119818.181818182,9.9023290758828
SH,W051,5Vcotton,800g,R1,2.993,272090.909090909,22.4868519909842
SH,W051,5Vcotton,800g,R2,3.915,355909.090909091,29.4139744552968
SH,W051,5Vcotton,800g,R3,2.399,218090.909090909,18.0240420736289
SH,W051,5Vcotton,800g,R4,4.086,371454.545454545,30.6987227648385
SH,W051,5Vcotton,800g,R5,3.68,334545.454545455,27.6483846731781
