Operator,Pressure,Garment,Repeat,Sample,Area,Area.px,Area.mm2
Operator 1,gentle,G1,R1,1,2.724,247636.363636364,20.465815176559
Operator 1,gentle,G1,R1,2,1.774,161272.727272727,13.328324567994
Operator 1,gentle,G1,R1,3,1.899,172636.363636364,14.267468069121
Operator 1,gentle,G1,R1,4,1.087,98818.1818181818,8.16679188580015
Operator 1,gentle,G1,R1,5,0.514,46727.2727272727,3.86175807663411
Operator 1,gentle,G1,R1,6,0.306,27818.1818181818,2.29902329075883
Operator 1,gentle,G1,R2,1,2.2,2e+05,16.5289256198347
Operator 1,gentle,G1,R2,2,1.299,118090.909090909,9.7595792637115
Operator 1,gentle,G1,R2,3,2.152,195636.363636364,16.168294515402
Operator 1,gentle,G1,R2,4,1.909,173545.454545455,14.3425995492111
Operator 1,gentle,G1,R2,5,0.919,83545.4545454545,6.9045830202855
Operator 1,gentle,G1,R2,6,0.833,75727.2727272727,6.25845229151014
Operator 1,gentle,G1,R3,1,1.338,121636.363636364,10.0525920360631
Operator 1,gentle,G1,R3,2,1.052,95636.3636363636,7.9038317054846
Operator 1,gentle,G1,R3,3,0.764,69454.5454545455,5.74004507888805
Operator 1,gentle,G1,R3,4,1.005,91363.6363636364,7.55071374906086
Operator 1,gentle,G1,R3,5,1.055,95909.0909090909,7.92637114951165
Operator 1,gentle,G1,R3,6,1.652,150181.818181818,12.4117205108941
Operator 2,firm,G1,R1,1,1.054,95818.1818181818,7.91885800150263
Operator 2,firm,G1,R1,2,0.876,79636.3636363636,6.58151765589782
Operator 2,firm,G1,R1,3,1.149,104454.545454545,8.63260706235913
Operator 2,firm,G1,R1,4,0.862,78363.6363636364,6.4763335837716
Operator 2,firm,G1,R1,5,1.148,104363.636363636,8.62509391435011
Operator 2,firm,G1,R1,6,0.602,54727.2727272727,4.5229151014275
Operator 2,firm,G1,R2,1,1.472,133818.181818182,11.0593538692712
Operator 2,firm,G1,R2,2,0.885,80454.5454545455,6.64913598797896
Operator 2,firm,G1,R2,3,0.835,75909.0909090909,6.27347858752817
Operator 2,firm,G1,R2,4,1.33,120909.090909091,9.99248685199098
Operator 2,firm,G1,R2,5,1.075,97727.2727272727,8.07663410969196
Operator 2,firm,G1,R2,6,1.135,103181.818181818,8.52742299023291
Operator 2,firm,G1,R3,1,1.155,105000,8.67768595041322
Operator 2,firm,G1,R3,2,0.845,76818.1818181818,6.34861006761833
Operator 2,firm,G1,R3,3,0.466,42363.6363636364,3.50112697220135
Operator 2,firm,G1,R3,4,0.989,89909.0909090909,7.4305033809166
Operator 2,firm,G1,R3,5,0.582,52909.0909090909,4.37265214124718
Operator 2,firm,G1,R3,6,0.881,80090.9090909091,6.6190833959429
Operator 3,firm,G1,R1,1,8.317,756090.909090909,62.4868519909842
Operator 3,firm,G1,R1,2,5.595,508636.363636364,42.0360631104433
Operator 3,firm,G1,R1,3,4.568,415272.727272727,34.3200601051841
