Contact.Area,Repeat,Area,Area.px,Area.mm2
CA1,R1,9.453,859363.636363636,68.5079429499072
CA1,R2,7.211,655545.454545455,52.2596822820037
CA1,R3,7.713,701181.818181818,55.8977852504638
CA1,R4,5.209,473545.454545455,37.7507537105751
CA1,R5,4.042,367454.545454545,29.2932513914657
CA1,R6,4.854,441272.727272727,35.1779916512059
CA2,R1,10.382,943818.181818182,75.240607606679
CA2,R2,6.169,560818.181818182,44.7080820964749
CA2,R3,6.4,581818.181818182,46.3821892393321
CA2,R4,4.9,445454.545454545,35.5113636363636
CA2,R5,4.989,453545.454545455,36.1563659554731
CA2,R6,4.391,399181.818181818,31.822530148423
CA3,R1,8.643,785727.272727273,62.6376971243043
CA3,R2,5.558,505272.727272727,40.2800324675325
CA3,R3,6.425,584090.909090909,46.5633696660482
CA3,R4,3.972,361090.909090909,28.7859461966605
CA3,R5,5.387,489727.272727273,39.0407583487941
CA3,R6,4.468,406181.818181818,32.3805658627087
CA4,R1,10.413,946636.363636364,75.465271335807
CA4,R2,4.601,418272.727272727,33.3444457328386
CA4,R3,7.435,675909.090909091,53.8830589053803
CA4,R4,4.376,397818.181818182,31.7138218923933
CA4,R5,4.078,370727.272727273,29.5541512059369
CA4,R6,2.786,253272.727272727,20.1907467532468
CA5,R1,10.33,939090.909090909,74.8637523191095
CA5,R2,4.476,406909.090909091,32.4385435992579
CA5,R3,7.207,655181.818181818,52.2306934137291
CA5,R4,3.588,326181.818181818,26.0030148423006
CA5,R5,4.898,445272.727272727,35.4968692022263
CA5,R6,3.485,316818.181818182,25.2565514842301
