Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1VcottonD,1000g,R1,5.297,481545.454545455,39.7971450037566
SH,W000,1VcottonD,1000g,R2,7.398,672545.454545455,55.5822689706987
SH,W000,1VcottonD,1000g,R3,4.164,378545.454545455,31.2847483095417
SH,W000,1VcottonD,1000g,R4,4.785,435000,35.9504132231405
SH,W000,1VcottonD,1000g,R5,8.803,800272.727272727,66.1382419233659
SH,W000,1VcottonD,100g,R1,1.021,92818.1818181818,7.67092411720511
SH,W000,1VcottonD,100g,R2,1.282,116545.454545455,9.63185574755823
SH,W000,1VcottonD,100g,R3,1.587,144272.727272727,11.923365890308
SH,W000,1VcottonD,100g,R4,1.437,130636.363636364,10.7963936889557
SH,W000,1VcottonD,100g,R5,1.814,164909.090909091,13.6288504883546
SH,W000,1VcottonD,2000g,R1,12.817,1165181.81818182,96.2960180315552
SH,W000,1VcottonD,2000g,R2,8.13,739090.909090909,61.0818933132983
SH,W000,1VcottonD,2000g,R3,14.041,1276454.54545455,105.492111194591
SH,W000,1VcottonD,2000g,R4,10.825,984090.909090909,81.3298271975958
SH,W000,1VcottonD,2000g,R5,8.053,732090.909090909,60.5033809166041
SH,W000,1VcottonD,200g,R1,2.589,235363.636363636,19.4515401953418
SH,W000,1VcottonD,200g,R2,1.102,100181.818181818,8.27948910593539
SH,W000,1VcottonD,200g,R3,2.122,192909.090909091,15.9429000751315
SH,W000,1VcottonD,200g,R4,2.191,199181.818181818,16.4613072877536
SH,W000,1VcottonD,200g,R5,2.232,202909.090909091,16.7693463561232
SH,W000,1VcottonD,400g,R1,2.247,204272.727272727,16.8820435762585
SH,W000,1VcottonD,400g,R2,4.992,453818.181818182,37.5056348610068
SH,W000,1VcottonD,400g,R3,5.164,469454.545454545,38.7978963185575
SH,W000,1VcottonD,400g,R4,3.582,325636.363636364,26.9120961682945
SH,W000,1VcottonD,400g,R5,4.232,384727.272727273,31.7956423741548
SH,W000,1VcottonD,800g,R1,5.174,470363.636363636,38.8730277986476
SH,W000,1VcottonD,800g,R2,5.561,505545.454545455,41.7806160781367
SH,W000,1VcottonD,800g,R3,5.183,471181.818181818,38.9406461307288
SH,W000,1VcottonD,800g,R4,6.944,631272.727272727,52.1712997746056
SH,W000,1VcottonD,800g,R5,5.749,522636.363636364,43.1930879038317
SH,W001,1VcottonD,1000g,R1,28.001,2545545.45454545,210.375657400451
SH,W001,1VcottonD,1000g,R2,43.492,3953818.18181818,326.761833208114
SH,W001,1VcottonD,1000g,R3,24.717,2247000,185.702479338843
SH,W001,1VcottonD,1000g,R4,26.219,2383545.45454545,196.987227648385
SH,W001,1VcottonD,1000g,R5,27.914,2537636.36363636,209.722013523666
SH,W001,1VcottonD,100g,R1,15.837,1439727.27272727,118.985725018783
SH,W001,1VcottonD,100g,R2,14.754,1341272.72727273,110.848985725019
SH,W001,1VcottonD,100g,R3,12.574,1143090.90909091,94.4703230653644
SH,W001,1VcottonD,100g,R4,16.393,1490272.72727273,123.163035311796
SH,W001,1VcottonD,100g,R5,11.776,1070545.45454545,88.4748309541698
SH,W001,1VcottonD,2000g,R1,43.221,3929181.81818182,324.725770097671
SH,W001,1VcottonD,2000g,R2,39.451,3586454.54545455,296.401202103681
SH,W001,1VcottonD,2000g,R3,41.124,3738545.45454546,308.970698722765
SH,W001,1VcottonD,2000g,R4,39.472,3588363.63636364,296.558978211871
SH,W001,1VcottonD,2000g,R5,44.951,4086454.54545455,337.723516153268
SH,W001,1VcottonD,200g,R1,14.059,1278090.90909091,105.627347858753
SH,W001,1VcottonD,200g,R2,18.495,1681363.63636364,138.955672426747
SH,W001,1VcottonD,200g,R3,15.254,1386727.27272727,114.605559729527
SH,W001,1VcottonD,200g,R4,16.468,1497090.90909091,123.726521412472
SH,W001,1VcottonD,200g,R5,15.747,1431545.45454545,118.309541697971
SH,W001,1VcottonD,400g,R1,20.128,1829818.18181818,151.22464312547
SH,W001,1VcottonD,400g,R2,19.223,1747545.45454545,144.42524417731
SH,W001,1VcottonD,400g,R3,25.958,2359818.18181818,195.026296018032
SH,W001,1VcottonD,400g,R4,24.166,2196909.09090909,181.562734785875
SH,W001,1VcottonD,400g,R5,26.238,2385272.72727273,197.129977460556
SH,W001,1VcottonD,800g,R1,25.984,2362181.81818182,195.221637866266
