Wash,garment,Before transfer area,After transfer area,value
W000,G2,0,0.161,0.161
W000,G2,0,0.089,0.089
W000,G2,0,0.124,0.124
W000,G2,0,0.207,0.207
W000,G2,0,0.139,0.139
W000,G2,0,0.042,0.042
W000,G2,0,0.086,0.086
W000,G2,0,0.068,0.068
W000,G2,0,0.122,0.122
W000,G2,0,0.159,0.159
W001,G2,0,0.333,0.333
W001,G2,0,0.149,0.149
W001,G2,0,0.141,0.141
W001,G2,0,0.411,0.411
W001,G2,0,0.205,0.205
W001,G2,0,0.173,0.173
W001,G2,0,0.334,0.334
W001,G2,0,0.368,0.368
W001,G2,0,0.459,0.459
W001,G2,0,0.399,0.399
W002,G2,0,0.317,0.317
W002,G2,0,0.076,0.076
W002,G2,0,0.14,0.14
W002,G2,0,0.26,0.26
W002,G2,0,0.081,0.081
W002,G2,0,0.252,0.252
W002,G2,0,0.256,0.256
W002,G2,0.007,0.299,0.292
W002,G2,0,0.247,0.247
W002,G2,0,0.204,0.204
W003,G2,0,0.123,0.123
W003,G2,0.008,0.007,-0.001
W003,G2,0,0.275,0.275
W003,G2,0,0.027,0.027
W003,G2,0,0.037,0.037
W003,G2,0,0.145,0.145
W003,G2,0,0.108,0.108
W003,G2,0,0.155,0.155
W003,G2,0,0.459,0.459
W003,G2,0,0.072,0.072
W004,G2,0,0.055,0.055
W004,G2,0,0.092,0.092
W004,G2,0,0.086,0.086
W004,G2,0,0.069,0.069
W004,G2,0,0.138,0.138
W004,G2,0,0.05,0.05
W004,G2,0,0.103,0.103
W004,G2,0,0.038,0.038
W004,G2,0,0.059,0.059
W004,G2,0,0.039,0.039
W005,G2,0,0.106,0.106
W005,G2,0.021,0.088,0.067
W005,G2,0,0.074,0.074
W005,G2,0,0.034,0.034
W005,G2,0,0.06,0.06
W005,G2,0.021,0.205,0.184
W005,G2,0,0.024,0.024
W005,G2,0.008,0.274,0.266
W005,G2,0,0.089,0.089
W005,G2,0,0.153,0.153
W006,G2,0,0.079,0.079
W006,G2,0,0.028,0.028
W006,G2,0,0.024,0.024
W006,G2,0,0.078,0.078
W006,G2,0,0.065,0.065
W006,G2,0.055,0.054,-0.001
W006,G2,0,0.11,0.11
W006,G2,0,0.24,0.24
W006,G2,0.007,0.141,0.134
W006,G2,0.01,0.092,0.082
W007,G2,0,0.131,0.131
W007,G2,0,0.031,0.031
W007,G2,0,0.163,0.163
W007,G2,0,0.076,0.076
W007,G2,0,0.063,0.063
W007,G2,0.01,0.026,0.016
W007,G2,0,0.102,0.102
W007,G2,0,0.066,0.066
W007,G2,0,0.058,0.058
W007,G2,0.067,0.061,-0.00600000000000001
W008,G2,0,0.012,0.012
W008,G2,0,0.009,0.009
W008,G2,0,0,0
W008,G2,0.023,0.033,0.01
W008,G2,0,0,0
W008,G2,0.046,0.058,0.012
W008,G2,0,0.083,0.083
W008,G2,0,0.01,0.01
W008,G2,0,0,0
W008,G2,0.067,0,-0.067
W009,G2,0,0.044,0.044
W009,G2,0,0.038,0.038
W009,G2,0,0.045,0.045
W009,G2,0,0.051,0.051
W009,G2,0,0,0
W009,G2,0,0.105,0.105
W009,G2,0,0.018,0.018
W009,G2,0,0.026,0.026
W009,G2,0,0.03,0.03
W009,G2,0,0.035,0.035
W010,G2,0,0.047,0.047
W010,G2,0,0.01,0.01
W010,G2,0,0.031,0.031
W010,G2,0,0,0
W010,G2,0,0.026,0.026
W010,G2,0,0,0
W010,G2,0,0.071,0.071
W010,G2,0,0,0
W010,G2,0,0,0
W010,G2,0,0.063,0.063
W013,G2,0,0.042,0.042
W013,G2,0,0,0
W013,G2,0,0.03,0.03
W013,G2,0.008,0.029,0.021
W013,G2,0,0,0
W013,G2,0.013,0,-0.013
W013,G2,0.028,0,-0.028
W013,G2,0,0,0
W013,G2,0,0.01,0.01
W013,G2,0,0,0
W015,G2,0,0.03,0.03
W015,G2,0.019,0.106,0.087
W015,G2,0.014,0,-0.014
W015,G2,0,0,0
W015,G2,0,0,0
W015,G2,0.006,0.032,0.026
W015,G2,0,0.126,0.126
W015,G2,0.023,0,-0.023
W015,G2,0,0.066,0.066
W015,G2,0,0.028,0.028
