Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,Rcotton,1000g,R1,19.276,1752363.63636364,144.823441021788
SH,W000,Rcotton,1000g,R2,33.559,3050818.18181818,252.13373403456
SH,W000,Rcotton,1000g,R3,5.582,507454.545454545,41.9383921863261
SH,W000,Rcotton,1000g,R4,36.073,3279363.63636364,271.021788129226
SH,W000,Rcotton,1000g,R5,43.984,3998545.45454545,330.45830202855
SH,W000,Rcotton,100g,R1,9.546,867818.181818182,71.7205108940646
SH,W000,Rcotton,100g,R2,11.249,1022636.36363636,84.5154019534185
SH,W000,Rcotton,100g,R3,2.961,269181.818181818,22.2464312546957
SH,W000,Rcotton,100g,R4,12.157,1105181.81818182,91.3373403456048
SH,W000,Rcotton,100g,R5,9.302,845636.363636364,69.8873027798648
SH,W000,Rcotton,2000g,R1,45.328,4120727.27272727,340.555972952667
SH,W000,Rcotton,2000g,R2,31.791,2890090.90909091,238.850488354621
SH,W000,Rcotton,2000g,R3,30.369,2760818.18181818,228.1667918858
SH,W000,Rcotton,2000g,R4,38.099,3463545.45454545,286.243425995492
SH,W000,Rcotton,2000g,R5,41.096,3736000,308.760330578512
SH,W000,Rcotton,200g,R1,4.239,385363.636363636,31.8482344102179
SH,W000,Rcotton,200g,R2,13.212,1201090.90909091,99.2637114951165
SH,W000,Rcotton,200g,R3,17.511,1591909.09090909,131.562734785875
SH,W000,Rcotton,200g,R4,6.734,612181.818181818,50.5935386927123
SH,W000,Rcotton,200g,R5,8.397,763363.636363636,63.0879038317055
SH,W000,Rcotton,400g,R1,12.579,1143545.45454545,94.5078888054095
SH,W000,Rcotton,400g,R2,19.549,1777181.81818182,146.874530428249
SH,W000,Rcotton,400g,R3,4.449,404454.545454545,33.4259954921112
SH,W000,Rcotton,400g,R4,12.956,1177818.18181818,97.3403456048084
SH,W000,Rcotton,400g,R5,9.07,824545.454545455,68.1442524417731
SH,W000,Rcotton,800g,R1,6.949,631727.272727273,52.2088655146506
SH,W000,Rcotton,800g,R2,27.131,2466454.54545455,203.839218632607
SH,W000,Rcotton,800g,R3,39.368,3578909.09090909,295.777610818933
SH,W000,Rcotton,800g,R4,19.331,1757363.63636364,145.236664162284
SH,W000,Rcotton,800g,R5,38.142,3467454.54545455,286.56649135988
SH,W025,Rcotton,1000g,R1,1.614,146727.272727273,12.1262208865515
SH,W025,Rcotton,1000g,R2,2.022,183818.181818182,15.1915852742299
SH,W025,Rcotton,1000g,R3,1.615,146818.181818182,12.1337340345605
SH,W025,Rcotton,1000g,R4,1.41,128181.818181818,10.5935386927122
SH,W025,Rcotton,1000g,R5,1.198,108909.090909091,9.0007513148009
SH,W025,Rcotton,100g,R1,0.186,16909.0909090909,1.39744552967693
SH,W025,Rcotton,100g,R2,0.084,7636.36363636364,0.631104432757325
SH,W025,Rcotton,100g,R3,0.379,34454.5454545455,2.84748309541698
SH,W025,Rcotton,100g,R4,0.198,18000,1.48760330578512
SH,W025,Rcotton,100g,R5,0.022,2000,0.165289256198347
SH,W025,Rcotton,2000g,R1,2.464,224000,18.5123966942149
SH,W025,Rcotton,2000g,R2,3.133,284818.181818182,23.5386927122464
SH,W025,Rcotton,2000g,R3,0.693,63000,5.20661157024793
SH,W025,Rcotton,2000g,R4,0.21,19090.9090909091,1.57776108189331
SH,W025,Rcotton,2000g,R5,1.086,98727.2727272727,8.15927873779114
SH,W025,Rcotton,200g,R1,0.845,76818.1818181818,6.34861006761833
SH,W025,Rcotton,200g,R2,0.17,15454.5454545455,1.27723516153268
SH,W025,Rcotton,200g,R3,0.019,1727.27272727273,0.1427498121713
SH,W025,Rcotton,200g,R4,0.083,7545.45454545455,0.62359128474831
SH,W025,Rcotton,200g,R5,0.04,3636.36363636364,0.300525920360631
SH,W025,Rcotton,400g,R1,0.582,52909.0909090909,4.37265214124718
SH,W025,Rcotton,400g,R2,0.482,43818.1818181818,3.6213373403456
SH,W025,Rcotton,400g,R3,0.733,66636.3636363636,5.50713749060856
SH,W025,Rcotton,400g,R4,0.133,12090.9090909091,0.999248685199098
SH,W025,Rcotton,400g,R5,0.342,31090.9090909091,2.5694966190834
SH,W025,Rcotton,800g,R1,3.673,333909.090909091,27.595792637115
SH,W025,Rcotton,800g,R2,2.707,246090.909090909,20.3380916604057
SH,W025,Rcotton,800g,R3,1.093,99363.6363636364,8.21187077385425
SH,W025,Rcotton,800g,R4,1.462,132909.090909091,10.9842223891811
SH,W025,Rcotton,800g,R5,2.687,244272.727272727,20.1878287002254
