Wash,garment,Before transfer area,After transfer area,value
W000,G3,0,0.402,0.402
W000,G3,0,0.1,0.1
W000,G3,0.008,0.102,0.094
W000,G3,0,0.127,0.127
W000,G3,0,0.166,0.166
W000,G3,0,0.036,0.036
W000,G3,0,0.036,0.036
W000,G3,0,0.118,0.118
W000,G3,0,0.137,0.137
W000,G3,0,0.092,0.092
W001,G3,0,0.193,0.193
W001,G3,0,0.269,0.269
W001,G3,0,0.195,0.195
W001,G3,0,0.351,0.351
W001,G3,0,0.196,0.196
W001,G3,0,0.106,0.106
W001,G3,0,0.306,0.306
W001,G3,0,0.287,0.287
W001,G3,0,0.191,0.191
W001,G3,0,0.213,0.213
W002,G3,0,0.222,0.222
W002,G3,0,0.134,0.134
W002,G3,0,0.131,0.131
W002,G3,0,0.063,0.063
W002,G3,0,0.231,0.231
W002,G3,0,0.233,0.233
W002,G3,0,0.257,0.257
W002,G3,0,0.079,0.079
W002,G3,0,0.171,0.171
W002,G3,0,0.208,0.208
W003,G3,0,0.222,0.222
W003,G3,0.098,0.157,0.059
W003,G3,0.065,0.163,0.098
W003,G3,0.123,0.078,-0.045
W003,G3,0.008,0.012,0.004
W003,G3,0.076,0.028,-0.048
W003,G3,0,0.051,0.051
W003,G3,0,0.082,0.082
W003,G3,0.051,0.065,0.014
W003,G3,0,0.011,0.011
W004,G3,0.025,0.051,0.026
W004,G3,0,0.021,0.021
W004,G3,0.022,0.01,-0.012
W004,G3,0,0.039,0.039
W004,G3,0,0.006,0.006
W004,G3,0.02,0.072,0.052
W004,G3,0.008,0.159,0.151
W004,G3,0.008,0.023,0.015
W004,G3,0,0.084,0.084
W004,G3,0.006,0.043,0.037
W005,G3,0,0.06,0.06
W005,G3,0,0.041,0.041
W005,G3,0,0.051,0.051
W005,G3,0,0.059,0.059
W005,G3,0,0.108,0.108
W005,G3,0,0.178,0.178
W005,G3,0,0.095,0.095
W005,G3,0.006,0.017,0.011
W005,G3,0,0.033,0.033
W005,G3,0,0.116,0.116
W006,G3,0,0.021,0.021
W006,G3,0,0.047,0.047
W006,G3,0,0.122,0.122
W006,G3,0,0.019,0.019
W006,G3,0,0.091,0.091
W006,G3,0,0.011,0.011
W006,G3,0.026,0.037,0.011
W006,G3,0,0.127,0.127
W006,G3,0,0.091,0.091
W006,G3,0.013,0.064,0.051
W007,G3,0,0,0
W007,G3,0,0.025,0.025
W007,G3,0,0.026,0.026
W007,G3,0.046,0.012,-0.034
W007,G3,0,0.06,0.06
W007,G3,0,0.069,0.069
W007,G3,0,0,0
W007,G3,0,0.026,0.026
W007,G3,0,0.04,0.04
W007,G3,0.008,0.017,0.009
W008,G3,0,0.063,0.063
W008,G3,0,0.011,0.011
W008,G3,0,0.019,0.019
W008,G3,0,0,0
W008,G3,0,0,0
W008,G3,0,0.022,0.022
W008,G3,0.034,0.053,0.019
W008,G3,0,0.022,0.022
W008,G3,0,0.063,0.063
W008,G3,0.032,0.055,0.023
W009,G3,0,0.082,0.082
W009,G3,0,0.033,0.033
W009,G3,0,0.056,0.056
W009,G3,0,0.06,0.06
W009,G3,0.03,0.035,0.005
W009,G3,0,0.115,0.115
W009,G3,0,0.054,0.054
W009,G3,0,0.007,0.007
W009,G3,0,0.08,0.08
W009,G3,0,0.047,0.047
W010,G3,0,0.144,0.144
W010,G3,0,0,0
W010,G3,0,0.035,0.035
W010,G3,0,0.074,0.074
W010,G3,0,0,0
W010,G3,0,0.068,0.068
W010,G3,0,0.074,0.074
W010,G3,0,0.071,0.071
W010,G3,0,0.045,0.045
W010,G3,0,0.074,0.074
W013,G3,0,0.061,0.061
W013,G3,0,0.036,0.036
W013,G3,0,0.093,0.093
W013,G3,0,0,0
W013,G3,0,0.015,0.015
W013,G3,0,0.013,0.013
W013,G3,0,0,0
W013,G3,0,0.176,0.176
W013,G3,0,0.028,0.028
W013,G3,0,0.088,0.088
W015,G3,0.076,0.011,-0.065
W015,G3,0,0.191,0.191
W015,G3,0.01,0.012,0.002
W015,G3,0.021,0.012,-0.009
W015,G3,0,0.015,0.015
W015,G3,0,0.07,0.07
W015,G3,0,0,0
W015,G3,0,0.033,0.033
W015,G3,0,0.013,0.013
W015,G3,0,0.095,0.095
