Operator,Pressure,Garment,Repeat,Sample,Area.mm2
Operator 2,firm,G1,R1,1,7.91885800150263
Operator 2,firm,G1,R1,2,6.58151765589782
Operator 2,firm,G1,R1,3,8.63260706235913
Operator 2,firm,G1,R1,4,6.4763335837716
Operator 2,firm,G1,R1,5,8.62509391435011
Operator 2,firm,G1,R1,6,4.5229151014275
Operator 2,firm,G1,R2,1,11.0593538692712
Operator 2,firm,G1,R2,2,6.64913598797896
Operator 2,firm,G1,R2,3,6.27347858752817
Operator 2,firm,G1,R2,4,9.99248685199098
Operator 2,firm,G1,R2,5,8.07663410969196
Operator 2,firm,G1,R2,6,8.52742299023291
Operator 2,firm,G1,R3,1,8.67768595041322
Operator 2,firm,G1,R3,2,6.34861006761833
Operator 2,firm,G1,R3,3,3.50112697220135
Operator 2,firm,G1,R3,4,7.4305033809166
Operator 2,firm,G1,R3,5,4.37265214124718
Operator 2,firm,G1,R3,6,6.6190833959429
Operator 2,firm,G2,R1,1,17.9338842975207
Operator 2,firm,G2,R1,2,13.2156273478588
Operator 2,firm,G2,R1,3,2.7122464312547
Operator 2,firm,G2,R1,4,12.9526671675432
Operator 2,firm,G2,R1,5,15.0939143501127
Operator 2,firm,G2,R1,6,12.2163786626597
Operator 2,firm,G2,R2,1,16.1232156273479
Operator 2,firm,G2,R2,2,7.24267468069121
Operator 2,firm,G2,R2,3,12.2839969947408
Operator 2,firm,G2,R2,4,9.84973703981968
Operator 2,firm,G2,R2,5,8.27948910593539
Operator 2,firm,G2,R2,6,19.1209616829452
Operator 2,firm,G2,R3,1,16.7843726521412
Operator 2,firm,G2,R3,2,14.755822689707
Operator 2,firm,G2,R3,3,14.8910593538693
Operator 2,firm,G2,R3,4,21.7129977460556
Operator 2,firm,G2,R3,5,25.5296769346356
Operator 2,firm,G2,R3,6,29.6919609316304
Operator 3,firm,G1,R1,1,62.4868519909842
Operator 3,firm,G1,R1,2,42.0360631104433
Operator 3,firm,G1,R1,3,34.3200601051841
Operator 3,firm,G1,R1,4,19.4440270473328
Operator 3,firm,G1,R1,5,22.5018782870023
Operator 3,firm,G1,R1,6,14.2148760330579
Operator 3,firm,G1,R2,1,62.5244177310293
Operator 3,firm,G1,R2,2,95.1615326821938
Operator 3,firm,G1,R2,3,48.4072126220887
Operator 3,firm,G1,R2,4,75.1014274981217
Operator 3,firm,G1,R2,5,56.3185574755823
Operator 3,firm,G1,R2,6,31.1419984973704
Operator 3,firm,G1,R3,1,35.0563486100676
Operator 3,firm,G1,R3,2,31.3523666416228
Operator 3,firm,G1,R3,3,106.671675432006
Operator 3,firm,G1,R3,4,36.5289256198347
Operator 3,firm,G1,R3,5,48.0240420736289
Operator 3,firm,G1,R3,6,33.313298271976
Operator 3,firm,G2,R1,1,27.0398196844478
Operator 3,firm,G2,R1,2,31.419984973704
Operator 3,firm,G2,R1,3,34.6731780616078
Operator 3,firm,G2,R1,4,32.4192336589031
Operator 3,firm,G2,R1,5,50.3756574004508
Operator 3,firm,G2,R1,6,48.8655146506386
Operator 3,firm,G2,R2,1,34.6656649135988
Operator 3,firm,G2,R2,2,46.4387678437265
Operator 3,firm,G2,R2,3,53.9218632607062
Operator 3,firm,G2,R2,4,87.167543200601
Operator 3,firm,G2,R2,5,99.54169797145
Operator 3,firm,G2,R2,6,88.6025544703231
Operator 3,firm,G2,R3,1,77.5882794891059
Operator 3,firm,G2,R3,2,74.8534936138242
Operator 3,firm,G2,R3,3,128.730277986476
Operator 3,firm,G2,R3,4,116.048084147258
Operator 3,firm,G2,R3,5,52.0135236664162
Operator 3,firm,G2,R3,6,55.1389932381668
Operator 5,firm,G1,R1,1,61.4575507137491
Operator 5,firm,G1,R1,2,60.939143501127
Operator 5,firm,G1,R1,3,33.1930879038317
Operator 5,firm,G1,R1,4,44.3275732531931
Operator 5,firm,G1,R1,5,27.0247933884298
Operator 5,firm,G1,R1,6,31.435011269722
Operator 5,firm,G1,R2,1,60.1803155522164
Operator 5,firm,G1,R2,2,54.6280991735537
Operator 5,firm,G1,R2,3,44.1472577009767
Operator 5,firm,G1,R2,4,40.3831705484598
Operator 5,firm,G1,R2,5,37.2276483846732
Operator 5,firm,G1,R2,6,32.7723516153268
Operator 5,firm,G1,R3,1,51.6754320060105
Operator 5,firm,G1,R3,2,50.8189331329827
Operator 5,firm,G1,R3,3,65.7700976709241
Operator 5,firm,G1,R3,4,114.462809917355
Operator 5,firm,G1,R3,5,44.0796393688956
Operator 5,firm,G1,R3,6,45.2892561983471
Operator 5,firm,G2,R1,1,51.2321562734786
Operator 5,firm,G2,R1,2,29.4740796393689
Operator 5,firm,G2,R1,3,39.3313298271976
Operator 5,firm,G2,R1,4,39.7821187077385
Operator 5,firm,G2,R1,5,68.8580015026296
Operator 5,firm,G2,R1,6,40.4432757325319
Operator 5,firm,G2,R2,1,49.2937640871525
Operator 5,firm,G2,R2,2,44.290007513148
Operator 5,firm,G2,R2,3,40.7663410969196
Operator 5,firm,G2,R2,4,41.8106686701728
Operator 5,firm,G2,R2,5,34.4552967693464
Operator 5,firm,G2,R2,6,43.9894815927874
Operator 5,firm,G2,R3,1,57.3253193087904
Operator 5,firm,G2,R3,2,46.8519909842224
Operator 5,firm,G2,R3,3,29.54169797145
Operator 5,firm,G2,R3,4,29.9699474079639
Operator 5,firm,G2,R3,5,30.1577761081893
Operator 5,firm,G2,R3,6,48.0015026296018
