,Estimate,T.Value,p.Value,Significance,Source
1VcottonD - 1Vcotton,-21.3298272,-3.311881447,0.01609,*,summary_post_test100
1VcottonDC - 1Vcotton,2.204357626,0.342270524,0.98567,NS,summary_post_test100
5Vcotton - 1Vcotton,-8.504883546,-1.524843192,0.43885,NS,summary_post_test100
1VcottonDC - 1VcottonD,23.53418482,3.654151971,0.00749,**,summary_post_test100
5Vcotton - 1VcottonD,12.82494365,2.299388099,0.12904,NS,summary_post_test100
5Vcotton - 1VcottonDC,-10.70924117,-1.920063149,0.24815,NS,summary_post_test100
1VcottonD - 1Vcotton,-35.55071375,-3.321222944,0.01585,*,summary_post_test200
1VcottonDC - 1Vcotton,-1.872276484,-0.174912033,0.99802,NS,summary_post_test200
5Vcotton - 1Vcotton,-9.513148009,-1.026226741,0.7344,NS,summary_post_test200
1VcottonDC - 1VcottonD,33.67843727,3.146310911,0.02289,*,summary_post_test200
5Vcotton - 1VcottonD,26.03756574,2.808791181,0.04691,*,summary_post_test200
5Vcotton - 1VcottonDC,-7.640871525,-0.824255722,0.84106,NS,summary_post_test200
1VcottonD - 1Vcotton,-33.04132231,-3.121872004,0.02435,*,summary_post_test400
1VcottonDC - 1Vcotton,15.21712998,1.437773331,0.48857,NS,summary_post_test400
5Vcotton - 1Vcotton,-20.47032307,-2.233324029,0.14563,NS,summary_post_test400
1VcottonDC - 1VcottonD,48.25845229,4.559645335,0.00093,***,summary_post_test400
5Vcotton - 1VcottonD,12.57099925,1.371503254,0.52768,NS,summary_post_test400
5Vcotton - 1VcottonDC,-35.68745304,-3.893521669,0.00413,**,summary_post_test400
1VcottonD - 1Vcotton,-23.38993238,-2.569260572,0.07686,NS,summary_post_test2000
1VcottonDC - 1Vcotton,4.459804658,0.489885994,0.96011,NS,summary_post_test2000
5Vcotton - 1Vcotton,-19.71750563,-2.500924194,0.08807,NS,summary_post_test2000
1VcottonDC - 1VcottonD,27.84973704,3.059146566,0.02767,*,summary_post_test2000
5Vcotton - 1VcottonD,3.672426747,0.465802372,0.96538,NS,summary_post_test2000
5Vcotton - 1VcottonDC,-24.17731029,-3.066595815,0.0272,*,summary_post_test2000
