G1,,,,,,G1 per 1cm2 (comparison with Kelly),,,,,,G2,,,,,,G2 per 1cm2 (comparison with Kelly),,,,,,G3,,,,,,G3 per 1cm2 (comparison with Kelly),,,,,,,,,149,68
Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,1.2,0.006,0.0072,1.07,0.49
W000,1000g,79.27,81.15,9.63,,W000,1000g,10.11,10.35,1.23,,W000,1000g,45.75,39.8,14.6,,W000,1000g,5.84,5.08,1.86,,W000,1000g,135.8,134.09,44.11,,W000,1000g,17.32,17.10,5.63,,1.2,0.013,0.0156,2.32,1.06
W000,100g,32.06,31.74,10.58,,W000,100g,4.09,4.05,1.35,,W000,100g,10.73,10.8,2.26,,W000,100g,1.37,1.38,0.29,,W000,100g,34.26,32.89,9.78,,W000,100g,4.37,4.20,1.25,,,,,,
W000,2000g,104.33,100.94,15.45,,W000,2000g,13.31,12.88,1.97,,W000,2000g,80.94,81.33,20.31,,W000,2000g,10.32,10.37,2.59,,W000,2000g,108.79,105.86,9.8,,W000,2000g,13.88,13.50,1.25,,,,,149,68
W000,200g,50.93,56.42,17.07,,W000,200g,6.50,7.20,2.18,,W000,200g,15.38,16.46,4.2,,W000,200g,1.96,2.10,0.54,,W000,200g,49.06,41.11,12.34,,W000,200g,6.26,5.24,1.57,,,,,8.41,3.84
W000,400g,63.42,70.7,18.51,,W000,400g,8.09,9.02,2.36,,W000,400g,30.38,31.8,8.91,,W000,400g,3.88,4.06,1.14,,W000,400g,78.64,70.06,19.09,,W000,400g,10.03,8.94,2.43,,,,,18.22,8.32
W000,800g,72.38,71.27,7.57,,W000,800g,9.23,9.09,0.97,,W000,800g,42.99,41.78,5.46,,W000,800g,5.48,5.33,0.70,,W000,800g,109.55,111.28,35.07,,W000,800g,13.97,14.19,4.47,,,,,,
W001,1000g,289.82,310.45,53.86,,W001,1000g,36.97,39.60,6.87,,W001,1000g,225.91,209.72,57.29,,W001,1000g,28.82,26.75,7.31,,W001,1000g,282.33,296.28,41.71,,W001,1000g,36.01,37.79,5.32,,,,,,
W001,100g,69.44,69.79,14.44,,W001,100g,8.86,8.90,1.84,,W001,100g,107.19,110.85,15.16,,W001,100g,13.67,14.14,1.93,,W001,100g,89.16,87.7,8.58,,W001,100g,11.37,11.19,1.09,,,,,,
W001,2000g,388.43,372.5,40.29,,W001,2000g,49.54,47.51,5.14,,W001,2000g,312.88,308.97,18.1,,W001,2000g,39.91,39.41,2.31,,W001,2000g,340.69,355,39.65,,W001,2000g,43.46,45.28,5.06,,,,,,
W001,200g,109.08,107.93,6.4,,W001,200g,13.91,13.77,0.82,,W001,200g,120.24,118.31,12.36,,W001,200g,15.34,15.09,1.58,,W001,200g,118.3,121.16,19.77,,W001,200g,15.09,15.45,2.52,,,,,,
