Wash,Weight,Average,Median,SD
W000,1000g,79.27,81.15,9.63
W000,100g,32.06,31.74,10.58
W000,2000g,104.33,100.94,15.45
W000,200g,50.93,56.42,17.07
W000,400g,63.42,70.7,18.51
W000,800g,72.38,71.27,7.57
W001,1000g,289.82,310.45,53.86
W001,100g,69.44,69.79,14.44
W001,2000g,388.43,372.5,40.29
W001,200g,109.08,107.93,6.4
W001,400g,207.48,203.61,53.65
W001,800g,231.63,230,39.85
W003,1000g,96.95,85.76,33.17
W003,100g,21.89,19.69,9.58
W003,2000g,157.76,146.54,39.47
W003,200g,40.17,37.43,12.63
W003,400g,46.03,50.67,8.25
W003,800g,71.86,81.56,21.6
W005,1000g,114.96,110.25,18.47
W005,100g,34.6,33.72,15.24
W005,2000g,153.19,152.28,37.76
W005,200g,30.26,30.95,6.03
W005,400g,61.31,36.93,39.13
W005,800g,96.54,102.8,24.02
W007,1000g,52.48,55.48,6.89
W007,100g,7.97,7.46,1.28
W007,2000g,87.36,83.54,19.17
W007,200g,9.22,9.43,0.97
W007,400g,16.29,15.97,6.67
W007,800g,33.4,30.56,11.77
W009,1000g,86.22,75.84,25.45
W009,100g,36.1,21.12,30.86
W009,2000g,136.95,137.77,26.58
W009,200g,46.89,50.76,16.57
W009,400g,66.44,62.51,14.42
W009,800g,90.29,106,32.38
W011,1000g,75.66,67.93,27.02
W011,100g,11.16,10.93,2.21
W011,2000g,165.09,143.7,49.99
W011,200g,14.67,14.18,6.46
W011,400g,20.51,21.92,4.3
W011,800g,47.49,46.82,19.69
W013,1000g,24,23.62,4.94
W013,100g,2.16,2.28,0.67
W013,2000g,60.6,56.09,14.5
W013,200g,5.02,4.18,1.86
W013,400g,12.89,13.05,3.23
W013,800g,19.91,18.64,5.32
W015,1000g,99.99,57.3,80.98
W015,100g,17.7,18.77,5.14
W015,2000g,85.23,89.05,18.54
W015,200g,18.16,10.9,12.94
W015,400g,60.81,61.4,36.31
W015,800g,112.25,106.71,65.49
