Pairwise.Comparison,Estimate,T.Value,p.Value,Significance
100g - 1000g,-220.372652141247,-8.8790146535876,0.00000,***
2000g - 1000g,98.6160781367393,3.97333151072768,0.00657,**
200g - 1000g,-180.73328324568,-7.28190841620784,0.00000,***
400g - 1000g,-82.3335837716003,-3.31729499866373,0.03044,*
800g - 1000g,-58.1803155522164,-2.34413784704727,0.21585,NS
2000g - 100g,318.988730277987,12.8523461643153,0.00000,***
200g - 100g,39.6393688955675,1.59710623737977,0.60818,NS
400g - 100g,138.039068369647,5.56171965492388,0.00016,***
800g - 100g,162.192336589031,6.53487680654034,0.00001,***
200g - 2000g,-279.349361382419,-11.2552399269355,0.00000,***
400g - 2000g,-180.94966190834,-7.29062650939141,0.00000,***
800g - 2000g,-156.796393688956,-6.31746935777495,0.00003,***
400g - 200g,98.3996994740797,3.96461341754411,0.00682,**
800g - 200g,122.552967693464,4.93777056916057,0.00063,***
800g - 400g,24.1532682193839,0.973157151616461,0.92202,NS
