Comparison,Z,P.unadj,P.adj
1000g - 100g,3.08955487970276,0.00200456668980597,0.0300685003470896
1000g - 2000g,-1.07775170222189,0.281144578566748,1
100g - 2000g,-4.16730658192466,3.08219841181453e-05,0.00046232976177218
1000g - 200g,2.60456661370291,0.00919905369444262,0.137985805416639
100g - 200g,-0.484988265999852,0.627684669070227,1
2000g - 200g,3.6823183159248,0.000231122574413323,0.00346683861619985
1000g - 400g,1.85014042214758,0.0642933132110816,0.964399698166224
100g - 400g,-1.23941445755518,0.215192050036501,1
2000g - 400g,2.92789212436948,0.00341268428030335,0.0511902642045503
200g - 400g,-0.754426191555326,0.450593349352221,1
1000g - 800g,0.538875851110947,0.589972521167258,1
100g - 800g,-2.55067902859182,0.0107513289670307,0.16126993450546
2000g - 800g,1.61662755333284,0.105958700605014,1
200g - 800g,-2.06569076259196,0.0388576880757372,0.582865321136058
400g - 800g,-1.31126457103664,0.189768393660244,1
