Pairwise.Comparison,Estimate,T.Value,p.Value,Significance
100g - 1000g,-47.206611570248,-5.42768970082703,0.00018,***
2000g - 1000g,25.0638617580767,2.88177566239479,0.07784,NS
200g - 1000g,-28.3350864012021,-3.25789230610183,0.03492,*
400g - 1000g,-15.8467317806161,-1.82201475633186,0.47117,NS
800g - 1000g,-6.88655146506384,-0.791797233858231,0.96626,NS
2000g - 100g,72.2704733283247,8.30946536322183,0.00000,***
200g - 100g,18.8715251690459,2.1697973947252,0.28779,NS
400g - 100g,31.3598797896319,3.60567494449517,0.01581,*
800g - 100g,40.3200601051841,4.6358924669688,0.00138,**
200g - 2000g,-53.3989481592788,-6.13966796849663,0.00003,***
400g - 2000g,-40.9105935386927,-4.70379041872666,0.00109,**
800g - 2000g,-31.9504132231405,-3.67357289625303,0.01354,*
400g - 200g,12.488354620586,1.43587754976997,0.70572,NS
800g - 200g,21.4485349361383,2.4660950722436,0.17399,NS
800g - 400g,8.96018031555222,1.03021752247363,0.90306,NS
