Comparison,Z,P.unadj,P.adj
1000g - 100g,3.41250073850872,0.000643697525469687,0.00965546288204531
1000g - 2000g,-1.07763181216065,0.281198099564179,1
100g - 2000g,-4.49013255066937,7.11788655392271e-06,0.000106768298308841
1000g - 200g,2.47855316796949,0.0131916448823721,0.197874673235581
100g - 200g,-0.933947570539229,0.350330938579847,1
2000g - 200g,3.55618498013014,0.000376279185687921,0.00564418778531881
1000g - 400g,1.58052665783562,0.113986306947454,1
100g - 400g,-1.8319740806731,0.0669552823173684,1
2000g - 400g,2.65815846999627,0.00785689393135384,0.117853408970308
200g - 400g,-0.898026510133875,0.369171416332692,1
1000g - 800g,0.610658026891034,0.541425998736823,1
100g - 800g,-2.80184271161769,0.00508116401612616,0.0762174602418925
2000g - 800g,1.68828983905168,0.0913556047725255,1
200g - 800g,-1.86789514107846,0.0617766882969251,0.926650324453877
400g - 800g,-0.969868630944585,0.332111977901722,1
