Pairwise.Comparison,Estimate,T.Value,p.Value,Significance
100g - 1000g,-50.1202103681443,-3.13357890727654,0.04562,*
2000g - 1000g,50.7302779864763,3.17172110593804,0.04211,*
200g - 1000g,-39.335837716003,-2.45932629694754,0.17632,NS
400g - 1000g,-19.7821187077386,-1.23680306743504,0.81466,NS
800g - 1000g,4.06461307287752,0.254124747239784,0.99984,NS
2000g - 100g,100.850488354621,6.30530001321458,0.00002,***
200g - 100g,10.7843726521413,0.674252610329001,0.98317,NS
400g - 100g,30.3380916604058,1.8967758398415,0.42795,NS
800g - 100g,54.1848234410219,3.38770365451633,0.02604,*
200g - 2000g,-90.0661157024794,-5.63104740288558,0.00011,***
400g - 2000g,-70.5123966942149,-4.40852417337307,0.00230,**
800g - 2000g,-46.6656649135988,-2.91759635869825,0.07231,NS
400g - 200g,19.5537190082645,1.2225232295125,0.82171,NS
800g - 200g,43.4004507888805,2.71345104418733,0.10895,NS
800g - 400g,23.8467317806161,1.49092781467482,0.67310,NS
