Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1Vcotton,100g,R1,6.374,579454.545454545,47.8888054094666
SH,W000,1Vcotton,100g,R2,4.328,393454.545454545,32.5169045830203
SH,W000,1Vcotton,100g,R3,4.225,384090.909090909,31.7430503380917
SH,W000,1Vcotton,100g,R4,3.99,362727.272727273,29.977460555973
SH,W000,1Vcotton,100g,R5,2.419,219909.090909091,18.1743050338092
SH,W000,1VcottonD,100g,R1,1.021,92818.1818181818,7.67092411720511
SH,W000,1VcottonD,100g,R2,1.282,116545.454545455,9.63185574755823
SH,W000,1VcottonD,100g,R3,1.587,144272.727272727,11.923365890308
SH,W000,1VcottonD,100g,R4,1.437,130636.363636364,10.7963936889557
SH,W000,1VcottonD,100g,R5,1.814,164909.090909091,13.6288504883546
SH,W000,1VcottonDC,100g,R1,2.784,253090.909090909,20.9166040570999
SH,W000,1VcottonDC,100g,R2,4.065,369545.454545455,30.5409466566491
SH,W000,1VcottonDC,100g,R3,4.378,398000,32.8925619834711
SH,W000,1VcottonDC,100g,R4,5.379,489000,40.4132231404959
SH,W000,1VcottonDC,100g,R5,6.197,563363.636363636,46.5589782118708
