Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1Vcotton,200g,R1,3.153,286636.363636364,23.6889556724267
SH,W000,1Vcotton,200g,R2,8.947,813363.636363636,67.2201352366642
SH,W000,1Vcotton,200g,R3,7.51,682727.272727273,56.4237415477085
SH,W000,1Vcotton,200g,R4,8.143,740272.727272727,61.1795642374155
SH,W000,1Vcotton,200g,R5,6.142,558363.636363636,46.1457550713749
SH,W000,1VcottonD,200g,R1,2.589,235363.636363636,19.4515401953418
SH,W000,1VcottonD,200g,R2,1.102,100181.818181818,8.27948910593539
SH,W000,1VcottonD,200g,R3,2.122,192909.090909091,15.9429000751315
SH,W000,1VcottonD,200g,R4,2.191,199181.818181818,16.4613072877536
SH,W000,1VcottonD,200g,R5,2.232,202909.090909091,16.7693463561232
SH,W000,1VcottonDC,200g,R1,8.214,746727.272727273,61.7129977460556
SH,W000,1VcottonDC,200g,R2,5.124,465818.181818182,38.4973703981968
SH,W000,1VcottonDC,200g,R3,5.411,491909.090909091,40.6536438767844
SH,W000,1VcottonDC,200g,R4,5.472,497454.545454546,41.1119459053343
SH,W000,1VcottonDC,200g,R5,8.428,766181.818181818,63.320811419985
SH,W000,5Vcotton,200g,R1,6.481,589181.818181818,48.6927122464313
SH,W000,5Vcotton,200g,R2,5.801,527363.636363636,43.5837716003005
SH,W000,5Vcotton,200g,R3,9.945,904090.909090909,74.7182569496619
SH,W000,5Vcotton,200g,R4,2.449,222636.363636364,18.3996994740796
SH,W000,5Vcotton,200g,R5,2.888,262545.454545455,21.6979714500376
SH,W000,12Vcotton,200g,R1,5.084,462181.818181818,38.1968444778362
SH,W000,12Vcotton,200g,R2,2.845,258636.363636364,21.3749060856499
SH,W000,12Vcotton,200g,R3,3.694,335818.181818182,27.7535687453043
SH,W000,12Vcotton,200g,R4,2.682,243818.181818182,20.1502629601803
SH,W000,12Vcotton,200g,R5,2.763,251181.818181818,20.7588279489106
