Project,Wash,Garment,Weight,Repeat,Area,Area.px,Area.mm2
SH,W000,1Vcotton,2000g,R1,12.266,1115090.90909091,92.1562734785875
SH,W000,1Vcotton,2000g,R2,16.321,1483727.27272727,122.622088655147
SH,W000,1Vcotton,2000g,R3,15.717,1428818.18181818,118.084147257701
SH,W000,1Vcotton,2000g,R4,11.693,1063000,87.8512396694215
SH,W000,1Vcotton,2000g,R5,13.435,1221363.63636364,100.939143501127
SH,W000,1VcottonD,2000g,R1,12.817,1165181.81818182,96.2960180315552
SH,W000,1VcottonD,2000g,R2,8.13,739090.909090909,61.0818933132983
SH,W000,1VcottonD,2000g,R3,14.041,1276454.54545455,105.492111194591
SH,W000,1VcottonD,2000g,R4,10.825,984090.909090909,81.3298271975958
SH,W000,1VcottonD,2000g,R5,8.053,732090.909090909,60.5033809166041
SH,W000,1VcottonDC,2000g,R1,14.09,1280909.09090909,105.860255447032
SH,W000,1VcottonDC,2000g,R2,15.01,1364545.45454545,112.772351615327
SH,W000,1VcottonDC,2000g,R3,16.367,1487909.09090909,122.967693463561
SH,W000,1VcottonDC,2000g,R4,14.081,1280090.90909091,105.792637114951
SH,W000,1VcottonDC,2000g,R5,12.852,1168363.63636364,96.5589782118708
