Comparison,Z,P.unadj,P.adj
1Vcotton - 1VcottonD,2.53748772029262,0.011165128503508,0.0669907710210481
1Vcotton - 1VcottonDC,-1.41927279270604,0.155819500976074,0.934917005856446
1VcottonD - 1VcottonDC,-3.95676051299866,7.59730280769937e-05,0.000455838168461962
1Vcotton - 5Vcotton,0.720094192083273,0.471467003221958,1
1VcottonD - 5Vcotton,-2.20994424466936,0.0271090320558979,0.162654192335387
1VcottonDC - 5Vcotton,2.35892924992796,0.0183277496201313,0.109966497720788
1Vcotton - 1VcottonD,2.23642985517316,0.0253236273204911,0.151941763922947
1Vcotton - 1VcottonDC,-1.07520666114094,0.282282213818733,1
1VcottonD - 1VcottonDC,-3.3116365163141,0.000927519728580678,0.00556511837148407
1Vcotton - 5Vcotton,0.819417528922345,0.412548237333381,1
1VcottonD - 5Vcotton,-1.76298922889353,0.077902306326544,0.467413837959264
1VcottonDC - 5Vcotton,2.06095923941075,0.0393069289046235,0.235841573427741
