"Wash.number","Average","Median","SD"
"1","W000",0.243,0.2,0.14
"2","W001",0.484,0.46,0.19
"3","W002",0.403,0.43,0.14
"4","W003",0.427,0.42,0.16
"5","W004",0.582,0.57,0.22
"6","W005",0.402,0.38,0.14
"7","W006",0.403,0.39,0.13
"8","W007",0.278,0.29,0.12
"9","W008",0.1,0.08,0.07
"10","W009",0.194,0.15,0.13
"11","W010",0.135,0.14,0.07
"12","W011",0.124,0.11,0.09
"13","W012",0.118,0.1,0.07
"14","W013",0.099,0.1,0.05
"15","W014",0.107,0.08,0.09
"16","W015",0.072,0.07,0.04
"17","W016",0.082,0.06,0.08
"18","W017",0.104,0.1,0.06
"19","W018",0.032,0.02,0.04
"20","W019",0.053,0.03,0.06
"21","W020",0.076,0.08,0.04
"22","W021",0.041,0.03,0.04
"23","W022",0.067,0.06,0.05
"24","W023",0.038,0.03,0.04
"25","W024",0.027,0.03,0.03
"26","W025",0.035,0.03,0.03
"27","W026",0.021,0.01,0.03
"28","W027",0.028,0.02,0.03
"29","W028",0.031,0.03,0.02
"30","W029",0.03,0.02,0.03
"31","W030",0.013,0.01,0.02
"32","W031",0.036,0.03,0.04
"33","W032",-0.006,0,0.02
"34","W033",0.024,0.01,0.03
"35","W034",0.014,0.01,0.04
"36","W035",0.017,0.01,0.02
"37","W036",0.028,0.01,0.05
"38","W037",0.01,0,0.02
"39","W038",0.017,0.02,0.02
"40","W039",0.018,0.01,0.02
"41","W040",0.016,0,0.04
"42","W041",0.005,0,0.03
"43","W042",-0.001,0,0
"44","W043",0.012,0.01,0.02
"45","W044",0.022,0,0.06
"46","W045",0.012,0.01,0.02
"47","W046",0.016,0.01,0.02
"48","W047",0.015,0,0.02
"49","W048",0.014,0,0.02
"50","W049",0.001,0,0.02
"51","W050",0.006,0,0.01
"52","W051",0.005,0,0.02
