Operator,Area.mm2,Garment
Operator 1,20.465815176559,G1
Operator 1,13.328324567994,G1
Operator 1,14.267468069121,G1
Operator 1,8.16679188580015,G1
Operator 1,3.86175807663411,G1
Operator 1,2.29902329075883,G1
Operator 1,16.5289256198347,G1
Operator 1,9.7595792637115,G1
Operator 1,16.168294515402,G1
Operator 1,14.3425995492111,G1
Operator 1,6.9045830202855,G1
Operator 1,6.25845229151014,G1
Operator 1,10.0525920360631,G1
Operator 1,7.9038317054846,G1
Operator 1,5.74004507888805,G1
Operator 1,7.55071374906086,G1
Operator 1,7.92637114951165,G1
Operator 1,12.4117205108941,G1
Operator 1,3.64387678437265,G2
Operator 1,3.45604808414726,G2
Operator 1,7.22764838467318,G2
Operator 1,16.3260706235913,G2
Operator 1,14.1096919609316,G2
Operator 1,15.5371900826446,G2
Operator 1,17.7084898572502,G2
Operator 1,12.4267468069121,G2
Operator 1,8.97821187077385,G2
Operator 1,6.39368895567243,G2
Operator 1,5.58978211870774,G2
Operator 1,5.52967693463561,G2
Operator 1,9.45154019534185,G2
Operator 1,13.6138241923366,G2
Operator 1,9.31630353117957,G2
Operator 1,12.1863260706236,G2
Operator 1,6.10067618332081,G2
Operator 1,6.31855747558227,G2
Operator 4,14.9436513899324,G1
Operator 4,17.0848985725019,G1
Operator 4,8.09166040570999,G1
Operator 4,14.0946656649136,G1
Operator 4,13.1329827197596,G1
Operator 4,12.9151014274981,G1
Operator 4,14.3275732531931,G1
Operator 4,21.7430503380917,G1
Operator 4,16.5439519158527,G1
Operator 4,18.2569496619083,G1
Operator 4,17.8737791134485,G1
Operator 4,21.7580766341097,G1
Operator 4,11.45003756574,G1
Operator 4,6.99474079639369,G1
Operator 4,17.1149511645379,G1
Operator 4,12.2389181066867,G1
Operator 4,14.6055597295267,G1
Operator 4,10.7438016528926,G1
Operator 4,10.8715251690458,G2
Operator 4,10.8264462809917,G2
Operator 4,9.7145003756574,G2
Operator 4,8.22689706987228,G2
Operator 4,8.86551465063862,G2
Operator 4,12.3441021788129,G2
Operator 4,12.6371149511645,G2
Operator 4,12.8324567993989,G2
Operator 4,10.4057099924869,G2
Operator 4,11.7580766341097,G2
Operator 4,12.7873779113449,G2
Operator 4,10.0976709241172,G2
Operator 4,29.9624342599549,G2
Operator 4,32.0586025544703,G2
Operator 4,32.1262208865515,G2
Operator 4,19.984973703982,G2
Operator 4,14.0045078888054,G2
Operator 4,8.72276483846732,G2
Operator 5,7.38542449286251,G1
Operator 5,6.06311044327573,G1
Operator 5,7.16754320060105,G1
Operator 5,8.27197595792637,G1
Operator 5,4.53794139744553,G1
Operator 5,5.67242674680691,G1
Operator 5,9.15852742299023,G1
Operator 5,6.37866265965439,G1
Operator 5,2.50939143501127,G1
Operator 5,4.44778362133734,G1
Operator 5,3.9519158527423,G1
Operator 5,6.58903080390684,G1
Operator 5,5.70999248685199,G1
Operator 5,9.45154019534185,G1
Operator 5,13.4109691960932,G1
Operator 5,12.862509391435,G1
Operator 5,7.61081893313298,G1
Operator 5,11.2321562734786,G1
Operator 5,14.7182569496619,G2
Operator 5,5.73253193087904,G2
Operator 5,2.62208865514651,G2
Operator 5,2.29151014274981,G2
Operator 5,5.25920360631104,G2
Operator 5,7.72351615326822,G2
Operator 5,12.8324567993989,G2
Operator 5,12.1187077385425,G2
Operator 5,10.946656649136,G2
Operator 5,5.85274229902329,G2
Operator 5,6.46130728775357,G2
Operator 5,7.96393688955672,G2
Operator 5,10.7813673929376,G2
Operator 5,7.70848985725019,G2
Operator 5,11.7129977460556,G2
Operator 5,7.49060856498873,G2
Operator 5,6.93463561232156,G2
Operator 5,5.48459804658152,G2
