meanArea,SD,Weight,Condition
32.74,11.45,100g,W000
51.85,17.77,200g,W000
64.31,18.25,400g,W000
74.77,8.54,800g,W000
81.83,10.16,1000g,W000
109.01,14.44,2000g,W000
71.29,14.34,100g,W001
118.01,13.72,200g,W001
243.63,47.15,400g,W001
233.45,34.67,800g,W001
296.05,53.69,1000g,W001
382.37,66.19,2000g,W001
21.99,9.32,100g,W003
40.88,13.04,200g,W003
45.94,8.4,400g,W003
71.92,22.47,800g,W003
98.83,36.31,1000g,W003
169.24,43.36,2000g,W003
34.64,15.39,100g,W005
30.45,6.17,200g,W005
62.59,40,400g,W005
98.35,24.24,800g,W005
117,18.97,1000g,W005
156.32,38.57,2000g,W005
