meanArea,SD,Weight,Condition
34.58,9.99,100g,W000
49.19,12.31,200g,W000
79.47,19.59,400g,W000
111.5,35.25,800g,W000
139.12,45.02,1000g,W000
111.83,9.8,2000g,W000
89.76,8.63,100g,W001
119.54,20.38,200g,W001
203.58,34.88,400g,W001
184.48,29.05,800g,W001
286.69,43.94,1000g,W001
348.35,40.79,2000g,W001
106.97,15.38,100g,W003
146.81,60.58,200g,W003
138.81,24.85,400g,W003
220.83,25.34,800g,W003
215.11,31.78,1000g,W003
292.85,52.9,2000g,W003
22.39,9.55,100g,W005
31.67,4.85,200g,W005
57.06,16.38,400g,W005
85.61,23.05,800g,W005
115.71,47.81,1000g,W005
196.49,25.54,2000g,W005
49.06,13.12,100g,W007
85.29,10.98,200g,W007
120.14,17.41,400g,W007
135.85,31.76,800g,W007
140.12,17.22,1000g,W007
223.5,38.77,2000g,W007
17.58,3.22,100g,W009
22.69,11.53,200g,W009
48.21,15.74,400g,W009
81.34,20.8,800g,W009
77.74,15.61,1000g,W009
194.18,60.1,2000g,W009
22.58,3.56,100g,W011
50.82,6.23,200g,W011
53.12,17.36,400g,W011
62.72,6.78,800g,W011
69.59,15.63,1000g,W011
141.39,19.19,2000g,W011
11.02,2.89,100g,W013
15.6,8.67,200g,W013
31.66,7.25,400g,W013
53.93,18.89,800g,W013
58.61,12.08,1000g,W013
99.28,14.76,2000g,W013
8.69,1.19,100g,W015
15.53,4.23,200g,W015
33.47,7.59,400g,W015
40.73,5.72,800g,W015
61.89,18.21,1000g,W015
97.59,13.42,2000g,W015
