group,value
W000,6
W000,7
W000,1
W000,8
W000,5
W000,5
W000,8
W000,8
W000,6
W000,7
W001,11
W001,13
W001,2
W001,5
W001,6
W001,13
W001,9
W001,6
W001,11
W001,11
W002,3
W002,3
W002,2
W002,1
W002,1
W002,4
W002,6
W002,2
W002,5
W002,3
W003,2
W003,4
W003,3
W003,0
W003,5
W003,4
W003,3
W003,6
W003,2
W003,7
W004,0
W004,2
W004,5
W004,0
W004,2
W004,2
W004,0
W004,4
W004,0
W004,2
W005,1
W005,1
W005,2
W005,2
W005,0
W005,2
W005,2
W005,3
W005,1
W005,1
W006,1
W006,3
W006,1
W006,0
W006,0
W006,2
W006,0
W006,1
W006,1
W006,1
W007,0
W007,0
W007,0
W007,1
W007,1
W007,1
W007,0
W007,1
W007,0
W007,1
