group,value
W000,18
W000,6
W000,10
W000,7
W000,8
W000,7
W000,12
W000,12
W000,9
W000,11
W000,11
W000,6
W000,4
W000,4
W000,5
W000,10
W000,10
W000,12
W000,5
W000,16
W000,6
W000,5
W000,12
W000,8
W000,9
W000,9
W000,4
W000,11
W000,12
W000,6
W000,12
W000,7
W000,2
W000,7
W000,5
W000,6
W000,6
W000,7
W000,11
W000,10
W000,4
W000,3
W000,10
W000,2
W000,6
W000,5
W000,8
W000,4
W000,13
W000,5
W001,14
W001,24
W001,13
W001,22
W001,9
W001,15
W001,23
W001,36
W001,28
W001,11
W001,15
W001,18
W001,21
W001,16
W001,16
W001,19
W001,16
W001,28
W001,11
W001,15
W001,19
W001,11
W001,17
W001,15
W001,16
W001,26
W001,33
W001,20
W001,16
W001,18
W001,24
W001,19
W001,16
W001,22
W001,11
W001,20
W001,31
W001,21
W001,34
W001,33
W001,20
W001,24
W001,19
W001,19
W001,14
W001,11
W001,25
W001,25
W001,21
W001,12
W002,18
W002,10
W002,16
W002,22
W002,34
W002,21
W002,23
W002,23
W002,15
W002,17
W002,16
W002,12
W002,27
W002,10
W002,13
W002,13
W002,16
W002,14
W002,17
W002,24
W002,16
W002,25
W002,20
W002,28
W002,21
W002,18
W002,20
W002,15
W002,11
W002,21
W003,17
W003,22
W003,14
W003,16
W003,25
W003,34
W003,16
W003,17
W003,19
W003,22
W003,16
W003,19
W003,16
W003,22
W003,20
W003,31
W003,31
W003,19
W003,22
W003,12
W003,18
W003,26
W003,24
W003,15
W003,11
W003,11
W003,15
W003,8
W003,27
W003,23
W004,20
W004,15
W004,15
W004,24
W004,31
W004,24
W004,16
W004,21
W004,20
W004,27
W004,24
W004,13
W004,39
W004,33
W004,24
W004,32
W004,27
W004,21
W004,16
W004,25
W004,27
W004,29
W004,22
W004,38
W004,27
W004,19
W004,29
W004,24
W004,21
W004,26
W005,27
W005,16
W005,21
W005,21
W005,24
W005,18
W005,24
W005,16
W005,19
W005,22
W005,13
W005,14
W005,29
W005,16
W005,6
W005,17
W005,24
W005,34
W005,16
W005,17
W005,15
W005,15
W005,17
W005,19
W005,12
W005,15
W005,21
W005,19
W005,10
W005,12
W006,23
W006,15
W006,14
W006,15
W006,20
W006,18
W006,23
W006,14
W006,19
W006,20
W006,22
W006,19
W006,19
W006,36
W006,22
W006,27
W006,17
W006,11
W006,13
W006,21
W006,12
W006,17
W006,21
W006,17
W006,14
W006,7
W006,9
W006,16
W006,19
W006,15
W006,23
W006,21
W006,16
W006,16
W006,13
W006,11
W006,10
W006,14
W006,16
W006,18
W007,19
W007,12
W007,3
W007,23
W007,11
W007,24
W007,13
W007,13
W007,7
W007,18
W007,4
W007,8
W007,11
W007,11
W007,14
W007,15
W007,20
W007,16
W007,16
W007,14
W007,10
W007,22
W007,17
W007,15
W007,6
W007,7
W007,15
W007,11
W007,11
W007,8
W008,1
W008,4
W008,1
W008,7
W008,6
W008,3
W008,3
W008,4
W008,2
W008,3
W008,8
W008,7
W008,7
W008,7
W008,5
W008,9
W008,3
W008,3
W008,3
W008,5
W008,4
W008,9
W008,5
W008,7
W008,6
W008,2
W008,3
W008,8
W008,4
W008,4
W009,17
W009,6
W009,7
W009,13
W009,3
W009,7
W009,5
W009,6
W009,7
W009,6
W009,4
W009,2
W009,27
W009,16
W009,7
W009,10
W009,16
W009,11
W009,10
W009,8
W009,9
W009,11
W009,5
W009,23
W009,8
W009,8
W009,6
W009,13
W009,5
W009,8
W010,11
W010,7
W010,10
W010,3
W010,6
W010,9
W010,10
W010,6
W010,4
W010,11
W010,8
W010,7
W010,3
W010,5
W010,2
W010,8
W010,8
W010,7
W010,7
W010,7
W010,7
W010,7
W010,9
W010,12
W010,5
W010,5
W010,5
W010,2
W010,3
W010,2
W011,7
W011,5
W011,2
W011,4
W011,4
W011,4
W011,3
W011,6
W011,6
W011,6
W011,8
W011,6
W011,1
W011,8
W011,5
W011,6
W011,6
W011,3
W011,14
W011,7
W011,4
W011,10
W011,10
W011,7
W011,8
W011,5
W011,6
W011,11
W011,13
W011,9
W011,4
W011,4
W011,7
W011,4
W011,1
W011,4
W011,1
W011,10
W011,7
W011,4
W011,5
W011,5
W011,3
W011,3
W011,9
W011,6
W011,6
W011,6
W011,12
W011,5
W012,6
W012,5
W012,1
W012,11
W012,3
W012,3
W012,8
W012,7
W012,5
W012,10
W012,5
W012,7
W012,11
W012,3
W012,8
W012,4
W012,2
W012,5
W012,3
W012,3
W012,8
W012,4
W012,3
W012,11
W012,5
W012,6
W012,20
W012,9
W012,7
W012,10
W013,4
W013,2
W013,7
W013,4
W013,4
W013,9
W013,5
W013,12
W013,5
W013,6
W013,0
W013,7
W013,7
W013,6
W013,2
W013,4
W013,2
W013,4
W013,7
W013,4
W013,5
W013,7
W013,5
W013,7
W013,4
W013,3
W013,4
W013,4
W013,5
W013,1
W014,9
W014,2
W014,3
W014,5
W014,1
W014,2
W014,4
W014,0
W014,4
W014,2
W014,2
W014,7
W014,4
W014,2
W014,7
W014,3
W014,4
W014,6
W014,6
W014,1
W014,6
W014,10
W014,6
W014,13
W014,15
W014,5
W014,5
W014,7
W014,11
W014,13
W015,6
W015,2
W015,2
W015,2
W015,3
W015,5
W015,4
W015,7
W015,5
W015,3
W015,3
W015,5
W015,7
W015,8
W015,4
W015,5
W015,3
W015,1
W015,6
W015,6
W015,3
W015,5
W015,1
W015,5
W015,7
W015,1
W015,7
W015,3
W015,3
W015,7
W016,3
W016,3
W016,0
W016,1
W016,7
W016,4
W016,2
W016,8
W016,4
W016,3
W016,2
W016,4
W016,5
W016,3
W016,4
W016,3
W016,2
W016,0
W016,1
W016,2
W016,5
W016,5
W016,1
W016,1
W016,5
W016,2
W016,4
W016,10
W016,7
W016,1
W016,7
W016,6
W016,2
W016,3
W016,2
W016,4
W016,4
W016,1
W016,11
W016,4
W017,8
W017,8
W017,6
W017,4
W017,3
W017,2
W017,3
W017,3
W017,1
W017,4
W017,2
W017,8
W017,9
W017,7
W017,3
W017,7
W017,3
W017,3
W017,6
W017,5
W017,1
W017,5
W017,4
W017,3
W017,6
W017,5
W017,7
W017,1
W017,9
W017,6
W018,2
W018,7
W018,0
W018,2
W018,1
W018,0
W018,1
W018,3
W018,0
W018,1
W019,1
W019,0
W019,4
W019,3
W019,3
W019,7
W019,1
W019,0
W019,0
W019,7
W019,8
W019,6
W019,5
W019,2
W019,5
W019,2
W019,1
W019,0
W019,4
W019,2
W019,3
W019,4
W019,6
W019,1
W019,3
W019,1
W019,0
W019,3
W019,1
W019,7
W020,5
W020,2
W020,3
W020,5
W020,4
W020,8
W020,3
W020,3
W020,3
W020,4
W021,3
W021,0
W021,0
W021,2
W021,2
W021,2
W021,2
W021,1
W021,2
W021,0
W021,1
W021,4
W021,2
W021,1
W021,1
W021,3
W021,1
W021,1
W021,5
W021,1
W021,3
W021,1
W021,4
W021,4
W021,3
W021,7
W021,2
W021,4
W021,6
W021,4
W021,0
W021,7
W021,1
W021,0
W021,0
W021,4
W021,1
W021,0
W021,6
W021,3
W021,2
W021,3
W021,2
W021,5
W021,2
W021,3
W021,4
W021,5
W021,2
W021,2
W022,4
W022,3
W022,5
W022,6
W022,3
W022,5
W022,2
W022,0
W022,6
W022,2
W023,1
W023,3
W023,1
W023,2
W023,2
W023,0
W023,2
